************************************************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *      X[0] *      Y[0] *         Z *
************************************************************************************
*        9 *         9 * 296.99666 * 20685.538 * -0.550579 * -0.288058 *  -14.3193 *
*       11 *        11 * 719.98224 * 90027.081 * -0.658177 * 0.0157360 *  -15.1335 *
*       18 *        18 * 74.181773 * 1711.2431 * 0.0294081 * -0.093668 *  -15.1866 *
*       28 *        28 * 260.00908 * 24962.459 * 0.5960683 * -0.215919 *   -7.0092 *
*       29 *        29 * 330.70371 * 59192.126 * -0.193634 * 0.6064495 *   -7.2924 *
*       33 *        33 * 519.89330 * 118421.95 * 0.5641254 * 0.2890492 *   -7.8411 *
*       38 *        38 * 771.52713 * 104666.23 * -0.190467 * -0.713458 *   -7.0269 *
*       52 *        52 * 894.50138 * 116624.99 * 0.3405346 * -0.754323 *  -11.7705 *
*       56 *        56 * 103.60234 * 23530.245 * 0.0252199 * 0.3587165 *    -2.478 *
*       59 *        59 * 32.080417 * 161.98956 * 0.4450070 * -0.035594 *  -19.4523 *
*       67 *        67 * 634.90042 * 114976.51 * -0.081912 * -0.842389 *  -10.9032 *
*       85 *        85 * 2.0571725 * 31742.120 * -0.064853 * 0.0153304 *  -15.8415 *
*       87 *        87 * 808.35026 * 116038.04 * -0.284995 * -0.142640 *   -9.5403 *
*       98 *        98 * 546.12777 * 112396.06 * -0.599021 * -0.379516 *   -2.6196 *
*      106 *       106 * 1044.4862 * 125572.98 * 0.4032508 * -0.187917 *  -19.6824 *
*      108 *       108 * 4128.2247 * 19354.327 * -0.586040 * -0.307513 *  -23.4171 *
*      123 *       123 * 638.05693 * 125028.66 * -0.537203 * -0.369717 *  -17.2752 *
*      140 *       140 * 601.65338 * 103208.99 * 0.2643113 * -0.743552 *   -5.2569 *
*      148 *       148 * 620.57025 * 123154.39 * -0.001870 * -0.829920 *   -13.629 *
*      152 *       152 * 981.00179 * 7875.6817 * -0.592840 * 0.1808339 *   -18.054 *
*      153 *       153 * 653.36608 * 105423.23 * -0.694743 * -0.486507 *  -18.9213 *
*      170 *       170 * 44.065260 * 2523.3633 * -0.169204 * 0.2467039 *   -3.9471 *
*      178 *       178 * 63.182977 * 2923.4179 * -0.458054 * 0.1077005 *  -15.4344 *
*      186 *       186 * 563.37372 * 40213.327 * 0.4465716 * 0.4035071 *   -1.1682 *
*      199 *       199 * 51.601381 * 4287.5878 * 0.0573365 * 0.2605417 *   -1.9293 *
*      212 *       212 * 586.69492 * 104741.59 * -0.351703 * 0.7497981 *  -18.9036 *
*      221 *       221 * 264.55981 * 24115.727 * -0.465449 * 0.0412292 *  -16.7973 *
