************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *
************************************************
*       17 *        17 * 12.416173 * 3297.7766 *
*       89 *        89 * 6.8024720 * 899.96541 *
*      114 *       114 * 5.1386796 * 537.91075 *
*      271 *       271 * 26.053684 * 338.85358 *
*      327 *       327 * 3.7123597 * 143.73167 *
*      345 *       345 * 3.0035756 * 797.73960 *
*      372 *       372 * 1.8191409 * 3537.9920 *
*      409 *       409 * 24.800051 * 2233.7265 *
*      571 *       571 * 13.257528 * 1369.3887 *
*      937 *       937 * 3.6228510 * 251.78922 *
*      982 *       982 * 39.741963 * 187.83193 *
*     1098 *      1098 * 13.475033 * 1419.8511 *
*     1222 *      1222 * 12.435173 * 1575.3701 *
*     1266 *      1266 * 2.8109917 * 1873.3154 *
*     1284 *      1284 * 31.565775 * 2124.1154 *
*     1295 *      1295 * 1.5032704 *  2159.915 *
*     1356 *      1356 * 7.7927900 * 1063.2072 *
*     1402 *      1402 * 6.3464844 * 267.25164 *
*     1547 *      1547 * 9.9903827 * 1472.8133 *
*     1727 *      1727 * 0.8042148 * 1711.7962 *
*     1822 *      1822 * 6.9975240 * 900.19107 *
*     1898 *      1898 * 0.9647246 * 1449.9584 *
*     2296 *      2296 * 18.693663 * 3010.9913 *
*     2462 *      2462 * 10.724490 * 928.66400 *
*     2472 *      2472 * 6.8012239 * 3532.1575 *
*     2520 *      2520 * 36.409288 * 2845.5769 *
*     2542 *      2542 * 18.610436 * 1088.4633 *
*     2558 *      2558 * 30.704000 * 2029.3225 *
*     2587 *      2587 * 21.516818 * 1191.3605 *
*     2618 *      2618 * 5.5256777 * 392.30939 *
*     2643 *      2643 * 9.4322595 * 975.36764 *
*     2852 *      2852 * 8.1018123 * 1261.1471 *
*     2890 *      2890 * 23.918447 * 2016.3337 *
*     2978 *      2978 * 4.8720743 * 882.03971 *
*     3081 *      3081 * 21.965684 * 578.40207 *
*     3088 *      3088 * 7.8481732 * 1351.6750 *
*     3089 *      3089 * 12.392087 * 342.12448 *
*     3389 *      3389 * 14.240629 * 1240.5066 *
*     3574 *      3574 * 2.1276744 * 303.23262 *
*     3581 *      3581 * 18.795765 * 1702.7346 *
*     3664 *      3664 * 3.5713381 * 394.69892 *
*     3741 *      3741 * 2.2504947 * 523.56013 *
*     3874 *      3874 * 5.3859845 * 843.40231 *
*     4094 *      4094 * 17.803200 * 2117.6919 *
*     4567 *      4567 * 5.8355960 * 665.12310 *
*     4576 *      4576 * 14.878339 * 1571.9112 *
*     4769 *      4769 * 7.8522392 * 1095.6566 *
*     4823 *      4823 * 12.130012 * 748.00283 *
*     4985 *      4985 * 23.620105 * 1720.2584 *
*     5125 *      5125 * 3.9717553 * 1081.3418 *
*     5150 *      5150 * 10.616166 * 2953.0448 *
*     5202 *      5202 * 12.314026 * 913.35283 *
*     5249 *      5249 * 10.095946 * 1370.8822 *
*     5349 *      5349 * 24.355181 * 1989.1801 *
*     5570 *      5570 * 12.319607 * 1348.4262 *
*     5624 *      5624 * 1.5743429 * 619.02819 *
*     5626 *      5626 * 15.641414 * 810.59073 *
*     5725 *      5725 * 15.600447 * 3431.8743 *
*     5771 *      5771 * 14.320046 * 763.49939 *
*     6115 *      6115 * 2.1210574 * 1043.1011 *
*     6244 *      6244 * 4.0609192 * 1243.9482 *
*     6317 *      6317 * 33.661133 * 3064.8208 *
*     6444 *      6444 * 19.043182 * 1443.4208 *
*     6459 *      6459 * 17.137986 * 837.40704 *
*     6633 *      6633 * 5.5450566 * 80.364222 *
*     6762 *      6762 * 2.6363843 * 546.38963 *
*     6782 *      6782 * 1.9813096 * 234.80918 *
*     6926 *      6926 * 16.011842 * 839.27167 *
*     6962 *      6962 * 12.907090 * 1124.8716 *
*     6981 *      6981 * 14.599184 * 2355.7130 *
*     7182 *      7182 * 12.526717 * 920.19115 *
*     7196 *      7196 * 33.534490 * 2280.1607 *
*     7252 *      7252 * 2.9256028 * 3099.7126 *
*     7631 *      7631 * 7.5265906 * 954.34331 *
*     7740 *      7740 * 1.7282755 * 1623.1670 *
*     7865 *      7865 * 0.6475551 * 227.38844 *
*     7997 *      7997 * 6.0279396 * 576.74871 *
*     8036 *      8036 * 13.325854 * 1026.8145 *
*     8136 *      8136 * 10.904566 * 865.48083 *
*     8141 *      8141 * 24.139154 * 2481.6612 *
*     8261 *      8261 * 5.0648903 * 794.05265 *
*     8429 *      8429 * 9.0723133 * 616.71852 *
*     8496 *      8496 * 11.854115 * 894.87654 *
*     8763 *      8763 * 14.178749 * 1961.7674 *
*     8853 *      8853 * 17.140276 * 1167.6174 *
*     8956 *      8956 * 36.181207 * 3973.0220 *
*     9065 *      9065 * 17.609414 * 1503.8868 *
*     9099 *      9099 * 6.7064380 * 1317.7184 *
*     9202 *      9202 * 19.958210 *  922.6086 *
*     9289 *      9289 * 10.075925 * 789.05297 *
*     9484 *      9484 * 11.887287 * 2006.2488 *
*     9488 *      9488 * 30.353748 * 3755.1856 *
*     9589 *      9589 * 5.8933103 * 282.90219 *
*     9610 *      9610 * 6.3209407 * 869.37906 *
*     9696 *      9696 * 5.6829119 * 291.71696 *
*     9802 *      9802 * 5.1423532 * 569.19060 *
*     9842 *      9842 * 4.0083704 * 329.00615 *
*    10223 *     10223 * 39.969403 * 1960.8802 *
*    10336 *     10336 * 1.7499284 * 311.56024 *
*    10508 *     10508 * 12.551729 * 2256.0930 *
*    10545 *     10545 * 11.786201 * 2026.4065 *
*    10760 *     10760 * 20.962560 * 1518.3505 *
*    10855 *     10855 * 21.524302 * 2421.5131 *
*    11017 *     11017 * 19.502743 * 526.02416 *
*    11084 *     11084 * 11.953080 * 1265.8240 *
*    11262 *     11262 * 7.9979572 * 444.50724 *
*    11379 *     11379 * 5.9899625 * 473.01941 *
*    11526 *     11526 * 1.7548390 * 251.53613 *
*    11603 *     11603 * 9.8524977 * 1373.2802 *
*    11953 *     11953 *  10.50451 * 899.22166 *
*    12087 *     12087 * 3.3944764 * 464.51800 *
*    12106 *     12106 * 6.2396336 * 555.48817 *
*    12195 *     12195 * 18.166179 * 959.03170 *
*    12201 *     12201 * 17.471561 * 84.914988 *
*    12448 *     12448 * 3.9170194 * 411.21189 *
*    12454 *     12454 * 16.138097 * 1312.0521 *
*    12509 *     12509 * 1.8321068 * 2060.0195 *
*    12542 *     12542 * 6.1390439 * 415.52774 *
*    12634 *     12634 * 9.4459050 * 215.89827 *
*    12681 *     12681 * 18.085379 * 578.39770 *
*    12787 *     12787 * 3.3439299 * 1111.2897 *
*    12801 *     12801 * 26.421869 * 2257.9912 *
*    12912 *     12912 * 9.3767450 * 877.32190 *
*    12983 *     12983 * 38.583937 * 2961.7292 *
*    13084 *     13084 * 9.4808412 * 446.44715 *
*    13111 *     13111 * 4.6265480 * 333.21958 *
*    13149 *     13149 * 8.3811748 * 765.62356 *
*    13257 *     13257 * 16.138302 * 1583.9611 *
*    13298 *     13298 * 1.6742338 * 437.90819 *
*    13342 *     13342 * 28.462865 * 1566.1991 *
*    13680 *     13680 * 13.600387 * 1328.8843 *
*    13729 *     13729 * 11.104074 * 1810.1217 *
*    13796 *     13796 * 10.879309 * 1455.8120 *
*    13819 *     13819 * 8.6760719 * 1381.0664 *
*    14404 *     14404 * 10.916356 * 1458.5673 *
*    14483 *     14483 * 5.5273470 * 1000.4155 *
*    14729 *     14729 * 11.687048 * 1817.9384 *
*    14772 *     14772 * 17.033107 * 1459.5689 *
*    14818 *     14818 * 12.319873 * 1623.7330 *
*    14906 *     14906 * 4.0054378 * 452.74885 *
*    14951 *     14951 * 13.671941 * 1796.1022 *
*    15111 *     15111 * 2.1494995 * 437.30806 *
*    15309 *     15309 * 16.324453 * 3069.9515 *
*    15346 *     15346 * 16.152310 * 1532.8067 *
*    15422 *     15422 * 2.8434931 * 2509.6700 *
*    15486 *     15486 * 28.376913 * 2220.5703 *
*    16029 *     16029 * 2.7138497 * 1277.4314 *
*    16048 *     16048 * 3.2975771 * 708.40999 *
*    16146 *     16146 * 14.138019 * 766.38261 *
*    16172 *     16172 * 2.7505353 * 949.25319 *
*    16194 *     16194 * 20.485903 * 1538.7407 *
*    16420 *     16420 * 4.8662921 * 652.03495 *
*    16568 *     16568 * 14.801190 * 1455.7439 *
*    16700 *     16700 * 2.6098110 * 691.99425 *
*    16847 *     16847 * 16.010708 * 1823.9311 *
*    16909 *     16909 * 21.847884 * 1778.0790 *
*    17038 *     17038 * 5.8434830 * 937.06110 *
*    17149 *     17149 * 11.438431 * 1897.9907 *
*    17186 *     17186 * 1.5417285 * 3645.1609 *
*    17227 *     17227 * 36.060207 * 2134.3371 *
*    17254 *     17254 * 28.482306 *  2351.583 *
*    17343 *     17343 * 17.549256 * 1712.3262 *
*    17392 *     17392 * 6.9340699 * 1858.8926 *
*    17745 *     17745 * 15.905413 * 1366.8912 *
*    17931 *     17931 * 2.1960502 * 1595.8826 *
*    17937 *     17937 * 1.9670700 * 184.18835 *
*    18042 *     18042 * 6.6068055 * 635.43782 *
*    18078 *     18078 * 24.415158 * 2007.1563 *
*    18107 *     18107 * 11.555400 * 449.97317 *
*    18117 *     18117 * 3.2154594 * 661.78968 *
*    18409 *     18409 * 10.224535 * 942.14389 *
*    18434 *     18434 * 8.7814998 * 721.43136 *
*    18738 *     18738 * 38.514322 * 3587.1160 *
*    18814 *     18814 * 28.858822 * 2461.0428 *
*    19059 *     19059 * 9.9919624 * 1510.7965 *
*    19102 *     19102 * 3.0293412 * 704.96426 *
*    19216 *     19216 * 11.975853 * 1298.1255 *
*    19304 *     19304 * 2.1722194 * 748.35380 *
*    19343 *     19343 * 19.362656 * 1506.4891 *
*    19719 *     19719 * 22.004454 * 1377.5658 *
*    19832 *     19832 * 13.290348 * 2591.8582 *
*    19854 *     19854 * 32.326678 * 132.18207 *
*    20250 *     20250 * 3.2543462 * 272.51383 *
*    20336 *     20336 * 15.994367 * 1699.8464 *
*    20620 *     20620 * 3.3600295 * 771.83766 *
*    20643 *     20643 * 33.117549 * 2396.4046 *
*    20807 *     20807 * 3.8558312 * 646.37038 *
*    20957 *     20957 * 5.8045752 * 361.27872 *
*    21650 *     21650 * 5.5934055 * 1146.2900 *
*    21715 *     21715 * 4.9221038 * 679.63063 *
*    21865 *     21865 * 5.6047685 * 909.22362 *
*    21891 *     21891 * 21.178435 * 1439.3069 *
*    21897 *     21897 * 2.4093766 * 1474.7917 *
*    21965 *     21965 * 36.205931 * 3548.1547 *
*    22047 *     22047 * 17.611490 * 1378.8539 *
*    22052 *     22052 * 11.690669 * 1421.6385 *
*    22201 *     22201 * 16.188947 * 1413.5888 *
*    22246 *     22246 * 21.446065 * 1304.3378 *
*    22349 *     22349 * 18.687507 * 1745.7409 *
*    22448 *     22448 * 26.864949 * 1579.0531 *
*    22462 *     22462 * 2.2998285 * 945.44300 *
*    22539 *     22539 * 12.175179 * 1603.0859 *
*    22572 *     22572 * 12.179272 * 2151.2040 *
*    22803 *     22803 * 14.086227 * 3095.8072 *
*    22805 *     22805 * 12.099443 * 298.62342 *
*    22911 *     22911 * 6.6222626 * 777.63490 *
*    23064 *     23064 * 27.254407 * 2740.0587 *
*    23086 *     23086 * 37.558596 * 2732.3298 *
*    23096 *     23096 * 1.8349738 * 186.13223 *
*    23239 *     23239 * 14.204033 * 1368.7677 *
*    23263 *     23263 * 23.750807 * 1756.4786 *
*    23313 *     23313 * 28.353437 * 1652.7338 *
*    23362 *     23362 * 4.2172370 * 723.54341 *
*    23393 *     23393 * 8.5876395 * 3768.1171 *
*    23446 *     23446 * 10.903751 * 1487.3199 *
*    23496 *     23496 * 4.1388612 * 688.35240 *
*    23551 *     23551 * 19.688973 * 2452.8448 *
*    23577 *     23577 * 19.017120 * 1334.8782 *
*    23590 *     23590 * 16.805486 * 1409.0503 *
*    23648 *     23648 * 34.937032 * 2974.6754 *
*    23785 *     23785 * 1.2920868 * 181.92925 *
*    24009 *     24009 * 4.3345834 * 247.84158 *
*    24050 *     24050 * 2.2680373 * 785.86535 *
*    24079 *     24079 * 2.1041604 * 2094.4702 *
*    24164 *     24164 * 27.125724 * 791.69291 *
*    24270 *     24270 * 23.209941 * 546.11400 *
*    24304 *     24304 * 20.852747 * 1802.1766 *
*    24366 *     24366 * 10.017062 * 1188.9508 *
*    24388 *     24388 * 13.312790 * 1203.9096 *
*    24411 *     24411 * 17.058043 * 2118.2210 *
