************************************************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *      X[0] *      Y[0] *         Z *
************************************************************************************
*        0 *         0 * 2.2466116 * 106784.65 * 0.0129616 * -0.796914 *  -19.1514 *
*       11 *        11 * 2753.1369 * 19346.986 * -0.362810 * 0.7403988 *  -20.5497 *
*       16 *        16 * 2.0586336 * 8232.1373 * 0.2116690 * 0.4736973 *   -8.9916 *
*       46 *        46 * 464.12361 * 113496.07 * -0.640571 * -0.010932 *   -5.9649 *
*       58 *        58 * 781.94738 * 116006.23 * 0.3409426 * -0.522285 *   -5.0091 *
*       59 *        59 * 111.35620 * 10930.148 * -0.615576 * -0.472134 *   -4.1949 *
*       65 *        65 * 655.72394 * 114848.61 * -0.452122 * 0.2712058 *   -5.5932 *
*       90 *        90 * 6.8188065 * 589.78130 * -0.382990 * -0.419896 *   -6.5136 *
*       91 *        91 * 216.97422 * 24539.803 * 0.2874822 * -0.588482 *   -7.1862 *
*       98 *        98 * 1146.3690 * 115770.16 * 0.6634337 * -0.190879 *  -11.6466 *
*      111 *       111 * 1379.9757 * 124063.05 * 0.7857557 * 0.1347643 *  -17.6292 *
*      122 *       122 * 712.52740 * 115795.16 * 0.3613931 * -0.183099 *  -14.8149 *
*      123 *       123 * 792.12854 * 122771.52 * 0.7702962 * 0.0637746 *  -14.7441 *
*      148 *       148 * 1.1895604 * 7577.7149 * -0.581413 * -0.103520 *  -23.9127 *
*      151 *       151 * 878.55524 * 122878.74 * 0.8353170 * -0.014597 *  -16.3017 *
*      155 *       155 * 850.30257 *  110391.2 * -0.420266 * 0.2875691 *   -1.9824 *
*      164 *       164 * 3.0867884 * 55804.597 * -0.409781 * 0.0273917 *  -18.0186 *
*      177 *       177 * 585.81190 * 122085.95 * -0.167714 * 0.5340464 *  -16.7442 *
*      244 *       244 * 6.7345940 * 480.40212 * -0.421567 * 0.1392571 *  -21.1338 *
*      267 *       267 * 826.35484 * 119980.01 * -0.071043 * -0.233396 *  -16.8504 *
