************************************************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *      X[0] *      Y[0] *         Z *
************************************************************************************
*        5 *         5 * 4.6064947 * 1506.0912 * -0.134984 * -0.707779 *   -16.992 *
*       11 *        11 * 867.09350 * 63079.800 * -0.291703 * -0.415667 *   -23.718 *
*       20 *        20 * 56.978019 * 3581.5147 * -0.501090 * -0.635859 *   -5.5224 *
*       25 *        25 * 1.2591516 * 289.17793 * -0.068788 * -0.099796 *   -8.9031 *
*       30 *        30 * 922.00783 * 116666.31 * -0.421744 * 0.4834445 *   -5.3985 *
*       46 *        46 * 541.72854 * 126213.69 * -0.346490 * -0.081403 *  -18.8151 *
*       87 *        87 * 2.3982774 * 73707.410 * -0.212040 * 0.3866913 *  -19.9125 *
*      102 *       102 * 855.16507 * 117081.65 * -0.476907 * 0.2836439 *   -4.0533 *
*      131 *       131 * 6.2749100 * 500.08756 * -0.097897 * 0.3233515 *   -7.0977 *
*      134 *       134 * 9.8944622 * 1163.4882 * 0.0833211 * 0.8336939 *  -19.7355 *
*      136 *       136 * 722.72158 * 124057.20 * -0.586290 * -0.122243 *  -13.5936 *
*      137 *       137 * 1090.1426 * 111441.57 * -0.528028 * 0.4447811 *   -1.6107 *
*      154 *       154 * 975.65934 * 115563.05 * 0.0019507 * -0.147568 *   -20.532 *
*      156 *       156 * 1847.8010 * 113619.95 * 0.1851490 * -0.156274 *   -22.833 *
*      206 *       206 * 1.5624367 * 59266.535 * -0.702216 * 0.1675884 *   -4.3896 *
*      211 *       211 * 890.54045 * 116007.31 * 0.5408890 * -0.326131 *   -10.797 *
*      229 *       229 * 3363.2617 * 3087.2729 * 0.0104091 * 0.1517088 *   -8.9031 *
*      233 *       233 * 1148.4397 * 126191.80 * -0.126455 * 0.7648372 *  -14.7795 *
*      236 *       236 * 882.25457 * 111804.47 * 0.3640995 * 0.2225268 *    -2.301 *
*      246 *       246 * 703.73201 * 108740.97 * -0.437382 * -0.284015 *    -1.239 *
*      249 *       249 * 1975.6411 * 81680.737 * -0.569807 * -0.559624 *  -22.6029 *
*      258 *       258 * 666.66607 * 119715.73 * -0.489013 * -0.164431 *  -14.6025 *
*      262 *       262 * 2220.4117 * 123560.18 * 0.1909902 * -0.668580 *  -21.4347 *
*      274 *       274 * 2.1695134 * 32676.863 * 0.0077565 * 0.6245881 *   -4.6197 *
*      287 *       287 * 22.083157 * 2162.6524 * -0.747413 * 0.3160417 *  -13.8591 *
*      299 *       299 *  908.6428 * 114919.18 * -0.157037 * -0.496900 *   -4.4427 *
*      310 *       310 * 589.79908 * 123424.65 * 0.1990437 * -0.355423 *  -18.4965 *
*      315 *       315 * 461.14478 * 85425.857 * -0.004222 * -0.840330 *   -1.8231 *
*      333 *       333 * 382.43117 * 74730.378 * 0.0896030 * -0.634270 *   -9.8943 *
*      336 *       336 * 204.58644 * 30215.908 * 0.3033699 * 0.0015141 *   -8.2836 *
*      348 *       348 * 304.21035 * 65474.986 * -0.429364 * -0.574895 *   -1.5753 *
*      362 *       362 * 743.25049 * 52554.675 * 0.2948756 * 0.5632546 *  -23.0277 *
*      381 *       381 * 2.4846926 * 598.78797 * -0.510132 * 0.2866280 *    -4.425 *
*      414 *       414 * 954.07002 * 126909.25 * -0.489700 * -0.184908 *  -19.2045 *
*      424 *       424 * 1036.1531 * 126871.27 * -0.389610 * 0.1887378 *   -8.6022 *
*      436 *       436 * 811.97946 * 113163.12 * 0.5445390 * 0.1752059 *   -9.1863 *
*      440 *       440 * 1500.9311 * 125960.33 * 0.6863638 * -0.354668 *  -22.5498 *
*      471 *       471 * 5.3359073 * 744.58104 * 0.1514837 * -0.818703 *  -22.3728 *
*      481 *       481 * 2.8114711 * 65374.826 * 0.3946511 * 0.4100722 *   -7.1154 *
*      517 *       517 * 935.13863 * 110726.37 * -0.477240 * -0.488263 *   -13.098 *
*      528 *       528 * 1039.5546 * 110243.27 * 0.1390870 * 0.8270015 *   -2.9736 *
*      529 *       529 * 48.495468 * 3030.4725 * 0.0731713 * -0.660849 *   -3.3984 *
*      541 *       541 * 196.32522 *  28587.38 * -0.648755 * 0.0250455 *   -2.4426 *
*      549 *       549 * 905.55347 * 114229.06 * 0.1380415 * 0.7281873 *     -5.31 *
*      560 *       560 * 55.921268 * 3050.6001 * -0.447409 * 0.3118759 *  -12.8148 *
*      564 *       564 * 585.36618 * 104628.61 * 0.1670736 * -0.793358 *   -5.7879 *
*      581 *       581 * 5.8354348 * 530.41366 * -0.387926 * 0.4082145 *   -6.0357 *
*      596 *       596 * 1027.4116 * 955.52761 * -0.205352 * -0.730585 *   -21.417 *
*      600 *       600 * 8.3032943 * 598.33260 * -0.316682 * -0.384832 *  -16.5141 *
