***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*     1917 *        0 *      1917 * 4.7484645 * 1054.9674 *
*     9797 *        0 *      9797 * 5.1365639 * 522.76192 *
*    11291 *        0 *     11291 *  13.54907 * 1545.2870 *
*    20476 *        1 *     20476 * 3.4865230 * 1131.0387 *
*    21175 *        0 *     21175 *  1.837441 *  414.9572 *
*    33953 *        1 *     33953 *  3.355154 * 759.23085 *
*    36770 *        0 *     36770 * 10.194196 * 1687.5598 *
*    41689 *        0 *     41689 * 11.124673 * 1100.3974 *
*    42508 *        0 *     42508 * 12.909714 * 1507.5315 *
*    52263 *        0 *     52263 * 12.975294 * 1596.5134 *
*    53368 *        0 *     53368 * 2.9852012 * 217.79772 *
*    58104 *        1 *     58104 * 2.8400214 * 3483.6878 *
*    61801 *        0 *     61801 * 32.308083 * 916.86687 *
*    75470 *        0 *     75470 * 6.5998546 * 869.61272 *
*    90428 *        0 *     90428 * 15.740009 * 653.28861 *
*    94097 *        0 *     94097 * 3.9502469 * 291.70154 *
*   108119 *        0 *    108119 * 2.4120781 * 512.71626 *
*   111248 *        1 *    111248 * 2.8936696 * 289.26143 *
*   111787 *        0 *    111787 * 6.7238971 * 656.03609 *
*   113874 *        0 *    113874 * 30.582443 * 2746.8387 *
*   117553 *        0 *    117553 * 30.922565 * 1728.0292 *
*   122491 *        0 *    122491 * 3.6059440 * 954.51390 *
*   129063 *        1 *    129063 * 2.4803470 * 506.47031 *
*   132116 *        0 *    132116 * 4.2626539 * 596.22280 *
*   134296 *        0 *    134296 * 15.732253 * 1771.6927 *
*   135946 *        0 *    135946 * 5.3116121 * 406.90696 *
*   160446 *        0 *    160446 * 11.236222 * 1086.9143 *
*   166628 *        0 *    166628 * 10.127716 * 1578.1143 *
*   170568 *        1 *    170568 * 7.2992247 * 897.07714 *
*   182180 *        0 *    182180 * 4.2258252 * 818.19418 *
