***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*    14030 *        0 *     14030 * 13.601421 * 1690.3544 *
*    14123 *        0 *     14123 * 6.4921229 * 387.19870 *
*    20651 *        1 *     20651 * 8.6503795 * 360.45334 *
*    22850 *        0 *     22850 * 3.9916064 * 456.29451 *
*    30464 *        0 *     30464 * 9.6605798 * 569.56342 *
*    32417 *        0 *     32417 * 6.9976198 * 616.08574 *
*    48122 *        1 *     48122 * 1.9339056 * 462.61297 *
*    69707 *        0 *     69707 * 14.944624 * 921.94701 *
*    74006 *        0 *     74006 * 5.3085284 * 554.92593 *
*    74707 *        0 *     74707 * 13.004920 * 1571.5627 *
*    76686 *        0 *     76686 * 10.394944 * 988.96799 *
*    77996 *        0 *     77996 * 5.9052659 * 301.15608 *
*    89707 *        0 *     89707 * 23.756305 * 2488.8043 *
*    89887 *        0 *     89887 * 13.951457 * 1987.0848 *
*    90625 *        0 *     90625 * 5.1059482 * 539.84906 *
*    95247 *        0 *     95247 * 2.9852962 * 309.56616 *
*   100774 *        0 *    100774 *  14.09288 * 1449.0531 *
*   102477 *        0 *    102477 * 4.4820026 * 394.92664 *
*   103103 *        0 *    103103 * 10.731894 * 665.92825 *
*   113333 *        0 *    113333 * 10.529763 * 1378.6517 *
*   114985 *        0 *    114985 * 28.535859 * 2795.8751 *
*   131329 *        0 *    131329 * 20.319605 * 1531.1428 *
*   139368 *        0 *    139368 * 16.835901 * 2147.9508 *
*   142142 *        1 *    142142 *  9.850412 * 965.40970 *
*   144266 *        0 *    144266 * 6.6794746 * 744.18403 *
*   152483 *        4 *    152483 * 2.1830194 * 2299.2395 *
*   169920 *        0 *    169920 * 37.646473 * 2315.8556 *
*   174056 *        0 *    174056 * 15.992558 * 2064.7698 *
*   177399 *        0 *    177399 * 37.144575 * 3126.7920 *
*   179662 *        0 *    179662 * 10.457491 * 890.66914 *
*   199842 *        0 *    199842 * 8.2660125 * 861.78140 *
*   200016 *        0 *    200016 * 2.9699068 * 624.42454 *
*   212610 *        1 *    212610 * 2.7463355 * 1368.0529 *
*   216714 *        0 *    216714 * 5.5029931 * 632.01589 *
*   222159 *        0 *    222159 * 2.2386261 * 512.35345 *
*   226510 *        0 *    226510 * 3.9917414 * 1022.9880 *
*   229725 *        0 *    229725 * 7.0148644 * 270.99063 *
*   230653 *        1 *    230653 * 3.5073261 * 1034.9654 *
*   232618 *        0 *    232618 * 5.4789788 * 581.77233 *
*   237354 *        0 *    237354 * 4.6085448 * 956.31391 *
*   242870 *        1 *    242870 * 5.4590485 * 580.87939 *
*   243885 *        0 *    243885 * 2.9960199 * 460.17125 *
*   246939 *        1 *    246939 * 2.8914502 * 542.46941 *
*   248386 *        0 *    248386 * 7.2439012 * 678.69139 *
*   249473 *        0 *    249473 * 9.0357687 * 702.71959 *
*   251956 *        8 *    251956 * 1.9426522 * 3096.4264 *
*   264610 *        1 *    264610 * 2.4837433 * 791.70062 *
*   265191 *        0 *    265191 * 4.8021437 * 473.28244 *
*   272637 *        1 *    272637 * 6.4981057 * 862.19819 *
*   273795 *        0 *    273795 * 6.0169886 * 972.36216 *
*   277767 *        4 *    277767 * 1.2325949 * 1886.4672 *
*   281696 *        0 *    281696 * 3.3607449 * 898.96866 *
*   285769 *        0 *    285769 * 13.061490 * 1459.6095 *
*   287437 *        0 *    287437 * 4.9485437 * 1328.7793 *
*   288106 *        0 *    288106 * 6.8262332 * 1706.2962 *
*   291407 *        0 *    291407 * 14.187225 * 1082.4755 *
*   292087 *        0 *    292087 * 5.6307980 * 902.63061 *
*   292961 *        0 *    292961 * 2.8088850 * 1088.5778 *
*   304240 *        1 *    304240 * 8.3070626 * 497.53504 *
*   309738 *        0 *    309738 * 3.4451798 * 415.33986 *
*   310744 *        0 *    310744 * 2.8235173 * 507.04748 *
*   312470 *        1 *    312470 * 2.0759250 * 573.99789 *
*   316030 *        0 *    316030 * 6.0142752 * 808.32072 *
*   316718 *        1 *    316718 * 3.0083900 * 339.41070 *
*   331687 *        3 *    331687 * 0.6560191 * 528.44131 *
*   333187 *        0 *    333187 * 17.825086 * 1458.3879 *
*   349191 *        0 *    349191 * 10.065704 * 499.34516 *
*   356321 *        0 *    356321 * 5.5911651 * 860.15171 *
*   361953 *        0 *    361953 * 12.980326 * 1516.0721 *
*   366150 *        4 *    366150 * 1.1924615 * 578.92264 *
*   372329 *        0 *    372329 * 9.0641929 * 1348.2368 *
*   374404 *        0 *    374404 * 8.4745406 * 1919.2080 *
*   378674 *        4 *    378674 * 2.2362255 *  261.7635 *
*   383306 *        0 *    383306 * 6.2454082 * 1019.6653 *
*   384915 *        0 *    384915 * 3.7641429 * 927.06450 *
*   389838 *        0 *    389838 * 6.6014468 * 683.30825 *
*   394646 *        0 *    394646 * 3.8227137 * 1117.5862 *
*   398689 *        2 *    398689 * 2.7809817 * 1733.7541 *
*   406507 *        0 *    406507 * 4.6537077 * 603.57179 *
*   423688 *        0 *    423688 * 3.7057381 * 483.66091 *
*   428179 *        0 *    428179 * 3.8595084 * 387.05313 *
*   442161 *        0 *    442161 * 21.063364 * 1639.3251 *
*   442528 *        0 *    442528 * 3.9982017 * 511.26751 *
*   444806 *        0 *    444806 * 8.6144805 * 631.57262 *
*   458463 *        1 *    458463 * 4.5326037 * 2189.3643 *
*   460699 *        0 *    460699 * 6.7940044 * 482.62974 *
*   461527 *        0 *    461527 * 3.5119860 * 379.44798 *
*   468171 *        0 *    468171 * 2.1249388 * 659.08583 *
*   472173 *        2 *    472173 * 4.2142716 * 747.79733 *
*   476202 *        0 *    476202 * 5.3436596 * 314.47082 *
*   479376 *        0 *    479376 * 4.7227624 * 452.68996 *
*   480185 *        1 *    480185 * 4.0914996 * 694.30336 *
*   488700 *        0 *    488700 * 20.792454 * 1794.3172 *
*   492283 *        1 *    492283 * 3.2488870 * 307.70713 *
*   498466 *        0 *    498466 * 7.8234022 * 350.41856 *
*   504148 *        0 *    504148 * 1.4026704 * 409.05951 *
