***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*       48 *        0 *        48 * 8.6106702 * 773.16960 *
*       88 *        0 *        88 * 27.841188 * 1828.4302 *
*     1071 *        0 *      1071 * 18.488473 * 2276.6144 *
*     2423 *        0 *      2423 * 13.431436 * 2306.2441 *
*     2995 *        0 *      2995 * 2.1605231 * 682.80359 *
*     3237 *        0 *      3237 * 17.540024 * 1058.4724 *
*     3922 *        0 *      3922 * 12.221007 * 1460.8014 *
*     4132 *        0 *      4132 * 13.338619 * 1134.4685 *
*     4666 *        0 *      4666 * 15.166305 * 1307.1971 *
*     5204 *        0 *      5204 * 4.5903280 * 1187.9498 *
*     5921 *        0 *      5921 * 10.801919 * 735.10189 *
*     5973 *        0 *      5973 * 5.5135141 * 1391.3418 *
*     6122 *        0 *      6122 * 5.1055703 * 1279.4741 *
*     6124 *        0 *      6124 * 6.7679028 * 1075.2762 *
*     6210 *        1 *      6210 * 3.7760762 * 848.65384 *
*     6267 *        0 *      6267 * 34.703882 * 3091.3097 *
*     6863 *        0 *      6863 * 6.0675232 * 440.39814 *
*     7035 *        0 *      7035 * 12.632853 * 939.48436 *
*     7767 *        0 *      7767 * 5.0456342 *  623.3904 *
*     8174 *        0 *      8174 * 4.1001276 * 589.09234 *
*     8783 *        0 *      8783 * 16.867775 * 1647.1348 *
*     9673 *        0 *      9673 * 6.2368379 * 872.88547 *
*     9937 *        0 *      9937 * 5.0599101 * 949.75903 *
*     9985 *        1 *      9985 * 4.5244440 * 800.12720 *
*    10112 *        0 *     10112 * 22.429072 * 2047.2762 *
*    10619 *        0 *     10619 * 6.2363304 * 1085.3843 *
*    10659 *        0 *     10659 * 11.487679 * 787.49985 *
*    11217 *        0 *     11217 * 9.5402561 * 1154.7678 *
*    11434 *        0 *     11434 * 13.906919 * 1397.4384 *
*    11673 *        0 *     11673 * 20.025315 * 1811.5970 *
*    11965 *        0 *     11965 * 6.9484707 * 1541.9249 *
*    12866 *        0 *     12866 * 4.2411159 * 527.21672 *
*    12890 *        0 *     12890 * 7.8545461 * 1462.9988 *
***********************************************************
