***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*     1918 *        0 *      1918 * 23.035624 * 1475.0969 *
*     2299 *        0 *      2299 * 11.797376 * 1714.0584 *
*     2500 *        0 *      2500 * 3.2952964 * 82998.145 *
*     5689 *        0 *      5689 * 16.157867 * 1019.2620 *
*     6205 *        0 *      6205 * 11.039211 *  724.5175 *
*     6891 *        0 *      6891 * 42.708687 * 2374.7404 *
*     7380 *        0 *      7380 * 12.842048 * 1413.7455 *
*     8582 *        1 *      8582 * 4.5368235 * 12297.366 *
*     9062 *        0 *      9062 * 13.285037 * 948.21427 *
*    10262 *        1 *     10262 * 2.7838354 * 18317.044 *
*    10539 *        0 *     10539 * 8.1587700 * 1401.2964 *
*    11989 *        0 *     11989 * 24.999394 * 1761.7055 *
*    15556 *        1 *     15556 * 4.3498021 * 1122.3081 *
*    15972 *        0 *     15972 * 16.677265 * 1151.3692 *
*    16331 *        1 *     16331 * 3.6283151 * 106946.91 *
*    16883 *        0 *     16883 * 8.3211833 * 962.78341 *
*    17369 *        0 *     17369 * 1.8789604 * 535.14803 *
*    17611 *        0 *     17611 * 7.2844500 * 1001.5739 *
*    17911 *        0 *     17911 * 11.265824 * 947.44045 *
*    19259 *        0 *     19259 * 4.4768634 * 1097.2266 *
*    20080 *        0 *     20080 * 56.066729 * 3707.1347 *
*    21208 *        0 *     21208 * 4.8638351 * 341.77507 *
*    21891 *        3 *     21891 * 4.6103270 * 29985.722 *
*    23519 *        0 *     23519 * 6.2671779 * 685.48951 *
*    23620 *        0 *     23620 * 985.95655 * 143306.72 *
*    26598 *        2 *     26598 * 1.9112003 * 68737.823 *
*    27012 *        0 *     27012 * 19.134483 * 1524.2603 *
*    27767 *        0 *     27767 * 1166.3696 * 125987.27 *
*    27985 *        0 *     27985 * 20.553563 * 1895.3520 *
*    28754 *        0 *     28754 * 1452.3397 * 149741.89 *
*    29513 *        0 *     29513 * 10.496280 * 1088.5468 *
*    31231 *        0 *     31231 * 4.8742885 * 1166.4091 *
*    32249 *        0 *     32249 * 11.802239 * 1429.6024 *
*    32399 *        0 *     32399 * 11.976916 * 1495.5629 *
*    32589 *        0 *     32589 * 66.892593 * 3521.8158 *
*    33210 *        0 *     33210 * 143.43775 * 1350.3487 *
*    34809 *        0 *     34809 * 20.201841 * 1623.4161 *
*    34885 *        0 *     34885 * 4.8458303 * 1286.0958 *
*    34898 *        0 *     34898 * 3726.2371 * 110740.24 *
*    37287 *        0 *     37287 * 9.2899614 * 1327.9034 *
*    38046 *        0 *     38046 * 747.73446 * 57523.908 *
*    38398 *        0 *     38398 * 13.919738 * 48833.228 *
*    38783 *        0 *     38783 * 4.5926969 * 1568.7225 *
*    40507 *        0 *     40507 * 16.496875 * 1820.1664 *
*    41437 *        0 *     41437 * 6.2249530 * 360.75954 *
*    41443 *        0 *     41443 * 8.1747493 * 663.58726 *
*    42746 *        0 *     42746 * 2.8961547 * 1211.2907 *
*    43046 *        0 *     43046 * 7.9822641 * 978.94862 *
*    43506 *        1 *     43506 * 4.1616731 * 827.28883 *
*    44236 *        0 *     44236 * 2888.9371 * 127116.53 *
*    44303 *        0 *     44303 * 29.015259 * 1980.7974 *
*    45260 *        0 *     45260 * 7.5923447 * 807.69582 *
*    45881 *        0 *     45881 * 617.37765 * 102732.38 *
*    45951 *        0 *     45951 * 15.528659 * 1236.0419 *
*    46489 *        0 *     46489 * 6.7837637 * 1606.0145 *
***********************************************************
