***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*      878 *        0 *       878 *   4.74375 * 420.14915 *
*     1044 *        0 *      1044 * 28.243716 * 2683.6565 *
*     2048 *        0 *      2048 * 13.510411 * 1353.4142 *
*     2416 *        1 *      2416 * 2.4349711 * 134561.76 *
*     2529 *        0 *      2529 * 34.981746 * 2336.2741 *
*     3476 *        0 *      3476 * 2161.1704 * 34650.337 *
*     3922 *        0 *      3922 * 8.0952354 * 1387.6869 *
*     5312 *        0 *      5312 * 21.742427 * 1513.5154 *
*     5456 *        0 *      5456 * 254.80449 * 24836.226 *
*     5899 *        0 *      5899 * 15.157739 * 1214.0062 *
*     8095 *        0 *      8095 * 3.0473324 * 88177.517 *
*     8293 *        0 *      8293 * 13.917346 * 2121.7505 *
*     8582 *        0 *      8582 * 499.94018 * 65940.225 *
*    10830 *        0 *     10830 * 19.945496 * 1283.7629 *
*    13076 *        0 *     13076 * 31.509247 * 2458.0404 *
*    13431 *        0 *     13431 * 84.288561 * 4388.4912 *
*    15416 *        0 *     15416 * 11.765232 * 929.77492 *
*    15446 *        0 *     15446 * 912.69308 * 139070.90 *
*    15583 *        0 *     15583 * 10.131878 * 1063.1364 *
*    15722 *        0 *     15722 * 11.663407 * 1366.0134 *
*    18258 *        0 *     18258 * 17.879619 * 1877.2058 *
*    18394 *        1 *     18394 * 2.7398183 * 71496.057 *
*    19027 *        1 *     19027 * 8.7722191 * 99959.953 *
*    19937 *        0 *     19937 * 86.947923 * 4203.3806 *
*    21636 *        1 *     21636 * 4.5254082 * 113547.26 *
*    23220 *        0 *     23220 * 6.1057170 * 610.99677 *
*    23801 *        0 *     23801 * 11.782258 * 1430.4318 *
*    23884 *        0 *     23884 * 8.1008958 * 1173.6363 *
*    24711 *        0 *     24711 * 7.3257076 * 1810.7034 *
*    26742 *        0 *     26742 * 1290.3345 * 1636.6690 *
*    28200 *        0 *     28200 * 11.320503 * 1025.2276 *
*    28751 *        0 *     28751 * 3.0649361 * 60227.023 *
*    29025 *        0 *     29025 * 18.916556 * 1447.2852 *
*    29201 *        0 *     29201 *   16.4735 * 1964.5631 *
*    29331 *        0 *     29331 * 60.607189 * 3533.7562 *
*    30626 *        0 *     30626 * 10.344240 * 1368.2290 *
*    30971 *        0 *     30971 * 10.925037 * 1338.9518 *
*    31833 *        0 *     31833 * 734.45926 * 121844.01 *
*    31887 *        0 *     31887 * 6.1718354 * 1707.9376 *
*    32211 *        0 *     32211 * 13.928122 * 1225.3018 *
*    32516 *        1 *     32516 * 3.5287666 * 77291.925 *
*    33444 *        0 *     33444 * 658.04152 * 57432.923 *
*    35155 *        0 *     35155 * 31.009746 * 2329.0874 *
*    35603 *        0 *     35603 * 22.608669 * 1695.3606 *
*    35859 *        0 *     35859 * 6.8817652 * 1382.3795 *
*    36669 *        0 *     36669 * 32.877729 * 2364.6435 *
*    36928 *        0 *     36928 * 40.013534 * 4675.6303 *
*    37124 *        0 *     37124 * 4.2121508 * 1375.2391 *
*    37208 *        0 *     37208 * 4.4536650 * 1211.7332 *
*    37754 *        1 *     37754 * 11.763415 * 1216.6192 *
*    39371 *        0 *     39371 * 3.1131419 * 1171.9059 *
*    39411 *        0 *     39411 * 842.34615 * 131036.51 *
*    40189 *        1 *     40189 * 2.9097407 * 2722.5375 *
*    40993 *        0 *     40993 * 547.20108 * 92646.250 *
*    41154 *        0 *     41154 * 19.164344 * 1137.2013 *
*    41312 *        0 *     41312 * 16.410228 * 815.10642 *
*    42572 *        0 *     42572 * 619.31082 * 106544.88 *
*    45158 *        0 *     45158 * 15.907647 * 1083.2379 *
*    45785 *        0 *     45785 * 4.2613689 * 933.16334 *
*    46096 *        0 *     46096 * 4.5848004 * 1041.9677 *
*    46317 *        0 *     46317 * 5.6046012 * 39608.805 *
*    47677 *        0 *     47677 * 6.0980228 * 1001.7238 *
*    51266 *        0 *     51266 * 3.6249204 * 1122.3090 *
*    53552 *        0 *     53552 * 4.3917950 * 441.91931 *
*    54203 *        0 *     54203 * 6.6321141 * 1274.2440 *
*    54733 *        0 *     54733 * 859.89595 * 14705.888 *
*    54762 *        0 *     54762 * 6.6143627 * 1001.6041 *
*    54913 *        0 *     54913 * 14.332266 * 1040.5739 *
*    56952 *        0 *     56952 * 499.91765 * 84948.721 *
*    57290 *        0 *     57290 * 6.2043682 * 1056.3284 *
*    61787 *        0 *     61787 * 43.482773 * 3750.2466 *
*    62583 *        0 *     62583 * 5.0305770 * 302.01474 *
*    63038 *        0 *     63038 * 16.149700 * 1381.9494 *
*    63762 *        0 *     63762 * 206.54928 * 23198.312 *
***********************************************************
