***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*      624 *        0 *       624 * 12.512537 * 1632.2595 *
*      688 *        0 *       688 * 14.252119 * 1533.0855 *
*     1515 *        0 *      1515 * 15.392768 * 1708.7668 *
*     1519 *        0 *      1519 * 10.478347 * 1436.0687 *
*     2058 *        0 *      2058 * 14.391362 * 1511.0598 *
*     2528 *        0 *      2528 * 8.5930203 * 1299.6376 *
*     2605 *        0 *      2605 * 14.852549 * 1177.9543 *
*     2643 *        0 *      2643 * 10.085522 * 1701.2271 *
*     2903 *        0 *      2903 * 16.744352 * 1498.7657 *
*     3056 *        0 *      3056 * 2.6749263 * 513.70164 *
*     3414 *        0 *      3414 * 18.480946 * 730.57303 *
*     3433 *        0 *      3433 * 32.190342 * 1832.8444 *
*     3474 *        0 *      3474 * 11.674604 * 980.11840 *
*     3556 *        0 *      3556 * 6.2850889 * 949.15684 *
*     3574 *        0 *      3574 * 6.3904253 * 1456.9117 *
*     3597 *        0 *      3597 * 11.425472 * 1980.5848 *
*     3788 *        0 *      3788 * 3.3052846 * 389.07569 *
*     3958 *        0 *      3958 * 16.727249 * 1360.6809 *
*     4190 *        0 *      4190 * 10.941357 * 1314.6243 *
*     4358 *        0 *      4358 * 17.740410 * 1514.0592 *
*     4503 *        0 *      4503 *  9.603855 * 1262.7600 *
*     4634 *        0 *      4634 * 11.086574 * 926.02005 *
*     4978 *        0 *      4978 * 28.614218 * 2328.4906 *
*     4992 *        0 *      4992 * 15.581156 * 1265.4539 *
*     5300 *        0 *      5300 * 18.866690 * 1741.1278 *
*     5899 *        0 *      5899 * 37.597394 * 2291.3764 *
*     5909 *        0 *      5909 * 10.674814 * 1558.0667 *
*     6050 *        0 *      6050 * 8.4642176 * 1492.4986 *
*     6196 *        0 *      6196 *  19.32564 * 1619.2421 *
*     6201 *        0 *      6201 * 15.307278 * 1908.4746 *
*     6264 *        0 *      6264 * 6.2682466 * 1273.3099 *
*     6336 *        0 *      6336 * 18.676175 * 1396.3210 *
*     6678 *        0 *      6678 * 10.811180 * 869.08369 *
*     6687 *        0 *      6687 * 4.2523351 * 459.15806 *
*     6698 *        0 *      6698 * 8.8781037 * 990.63106 *
*     7064 *        1 *      7064 * 38.541317 * 1465.0021 *
*     8414 *        0 *      8414 * 9.7983267 * 1696.7913 *
*     8501 *        0 *      8501 *  14.72646 * 1353.3806 *
*     9049 *        0 *      9049 * 23.827887 * 1717.0143 *
*     9296 *        0 *      9296 * 30.739572 * 1994.3352 *
*     9396 *        0 *      9396 * 11.939195 * 1745.8182 *
*     9419 *        0 *      9419 * 4.8286428 * 162.52018 *
*     9485 *        0 *      9485 * 11.265591 * 832.64751 *
*     9573 *        0 *      9573 * 4.8670436 * 1519.2922 *
*    10185 *        0 *     10185 * 13.381602 * 1921.0223 *
*    10442 *        0 *     10442 * 20.693774 * 1715.4199 *
*    10651 *        0 *     10651 * 15.502463 * 1705.7199 *
*    10793 *        0 *     10793 * 6.9542836 * 497.57645 *
*    10840 *        0 *     10840 * 8.0085293 * 495.60443 *
*    11337 *        0 *     11337 * 21.433145 * 1527.9455 *
*    11409 *        0 *     11409 * 7.9000702 * 1774.6540 *
*    11976 *        0 *     11976 * 25.228855 * 1607.9969 *
*    12490 *        0 *     12490 * 16.336959 * 1561.3075 *
*    12901 *        0 *     12901 * 10.072339 * 859.72946 *
*    13109 *        0 *     13109 * 23.238534 * 1839.8023 *
*    13314 *        0 *     13314 * 5.4505680 * 927.65107 *
*    13889 *        0 *     13889 * 26.417894 * 2256.1822 *
*    14076 *        0 *     14076 * 16.942759 * 1640.9557 *
*    14126 *        0 *     14126 * 11.888307 * 2196.5708 *
*    14246 *        0 *     14246 * 15.682463 * 1404.6508 *
*    14497 *        0 *     14497 * 24.109294 * 1583.3388 *
*    14505 *        0 *     14505 * 17.917390 * 1520.5345 *
*    15494 *        0 *     15494 * 13.942567 * 1717.8688 *
*    15634 *        0 *     15634 * 5.0874802 * 324.03724 *
*    15722 *        0 *     15722 * 20.057988 * 1705.8251 *
*    15725 *        0 *     15725 * 5.8497438 * 736.93009 *
*    15732 *        0 *     15732 * 28.058087 * 2186.5987 *
*    16272 *        0 *     16272 * 5.1345980 * 737.13778 *
*    16278 *        0 *     16278 * 16.708486 * 1452.0238 *
*    16388 *        0 *     16388 * 25.198512 * 1358.6091 *
*    16600 *        0 *     16600 * 32.002478 * 1314.4656 *
*    16743 *        0 *     16743 * 27.066496 * 1391.4326 *
*    16832 *        0 *     16832 * 14.258334 * 2248.2396 *
*    17205 *        0 *     17205 * 15.743720 * 1668.9642 *
*    17386 *        0 *     17386 * 19.634512 * 1693.2782 *
*    18643 *        0 *     18643 * 31.918842 * 1337.9228 *
*    19684 *        0 *     19684 * 30.121747 * 1948.8914 *
*    19741 *        0 *     19741 * 25.784125 * 2525.7508 *
*    19746 *        0 *     19746 * 9.9043625 * 802.72739 *
*    20618 *        0 *     20618 * 11.449094 * 1190.2147 *
*    20727 *        1 *     20727 * 11.424023 * 695.47753 *
*    21214 *        0 *     21214 * 11.607374 * 1999.7069 *
*    22346 *        0 *     22346 * 14.353709 * 2047.9438 *
*    22383 *        0 *     22383 * 12.626354 * 1854.7811 *
*    22403 *        0 *     22403 * 17.882539 * 1631.6066 *
*    23443 *        0 *     23443 * 22.156609 * 1789.7337 *
*    23728 *        0 *     23728 * 8.5862802 * 975.24371 *
*    24012 *        0 *     24012 * 8.1195434 * 1751.3882 *
*    24951 *        0 *     24951 * 14.096799 * 1681.5036 *
*    25354 *        0 *     25354 * 17.922664 * 1443.0299 *
*    25374 *        0 *     25374 * 9.8460513 * 1182.9282 *
*    25558 *        0 *     25558 * 38.943750 * 2792.2906 *
*    25612 *        0 *     25612 * 26.034008 * 2203.8880 *
*    25618 *        0 *     25618 * 19.301218 * 1943.4856 *
*    25824 *        1 *     25824 * 13.353424 * 1483.8242 *
*    26127 *        0 *     26127 * 4.9675843 * 420.19995 *
*    27667 *        0 *     27667 * 16.007226 * 2316.3849 *
*    28382 *        0 *     28382 * 31.068661 * 1907.6696 *
*    28626 *        0 *     28626 * 16.597985 * 1736.6123 *
*    28810 *        0 *     28810 * 7.3565967 * 968.14847 *
*    29659 *        0 *     29659 * 16.333441 * 1993.4431 *
*    29875 *        0 *     29875 * 21.398819 * 2093.3111 *
*    29924 *        0 *     29924 * 3.0901393 * 1166.1108 *
*    30008 *        0 *     30008 * 8.7271648 * 916.66555 *
*    30027 *        0 *     30027 * 21.357466 * 1309.8910 *
*    30250 *        0 *     30250 * 32.512411 * 2857.2215 *
*    30621 *        0 *     30621 * 15.237216 * 1900.1873 *
*    30667 *        0 *     30667 * 18.532301 * 2125.6927 *
*    30764 *        0 *     30764 * 10.584919 * 1460.5796 *
*    30942 *        0 *     30942 * 11.585911 * 2030.0389 *
*    31079 *        0 *     31079 * 10.469517 * 1939.7899 *
*    31435 *        0 *     31435 * 9.8726819 * 857.65995 *
*    31906 *        0 *     31906 * 12.859639 * 1040.2759 *
*    32033 *        0 *     32033 * 12.712529 * 1606.9829 *
*    32828 *        0 *     32828 * 21.014018 * 2480.5929 *
*    33202 *        0 *     33202 * 12.693430 * 1305.8575 *
*    33933 *        0 *     33933 * 10.617538 * 1522.7302 *
*    34100 *        0 *     34100 * 38.163918 * 2973.9976 *
*    34299 *        0 *     34299 * 17.573764 * 1882.1243 *
*    34340 *        0 *     34340 * 7.4132057 * 1074.9405 *
*    34518 *        1 *     34518 * 2.0259122 * 462.63424 *
*    34624 *        0 *     34624 * 18.448563 * 1539.7873 *
*    34794 *        0 *     34794 * 24.012368 * 1333.7196 *
*    35071 *        0 *     35071 * 7.7826537 * 1693.6567 *
*    35308 *        0 *     35308 * 6.0505457 * 759.35707 *
*    35382 *        0 *     35382 * 4.6488179 * 619.79911 *
*    35517 *        0 *     35517 * 19.828975 * 1907.5688 *
*    35664 *        0 *     35664 * 21.154007 * 2056.1591 *
*    35941 *        0 *     35941 * 7.9667691 * 643.32596 *
*    36054 *        0 *     36054 *  16.84805 * 1599.9060 *
*    36239 *        0 *     36239 * 32.947246 * 2469.0694 *
*    36944 *        0 *     36944 * 11.584035 * 938.06142 *
*    37161 *        0 *     37161 * 18.319440 * 1412.0939 *
*    37835 *        0 *     37835 * 6.9188897 * 928.34075 *
*    38562 *        0 *     38562 * 26.152384 *  1590.401 *
*    38752 *        0 *     38752 * 21.856153 * 1810.2614 *
*    38876 *        0 *     38876 * 12.469424 * 1619.0888 *
*    39311 *        0 *     39311 * 9.4648803 * 497.12973 *
*    39800 *        0 *     39800 * 12.816518 * 1481.1572 *
*    40014 *        0 *     40014 * 20.424220 * 2106.8549 *
*    40100 *        0 *     40100 * 21.267104 * 1655.1957 *
*    40514 *        0 *     40514 * 13.581817 * 1577.1991 *
*    40516 *        0 *     40516 * 6.7382835 * 1009.2599 *
*    40890 *        0 *     40890 * 15.195435 * 1989.3782 *
*    41165 *        0 *     41165 * 6.3439458 * 1001.6995 *
*    41324 *        1 *     41324 * 10.912632 * 1095.4717 *
*    41413 *        0 *     41413 * 9.2252753 * 1259.2415 *
*    41599 *        0 *     41599 * 4.6915559 * 1055.0128 *
*    41651 *        0 *     41651 * 10.665792 * 2437.3464 *
*    41688 *        0 *     41688 * 23.447393 * 2350.9508 *
*    41836 *        0 *     41836 * 15.699880 * 1047.5672 *
*    41960 *        0 *     41960 * 8.4774360 * 900.78625 *
*    41989 *        0 *     41989 * 7.5666200 * 1550.0809 *
*    42061 *        0 *     42061 * 30.417583 * 2121.0559 *
*    42116 *        0 *     42116 * 13.375824 * 1393.1572 *
*    42429 *        0 *     42429 *  15.14992 * 901.04759 *
*    42436 *        0 *     42436 * 20.312422 * 1837.5167 *
*    43221 *        0 *     43221 * 26.390871 * 2086.4162 *
*    43446 *        0 *     43446 * 5.7004572 * 1176.8001 *
*    43464 *        0 *     43464 * 11.236360 * 842.29161 *
*    44528 *        0 *     44528 * 6.1797813 * 1374.0778 *
*    44636 *        0 *     44636 * 14.636466 * 1319.4773 *
*    44892 *        0 *     44892 * 18.176674 * 2092.2455 *
*    45731 *        0 *     45731 * 5.9154569 * 1268.1209 *
*    46141 *        0 *     46141 * 7.5162312 * 1112.2091 *
*    46321 *        0 *     46321 * 10.104623 * 1246.3997 *
*    46384 *        0 *     46384 * 38.636619 * 2206.4135 *
*    46394 *        0 *     46394 * 7.8194362 * 692.52127 *
*    46532 *        0 *     46532 * 9.0529924 * 1417.4055 *
*    46702 *        0 *     46702 * 5.7124891 * 665.38777 *
*    46727 *        0 *     46727 * 8.5232840 * 982.59371 *
*    46915 *        0 *     46915 * 14.648035 * 1369.9910 *
*    47310 *        0 *     47310 * 19.642157 * 2011.4663 *
*    47441 *        0 *     47441 * 6.0185320 * 1420.1005 *
*    47444 *        0 *     47444 * 17.544131 * 2204.1922 *
*    47466 *        0 *     47466 * 9.4995452 * 932.26402 *
*    47489 *        0 *     47489 * 20.027903 * 1873.5744 *
*    47756 *        0 *     47756 * 12.269385 * 1132.5274 *
*    48490 *        0 *     48490 * 17.970806 * 1459.0056 *
*    48912 *        0 *     48912 * 5.6887792 * 753.02744 *
*    48921 *        0 *     48921 * 15.066970 * 1326.0838 *
*    49127 *        0 *     49127 * 18.436764 * 1433.4371 *
*    49319 *        0 *     49319 * 6.3455138 * 952.93434 *
*    50046 *        0 *     50046 * 32.134026 * 1286.2050 *
*    50054 *        0 *     50054 * 26.063868 * 1799.0172 *
*    50120 *        0 *     50120 * 5.8304683 * 940.27402 *
*    50836 *        0 *     50836 *  27.17552 * 2102.9738 *
*    51649 *        0 *     51649 * 14.813461 * 1500.1774 *
*    52038 *        0 *     52038 * 21.258983 * 2409.5559 *
*    52050 *        0 *     52050 * 27.397600 * 2170.7668 *
*    52667 *        0 *     52667 * 27.180651 * 1805.8041 *
*    52815 *        0 *     52815 * 15.101766 * 1339.4062 *
*    52984 *        0 *     52984 * 28.971108 * 1875.6522 *
*    54029 *        0 *     54029 * 3.5255914 * 682.11286 *
*    54065 *        0 *     54065 * 29.222238 * 1812.5857 *
*    54158 *        0 *     54158 * 11.850172 * 2187.4047 *
*    54202 *        0 *     54202 * 26.258182 * 1663.5441 *
*    54209 *        0 *     54209 * 7.3455945 *  484.3242 *
*    54292 *        0 *     54292 * 22.426666 * 2119.2628 *
*    54815 *        0 *     54815 * 20.349092 * 1871.4721 *
