************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *
************************************************
*       14 *        14 * 8.2903765 * 1294.3250 *
*       58 *        58 * 11.277544 * 1199.5682 *
*      117 *       117 * 39.213576 * 2387.7004 *
*      130 *       130 * 18.334244 * 1680.1185 *
*      362 *       362 * 23.918278 * 1609.4926 *
*      517 *       517 * 5.5606377 * 2244.4459 *
*      717 *       717 * 18.125330 * 2331.4476 *
*      732 *       732 * 5.6583809 * 1324.5815 *
*      788 *       788 * 28.792160 * 2055.5943 *
*      859 *       859 * 16.908864 * 256.97895 *
*      892 *       892 * 19.852404 * 1870.2071 *
*      989 *       989 * 15.497301 * 1775.5380 *
*     1040 *      1040 * 10.275055 * 1297.8461 *
*     1081 *      1081 * 27.533219 * 936.28941 *
*     1092 *      1092 * 35.058736 * 3036.3861 *
*     1094 *      1094 * 8.2048416 * 594.59871 *
*     1189 *      1189 * 12.329416 * 1052.3399 *
*     1377 *      1377 * 22.592445 * 1507.4157 *
*     1385 *      1385 * 14.299275 * 1208.6798 *
*     1550 *      1550 * 14.190746 * 994.49577 *
*     1585 *      1585 * 6.2366257 * 1649.5627 *
*     1650 *      1650 * 29.321464 * 1793.5313 *
*     1755 *      1755 * 3.7515191 * 787.89525 *
*     1839 *      1839 * 7.4320734 *  1172.615 *
*     1862 *      1862 * 15.075066 * 1705.5665 *
*     1969 *      1969 * 2.3991358 * 858.63739 *
*     1992 *      1992 * 12.629872 * 1433.1440 *
*     2026 *      2026 * 4.2726783 * 858.93393 *
*     2075 *      2075 * 12.354508 * 269.17283 *
*     2109 *      2109 * 3.6518978 * 583.64928 *
*     2124 *      2124 * 9.2339111 * 889.84814 *
*     2177 *      2177 * 8.1891016 * 882.27027 *
*     2280 *      2280 * 6.0238508 * 1135.6034 *
*     2300 *      2300 * 11.008963 * 2102.8155 *
*     2491 *      2491 * 9.9413643 * 1662.1982 *
*     2515 *      2515 * 28.814050 * 2704.8058 *
*     2565 *      2565 * 10.819602 * 986.39414 *
*     2643 *      2643 * 2.2340422 * 853.11245 *
*     2717 *      2717 * 22.412205 * 2737.4548 *
*     2756 *      2756 * 33.829811 * 3020.8677 *
*     2779 *      2779 * 13.507846 * 1378.2056 *
*     2846 *      2846 * 7.5610451 * 410.61438 *
*     2899 *      2899 * 16.453678 * 1808.2611 *
*     2913 *      2913 * 15.570489 * 816.62983 *
*     2987 *      2987 * 16.795246 * 869.25809 *
*     3021 *      3021 * 20.410955 * 3525.9130 *
*     3052 *      3052 * 5.5545566 * 966.58717 *
*     3105 *      3105 * 4.1384549 * 735.36789 *
*     3126 *      3126 * 19.858664 * 1643.6835 *
*     3135 *      3135 * 7.0222102 * 699.07081 *
*     3187 *      3187 * 22.614572 * 2506.5231 *
*     3231 *      3231 * 13.242646 * 1503.7320 *
*     3313 *      3313 * 16.588807 * 1327.1829 *
*     3401 *      3401 * 14.000257 * 1249.5723 *
*     3633 *      3633 * 7.8118801 * 768.82048 *
