************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *
************************************************
*       17 *        17 * 453.04816 *  112786.3 *
*       21 *        21 * 741.59150 * 114401.62 *
*       26 *        26 * 2.8968846 * 69001.264 *
*       35 *        35 * 717.62668 * 112751.82 *
*       46 *        46 * 3156.0106 * 2692.3550 *
*       58 *        58 * 5.8872869 * 917.05399 *
*       62 *        62 * 425.10952 * 25061.273 *
*       65 *        65 * 169.47063 * 40409.688 *
*       78 *        78 * 505.26684 * 107565.96 *
*       79 *        79 * 3.0830168 * 47535.817 *
*       94 *        94 *  3.240621 * 307.04279 *
*       98 *        98 * 262.24238 * 89443.910 *
*      105 *       105 * 39.758936 * 2876.4936 *
*      107 *       107 * 293.94584 * 107531.54 *
*      116 *       116 * 167.29488 * 5874.6429 *
*      122 *       122 * 6.3850188 * 1165.6548 *
*      137 *       137 * 445.51725 * 107887.69 *
*      142 *       142 * 1.8114851 * 56218.772 *
*      143 *       143 * 189.80459 * 30731.574 *
*      146 *       146 * 4.9253415 * 551.74615 *
*      152 *       152 * 7.7593084 * 1694.3931 *
*      155 *       155 * 613.66894 * 113771.05 *
*      156 *       156 * 23.654027 * 1859.7233 *
*      165 *       165 * 373.06121 * 102690.69 *
*      168 *       168 * 13.304087 * 1298.3849 *
*      175 *       175 * 696.53130 *  112637.8 *
*      186 *       186 * 790.16557 * 34640.244 *
*      191 *       191 * 1840.8915 * 112047.43 *
*      213 *       213 * 157.43175 * 45239.122 *
*      230 *       230 * 576.95393 * 112324.59 *
*      256 *       256 * 1251.2080 * 4036.9020 *
*      268 *       268 * 3.7423737 * 53350.542 *
*      271 *       271 * 2.7872178 * 49577.217 *
*      288 *       288 * 584.72930 * 117871.06 *
*      318 *       318 * 0.8562652 * 44211.952 *
*      323 *       323 * 34.951388 * 2817.4101 *
*      329 *       329 * 718.48800 * 106849.05 *
*      339 *       339 * 472.29999 * 111844.22 *
*      343 *       343 * 320.90578 * 47153.826 *
*      367 *       367 * 770.68389 * 113573.98 *
*      385 *       385 * 44.601374 * 2759.1031 *
*      392 *       392 * 2.9951430 * 70988.740 *
*      420 *       420 * 713.83418 *  109765.8 *
*      434 *       434 * 72.110150 * 20167.490 *
*      465 *       465 * 67.411677 * 2164.5229 *
*      466 *       466 * 898.79697 * 113478.20 *
*      467 *       467 * 10.249077 * 1407.9839 *
*      468 *       468 * 518.58340 * 117734.26 *
*      476 *       476 * 338.09935 * 54671.162 *
*      506 *       506 * 2837.4579 * 45951.525 *
*      510 *       510 * 10.693921 * 1280.6189 *
*      514 *       514 * 489.45071 * 108743.95 *
*      541 *       541 * 26.314838 * 2000.4595 *
*      547 *       547 * 937.92205 * 113861.47 *
*      570 *       570 * 18.953093 *  2254.087 *
*      574 *       574 * 3.5334988 * 36194.111 *
*      587 *       587 * 566.30280 * 109637.08 *
*      606 *       606 * 535.69771 * 109273.91 *
*      607 *       607 * 428.89480 * 116613.18 *
*      611 *       611 * 120.11029 * 9053.7987 *
*      612 *       612 * 583.14121 * 110253.99 *
*      614 *       614 * 712.17055 * 111879.81 *
*      616 *       616 * 4.4138380 * 61894.470 *
*      618 *       618 * 3.0193149 * 31027.441 *
*      636 *       636 * 136.78147 * 4895.0632 *
*      638 *       638 * 49.828395 * 3132.2652 *
*      656 *       656 * 233.50435 * 411.24808 *
*      668 *       668 * 2481.9085 * 97514.662 *
*      685 *       685 * 633.79224 * 108447.19 *
*      689 *       689 * 22.748002 * 1923.5448 *
*      703 *       703 * 8.5562469 * 1217.4270 *
*      704 *       704 * 3.5694742 * 27427.156 *
*      707 *       707 * 11.857633 * 1298.6594 *
*      721 *       721 * 3.5209813 * 47651.438 *
*      748 *       748 * 587.16599 * 96387.175 *
*      795 *       795 * 620.60883 * 98629.840 *
*      821 *       821 * 3.6395081 * 59862.337 *
*      832 *       832 * 28.710231 * 1999.1226 *
*      836 *       836 * 751.98509 * 121244.76 *
*      843 *       843 * 547.08312 * 90835.501 *
*      874 *       874 * 353.69610 * 102311.51 *
*      875 *       875 * 475.11936 * 108481.17 *
*      911 *       911 * 3.2635135 * 69170.758 *
*      926 *       926 * 824.68513 * 114517.75 *
*      931 *       931 * 18.491838 * 2399.9932 *
*      983 *       983 * 3.5075659 * 68360.979 *
*      997 *       997 * 1984.1443 * 27568.428 *
*     1011 *      1011 * 722.95246 * 113618.13 *
*     1029 *      1029 * 559.23259 * 107166.00 *
*     1036 *      1036 * 21.244591 * 1273.9873 *
*     1041 *      1041 * 2.6533535 * 71194.958 *
*     1052 *      1052 * 2.3306558 * 108183.32 *
*     1058 *      1058 * 803.95719 * 112765.59 *
*     1059 *      1059 * 3.0271714 * 55815.892 *
*     1097 *      1097 * 1398.0145 * 111931.15 *
*     1103 *      1103 * 576.11970 * 109494.89 *
*     1109 *      1109 * 664.60339 * 112596.65 *
*     1123 *      1123 * 1220.6551 * 113638.98 *
*     1125 *      1125 * 25.418814 * 1645.9230 *
*     1131 *      1131 * 632.99846 * 115387.99 *
*     1136 *      1136 * 164.92016 * 31159.667 *
*     1149 *      1149 * 359.61275 * 110096.57 *
*     1153 *      1153 * 689.13751 * 114627.02 *
*     1162 *      1162 * 489.25754 * 113469.71 *
*     1173 *      1173 * 91.652961 * 4047.6611 *
*     1177 *      1177 * 2.2090064 * 72515.839 *
*     1187 *      1187 * 804.94522 * 4548.1914 *
*     1216 *      1216 * 712.05045 * 116241.90 *
*     1228 *      1228 * 720.31044 * 111472.26 *
*     1231 *      1231 * 684.47694 * 117509.72 *
*     1258 *      1258 * 2.5565927 * 109372.71 *
*     1270 *      1270 * 13.090405 * 2083.1306 *
*     1271 *      1271 * 2.3029715 * 797.59663 *
*     1280 *      1280 * 544.74485 * 88837.355 *
*     1327 *      1327 * 167.00787 * 27749.738 *
*     1354 *      1354 * 3.1952371 * 69781.118 *
*     1355 *      1355 * 2.2453282 * 73462.626 *
*     1364 *      1364 * 2.3394932 * 614.29258 *
*     1368 *      1368 * 9.3234372 * 1263.5263 *
*     1372 *      1372 * 885.65169 * 114788.10 *
*     1398 *      1398 * 733.95872 * 110047.88 *
*     1409 *      1409 * 12.326388 * 1751.3925 *
*     1418 *      1418 * 1.7938324 * 74500.568 *
*     1432 *      1432 * 10.823081 * 1325.7873 *
*     1447 *      1447 * 534.30684 * 108858.42 *
*     1457 *      1457 * 552.05400 * 110949.93 *
*     1462 *      1462 * 384.50004 * 103244.37 *
*     1466 *      1466 * 14.490384 * 1663.0307 *
*     1489 *      1489 * 2.4430581 * 61855.735 *
*     1492 *      1492 * 4.2851362 * 60853.579 *
*     1507 *      1507 * 29.929778 * 2457.0198 *
*     1533 *      1533 * 2.9922654 * 1267.8530 *
*     1535 *      1535 * 330.22102 * 89989.703 *
*     1538 *      1538 * 592.81120 * 107235.61 *
*     1543 *      1543 * 789.96991 * 116214.96 *
*     1545 *      1545 * 264.13075 * 47927.680 *
*     1547 *      1547 *  1415.453 * 18069.344 *
*     1564 *      1564 * 791.68073 * 116309.94 *
*     1582 *      1582 * 721.91029 * 115673.49 *
*     1590 *      1590 * 269.32925 * 29997.658 *
*     1603 *      1603 * 690.24268 * 113742.48 *
*     1607 *      1607 * 4.4129011 * 569.08427 *
*     1628 *      1628 * 692.87424 * 107091.94 *
*     1647 *      1647 * 404.92803 * 111780.20 *
*     1654 *      1654 * 1.5856416 * 31406.973 *
*     1655 *      1655 * 17.083174 * 1580.2001 *
*     1676 *      1676 * 957.18649 * 138125.53 *
*     1688 *      1688 * 624.52494 * 113092.59 *
*     1714 *      1714 * 29.408201 * 3136.9280 *
*     1723 *      1723 *  8.466276 * 1364.7494 *
*     1726 *      1726 * 3.3863846 * 56867.934 *
*     1732 *      1732 * 284.78021 * 81101.055 *
*     1740 *      1740 * 389.49612 * 111749.68 *
*     1750 *      1750 * 18.819954 * 1418.2729 *
*     1751 *      1751 * 663.49982 * 117575.59 *
*     1759 *      1759 * 1.4300807 * 109884.54 *
*     1768 *      1768 * 113.84139 * 4421.4270 *
*     1774 *      1774 * 1683.2836 * 5196.0036 *
*     1776 *      1776 * 556.79003 * 114778.93 *
*     1791 *      1791 *  4.038021 * 531.45348 *
*     1794 *      1794 * 812.66515 * 119679.36 *
*     1811 *      1811 * 13.846419 * 994.66063 *
*     1815 *      1815 * 358.51511 * 78725.230 *
*     1844 *      1844 * 624.24106 * 114360.88 *
*     1845 *      1845 * 3.8350733 * 3347.6453 *
*     1846 *      1846 * 598.86292 * 112915.15 *
*     1880 *      1880 * 581.09583 * 123322.22 *
*     1882 *      1882 * 11.793331 * 1201.4881 *
*     1896 *      1896 * 63.856034 * 3435.8999 *
*     1915 *      1915 * 677.58272 * 100798.41 *
*     1926 *      1926 * 228.45280 * 37020.191 *
*     1931 *      1931 * 372.80450 * 106003.26 *
*     1940 *      1940 * 8.4281794 * 903.77533 *
*     1981 *      1981 * 8.8812662 * 1085.9693 *
*     2008 *      2008 * 20.333763 * 2058.4762 *
*     2009 *      2009 * 2.1583279 * 11696.682 *
*     2023 *      2023 * 21.432966 * 1835.7723 *
*     2026 *      2026 * 266.47257 * 33612.464 *
*     2032 *      2032 * 9.8088356 * 1494.6732 *
*     2034 *      2034 * 179.11585 * 39859.054 *
