************************************************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *      X[0] *      Y[0] *         Z *
************************************************************************************
*        0 *         0 * 634.71319 * 108455.59 * -0.408418 * -0.277668 *     -3.68 *
*       24 *        24 * 6.2590086 * 516.68873 * -0.493393 * -0.159884 *     -9.22 *
*       31 *        31 * 435.77534 * 101322.87 * 0.1103252 * 0.1807555 *      -3.9 *
*       33 *        33 * 495.41746 * 115741.40 * -0.667530 * -0.286927 *     -6.54 *
*       51 *        51 * 626.52908 * 104507.86 * -0.061424 * 0.8345965 *     -6.24 *
*       57 *        57 * 596.49464 * 108976.26 * 0.2592415 * -0.654810 *        -6 *
*       79 *        79 * 2972.9351 * 49619.643 * 0.5062131 * 0.0963404 *     -5.84 *
*       91 *        91 * 553.73440 * 114660.00 * -0.332480 * -0.680393 *    -22.88 *
*      106 *       106 * 36.389406 * 3259.7824 * 0.6654389 * -0.274533 *     -7.96 *
*      112 *       112 * 3.1050386 * 36430.175 * 0.1321788 * 0.3710083 *    -19.54 *
*      113 *       113 * 655.76314 * 111071.07 * 0.6001058 * 0.1745996 *      -5.2 *
*      131 *       131 * 1.4864131 * 44803.513 * 0.2492407 * 0.0179509 *     -15.5 *
*      135 *       135 * 609.75415 * 113217.30 * -0.169266 * -0.181943 *      -2.6 *
*      143 *       143 * 467.94123 * 52204.922 * 0.0989097 * -0.336251 *    -15.78 *
*      161 *       161 * 611.96414 * 115451.23 * -0.572147 * -0.210682 *     -19.5 *
*      163 *       163 * 504.72694 * 113114.34 * 0.5284196 * -0.059034 *    -12.66 *
*      186 *       186 * 615.75022 * 110765.61 * -0.058042 * -0.536372 *     -6.24 *
*      190 *       190 * 683.16748 * 117840.17 * -0.294823 * 0.6158730 *    -18.74 *
*      206 *       206 * 58.698360 * 19451.694 * -0.009495 * 0.5192766 *     -1.58 *
*      209 *       209 * 106.67684 * 14142.067 * 0.0140821 * 0.6140334 *     -1.08 *
*      223 *       223 * 10.096924 * 1234.4103 * -0.412817 * -0.210120 *     -14.1 *
