************************************************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *      X[0] *      Y[0] *         Z *
************************************************************************************
*       14 *        14 * 484.09077 * 117251.81 * -0.277132 * 0.2125695 *      -6.7 *
*       28 *        28 * 157.02481 * 39140.146 * -0.229026 * 0.3019886 *     -4.16 *
*       39 *        39 * 163.74334 * 21221.920 * 0.0068219 * 0.2853031 *    -22.54 *
*       49 *        49 * 9.9629105 * 904.40753 * 0.0800596 * 0.0553998 *      -2.7 *
*       86 *        86 * 12.203695 * 1029.1539 * -0.543220 * -0.029941 *    -17.14 *
*       89 *        89 * 2.4145407 * 1841.1730 * -0.180150 * -0.247434 *     -8.84 *
*      126 *       126 * 16.297732 * 2010.5931 * -0.028394 * 0.6833654 *    -17.82 *
*      159 *       159 *  475.8906 * 115351.32 * -0.120364 * 0.6119971 *     -1.86 *
*      160 *       160 * 564.30964 * 117442.17 * -0.747671 * -0.184560 *       -22 *
*      199 *       199 * 1.8332664 * 69825.407 * 0.1581060 * 0.6049330 *     -7.24 *
*      217 *       217 * 191.02509 * 26363.823 * -0.474533 * -0.078142 *      -3.7 *
*      224 *       224 * 31.644578 * 574.24727 * 0.2482885 * 0.5954053 *    -18.12 *
*      266 *       266 * 20.145489 * 2163.3096 * -0.340833 * 0.1371081 *     -1.96 *
*      270 *       270 * 169.63261 * 16709.706 * -0.469224 * -0.329961 *    -11.42 *
*      272 *       272 * 599.30125 * 128783.64 * 0.2208305 * 0.4600806 *     -6.64 *
*      288 *       288 * 3067.7291 * 19861.601 * 0.1910087 * 0.3415462 *     -4.78 *
*      291 *       291 * 226.02391 * 25195.031 * -0.545765 * -0.059011 *    -17.58 *
*      310 *       310 * 452.86092 * 114138.37 * -0.062767 * -0.650024 *     -21.4 *
*      317 *       317 *  15.30285 * 1272.5068 * 0.1084524 * -0.045480 *    -21.46 *
*      319 *       319 * 66.868345 * 4100.3399 * -0.498716 * 0.5245879 *    -21.88 *
*      333 *       333 * 7.2782987 * 882.86550 * -0.313774 * 0.6849092 *     -5.26 *
*      358 *       358 * 396.84974 * 123119.44 * -0.168287 * -0.499418 *     -3.54 *
*      363 *       363 * 2.3386015 * 54924.011 * -0.651656 * -0.348405 *    -22.24 *
*      370 *       370 * 5.1012682 * 158.79615 * 0.1854592 * 0.1135487 *     -2.26 *
*      400 *       400 * 2.3545951 * 33030.742 * -0.022296 * -0.340162 *    -15.68 *
*      461 *       461 * 2.4675210 * 57716.817 * 0.3073504 * 0.4302040 *     -2.08 *
*      521 *       521 * 29.381509 * 9028.4547 * -0.763064 * 0.3380457 *     -1.84 *
*      526 *       526 * 2.0744523 * 89561.946 * -0.766163 * -0.200019 *    -16.22 *
*      540 *       540 * 16.515344 * 3581.6242 * -0.653651 * 0.4033285 *     -2.52 *
*      545 *       545 * 6.7732512 * 485.77421 * -0.390152 * 0.1042634 *     -7.46 *
*      562 *       562 * 107.69050 * 85805.127 * 0.4225329 * 0.3515798 *     -3.02 *
*      576 *       576 * 509.06869 * 126429.03 * -0.457216 * -0.041766 *      -1.5 *
*      599 *       599 * 2435.1637 * 30426.813 * -0.199713 * -0.074091 *     -23.2 *
*      670 *       670 * 125.88083 * 42805.926 * 0.1614295 * 0.4518883 *     -1.38 *
*      673 *       673 * 2.1539862 *  51983.49 * -0.084694 * -0.589263 *    -18.88 *
