************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *
************************************************
*      142 *       142 * 5.5890996 * 1206.3429 *
*      155 *       155 * 34.730994 * 2782.1853 *
*      193 *       193 * 31.066831 * 2181.2199 *
*      519 *       519 * 11.084548 * 638.65879 *
*      538 *       538 * 11.330981 * 1222.6082 *
*      606 *       606 * 19.142008 * 1892.3497 *
*      723 *       723 * 0.6802570 * 3565.5061 *
*      744 *       744 * 9.1942683 * 1467.8432 *
*      754 *       754 * 6.4910342 * 819.66205 *
*      805 *       805 * 36.388181 * 2521.9029 *
*      840 *       840 * 37.616124 * 2284.3687 *
*      842 *       842 * 5.6286336 * 458.04853 *
*      847 *       847 * 8.9827912 * 1217.6288 *
*      879 *       879 * 7.7808429 * 392.72685 *
*      944 *       944 * 3.1093602 * 1225.4459 *
*     1188 *      1188 * 23.996553 * 1927.7523 *
*     1247 *      1247 * 26.032416 * 1803.8002 *
*     1266 *      1266 * 12.407832 * 972.16425 *
*     1298 *      1298 * 32.783201 * 2526.2852 *
*     1354 *      1354 * 3.1633768 * 486.23946 *
*     1362 *      1362 * 26.031131 * 1943.5464 *
*     1400 *      1400 * 3.7049793 * 572.83311 *
*     1404 *      1404 * 32.694348 * 2735.9741 *
*     1453 *      1453 * 4.1291137 * 462.08373 *
*     1457 *      1457 * 11.972436 * 1578.2148 *
*     1465 *      1465 * 7.8153847 * 683.08345 *
*     1737 *      1737 * 7.2957620 * 1122.8787 *
*     1928 *      1928 * 4.3980094 * 313.99945 *
*     1948 *      1948 * 17.290677 * 1096.1168 *
*     1965 *      1965 * 10.670146 * 1381.4732 *
*     1981 *      1981 * 11.490678 * 737.23497 *
*     2117 *      2117 * 6.2677757 * 624.64324 *
*     2313 *      2313 * 5.9728689 * 870.60839 *
*     2474 *      2474 * 7.0917906 * 537.38762 *
*     2491 *      2491 * 4.0596586 * 749.63350 *
*     2557 *      2557 * 35.935037 * 2643.9823 *
*     2558 *      2558 * 33.823839 * 2455.1044 *
*     2601 *      2601 * 8.6285490 * 1455.6300 *
*     2643 *      2643 * 36.561894 * 1635.1674 *
*     2970 *      2970 * 34.690722 * 2479.4278 *
*     2988 *      2988 * 12.241502 * 1209.4963 *
*     3059 *      3059 * 31.025554 * 3045.3840 *
*     3096 *      3096 * 6.6711981 * 1418.9046 *
*     3108 *      3108 * 3.4181223 * 2755.4102 *
*     3109 *      3109 * 14.279018 * 1820.3226 *
*     3167 *      3167 * 21.507523 * 2062.8938 *
*     3171 *      3171 * 8.4695146 * 535.65512 *
*     3269 *      3269 * 8.7170947 * 1186.6463 *
*     3382 *      3382 * 11.674621 * 1061.1921 *
*     3435 *      3435 * 8.2025744 * 1754.6433 *
*     3447 *      3447 * 9.7641719 * 1258.4342 *
*     3448 *      3448 * 1.4191937 * 926.27992 *
*     3552 *      3552 * 31.077146 * 3480.3935 *
*     3572 *      3572 * 2.8532526 * 1080.8225 *
*     3573 *      3573 * 10.880625 * 1594.4120 *
*     3688 *      3688 * 10.381811 * 986.27585 *
*     3701 *      3701 * 4.6393336 * 489.18597 *
*     3788 *      3788 * 1.6795968 * 1003.5939 *
*     3964 *      3964 * 6.5888301 * 914.69217 *
*     3981 *      3981 * 3.9551856 * 603.40420 *
*     4006 *      4006 * 5.1027787 * 1538.4733 *
*     4018 *      4018 * 10.850568 * 967.83742 *
*     4035 *      4035 * 3.2767470 * 588.93460 *
*     4079 *      4079 * 6.0953416 * 959.70161 *
*     4089 *      4089 * 15.964290 * 1082.4176 *
*     4143 *      4143 * 4.6696013 * 1001.3241 *
*     4157 *      4157 * 14.935412 * 1542.1947 *
*     4209 *      4209 * 22.951812 * 2098.0348 *
*     4210 *      4210 * 28.137428 * 2101.4260 *
*     4232 *      4232 * 11.531435 * 1242.7365 *
*     4252 *      4252 *  10.02774 * 317.55756 *
*     4291 *      4291 * 3.6459232 * 880.82635 *
*     4316 *      4316 * 14.837903 * 314.59509 *
*     4332 *      4332 * 11.566263 * 1708.1577 *
*     4357 *      4357 * 9.0724342 * 1452.4003 *
*     4393 *      4393 * 9.0102268 * 1291.4614 *
*     4538 *      4538 * 28.802841 * 2456.9165 *
*     4663 *      4663 * 6.1781171 * 321.21032 *
*     4708 *      4708 * 5.1885325 * 816.45110 *
*     4710 *      4710 * 13.326583 * 1946.9917 *
*     4726 *      4726 * 6.8715369 * 974.18215 *
*     4819 *      4819 * 3.9485561 * 898.39289 *
*     4858 *      4858 * 3.0954390 * 341.88140 *
*     4911 *      4911 * 17.964597 * 2492.9640 *
*     4928 *      4928 * 27.980911 * 2470.0616 *
*     4976 *      4976 * 8.0881261 * 703.02268 *
*     5002 *      5002 *  3.277339 *  491.6627 *
*     5040 *      5040 * 15.174951 * 1665.3178 *
*     5080 *      5080 * 7.1277228 * 1731.7918 *
*     5167 *      5167 * 18.493387 * 2196.7586 *
*     5215 *      5215 * 3.2306058 * 352.13149 *
*     5309 *      5309 * 1.7855578 * 247.38346 *
*     5357 *      5357 * 5.9601948 * 1327.1658 *
*     5706 *      5706 * 3.1722365 * 367.99235 *
*     5760 *      5760 * 3.3008523 * 214.89688 *
*     5766 *      5766 * 6.5531159 * 1421.1044 *
*     5771 *      5771 * 13.054704 * 3064.3839 *
*     5858 *      5858 * 14.461881 * 695.02488 *
