************************************************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *      X[0] *      Y[0] *         Z *
************************************************************************************
*       13 *        13 * 483.60188 * 114270.07 * -0.489827 * -0.169932 *    -22.76 *
*       16 *        16 * 66.746705 * 3863.8204 * 0.5875888 * -0.416073 *    -14.98 *
*       19 *        19 * 162.56166 * 29963.126 * -0.108788 * 0.5343333 *     -8.62 *
*       27 *        27 * 9.6118167 * 1036.3409 * -0.674138 * 0.4069281 *     -1.62 *
*       28 *        28 * 432.47970 * 89852.051 * -0.454475 * -0.636864 *    -11.66 *
*       34 *        34 * 31.235437 * 2818.9174 * -0.118855 * -0.308680 *    -12.84 *
*       47 *        47 * 539.96622 * 110580.24 * -0.144557 * -0.328109 *      -1.9 *
*       54 *        54 * 5.9618970 * 1141.7300 * -0.802301 * -0.071013 *    -11.84 *
*       63 *        63 * 32.698236 * 2382.4927 * 0.2704775 * -0.239768 *     -5.62 *
*       77 *        77 * 6035.5614 * 105819.57 * -0.487236 * 0.4869987 *     -3.56 *
*       79 *        79 * 317.82168 * 79663.035 * -0.723904 * 0.0026561 *    -10.26 *
*       80 *        80 * 344.15846 * 51122.025 * 0.3184019 * 0.3186695 *      -2.4 *
*       93 *        93 * 17.266032 * 1232.4175 * 0.3340264 * 0.3117218 *    -14.16 *
*      105 *       105 * 2.8141434 * 25655.537 * -0.567766 * -0.058284 *    -12.46 *
*      117 *       117 * 23.930374 * 3023.7970 * 0.4310464 * -0.663144 *     -7.08 *
*      124 *       124 * 14.769541 * 1174.0550 * -0.241188 * 0.4977257 *    -19.16 *
*      160 *       160 * 722.82969 * 106501.47 * 0.1391777 * -0.686578 *     -1.96 *
*      207 *       207 * 340.65506 * 95635.690 * -0.187165 * -0.085027 *    -12.32 *
*      217 *       217 * 7.2761381 * 280.95113 * -0.248646 * -0.280351 *        -8 *
*      230 *       230 * 894.23691 * 112012.56 * 0.7934843 * -0.180274 *    -19.68 *
*      239 *       239 * 4026.5825 * 85391.897 * 0.3620851 * 0.6698163 *     -23.5 *
*      260 *       260 * 2.6125073 * 1501.6526 * 0.0013338 * 0.6297068 *     -1.48 *
*      264 *       264 * 572.18750 * 115430.56 * -0.366590 * -0.205243 *    -12.52 *
*      278 *       278 * 52.186540 * 6894.0622 * 0.2238044 * 0.3371858 *     -3.06 *
*      324 *       324 * 496.31449 * 116334.83 * -0.446385 * 0.3901140 *     -5.92 *
*      336 *       336 * 1.5973940 * 62660.907 * -0.372377 * -0.199560 *    -18.86 *
*      338 *       338 * 497.75771 * 113368.14 * -0.578352 * 0.3442796 *     -5.24 *
*      346 *       346 * 11.729608 * 1520.4033 * 0.2563595 * 0.0725187 *     -1.42 *
*      374 *       374 * 19.101288 * 1361.1628 * 0.5907453 * -0.384329 *    -20.52 *
*      400 *       400 * 787.31879 * 112439.52 * -0.472726 * 0.1930689 *    -10.24 *
*      404 *       404 * 386.26584 * 102369.74 * 0.2195549 * 0.5163143 *     -8.44 *
*      408 *       408 * 582.51193 * 116630.94 * -0.688548 * 0.2962415 *     -21.1 *
*      416 *       416 * 481.97206 * 124151.55 * -0.727550 * -0.140701 *    -15.84 *
*      423 *       423 * 31.801634 * 1966.1005 * 0.2343802 * 0.5056223 *    -16.18 *
*      443 *       443 * 352.67112 * 99214.299 * 0.2449619 * -0.671302 *     -3.32 *
*      445 *       445 * 3.8284857 * 100607.97 * 0.0800563 * 0.3895573 *    -21.86 *
*      487 *       487 * 12.993222 * 1055.1383 * -0.028616 * 0.8319710 *    -15.76 *
*      497 *       497 * 41.390098 * 2858.1227 * -0.023194 * 0.5952259 *    -20.14 *
*      502 *       502 * 603.21354 * 93359.719 * 0.5961498 * 0.1711626 *    -14.54 *
*      509 *       509 * 5.0313317 * 952.81177 * -0.419158 * 0.4291007 *    -19.48 *
*      536 *       536 *  2.639078 * 31723.261 * 0.3640388 * 0.2260903 *    -14.52 *
*      537 *       537 * 749.92331 * 105370.73 * 0.5120911 * -0.640320 *      -3.5 *
*      552 *       552 * 17.127532 * 2257.7464 * -0.395406 * 0.5334532 *    -10.34 *
*      560 *       560 * 19.870224 * 472.90420 * -0.126615 * 0.4880837 *    -23.34 *
*      570 *       570 * 746.48257 * 111894.44 * -0.330550 * -0.608380 *     -9.54 *
*      573 *       573 * 35.936430 * 5433.1180 * 0.2298518 * -0.295954 *    -22.84 *
*      589 *       589 * 20.347466 * 1548.7980 * 0.5219031 * 0.0751466 *    -19.34 *
*      597 *       597 * 58.022181 * 4350.6941 * -0.326236 * -0.037777 *      -2.4 *
*      598 *       598 * 734.05706 * 108708.74 * -0.334798 * 0.0805757 *     -10.4 *
*      609 *       609 * 408.19379 * 38238.878 * 0.5348233 * 0.5394339 *     -4.56 *
*      659 *       659 * 39.500717 * 2545.0914 * 0.2901486 * -0.758592 *    -22.98 *
*      664 *       664 * 7.8719899 * 1604.6458 * -0.588090 * 0.0370587 *     -3.88 *
*      689 *       689 * 377.00230 * 65498.957 * 0.1475645 * 0.2377142 *     -16.6 *
*      701 *       701 * 2.3977997 * 29835.302 * -0.071826 * -0.166162 *    -14.96 *
*      728 *       728 * 16.288801 * 1789.2957 * 0.7071371 * -0.314480 *     -5.86 *
*      793 *       793 * 1067.9414 * 114959.41 * -0.075770 * -0.838616 *    -14.36 *
*      796 *       796 * 1035.0046 * 106768.63 * 0.4617939 * -0.439830 *     -1.92 *
*      799 *       799 * 14.340194 * 844.77282 * -0.321676 * 0.1722275 *    -17.12 *
*      820 *       820 * 3.8977026 * 25630.836 * -0.116040 * 0.3054622 *    -16.22 *
*      830 *       830 * 3.7603997 * 67438.031 * 0.2079877 * -0.582238 *      -3.3 *
*      869 *       869 * 3735.4210 * 2807.4816 * 0.5582447 * 9.113e-05 *    -19.34 *
*      885 *       885 * 619.23456 * 111999.22 * 0.2390286 * -0.168527 *    -21.14 *
*      890 *       890 * 620.22787 * 114829.87 * -0.403732 * -0.291184 *    -22.08 *
*      912 *       912 * 33.414380 * 2513.7311 * 0.3419859 * 0.2374448 *     -7.88 *
*      925 *       925 * 15.509571 * 1218.1412 * -0.594561 * 0.3209579 *    -22.22 *
*      934 *       934 * 466.47873 * 118968.76 * -0.430223 * 0.1278222 *    -22.88 *
*      938 *       938 * 168.62058 * 10605.299 * -0.804702 * 0.0252889 *    -13.08 *
*      940 *       940 * 603.06683 * 113877.34 * -0.524607 * -0.150084 *    -13.44 *
*      943 *       943 * 427.10128 * 60147.524 * 0.5417290 * 0.3192301 *    -16.16 *
*      963 *       963 * 5.5212282 * 78.782465 * -0.075784 * -0.205683 *    -22.08 *
*      972 *       972 * 1.2487852 * 26925.898 * -0.390335 * 0.2054162 *    -21.84 *
*      976 *       976 * 720.29113 * 113117.49 * 0.4846710 * -0.438830 *    -16.96 *
*      984 *       984 * 11.570504 * 1119.7194 * 0.3145450 * -0.495828 *     -4.98 *
*      989 *       989 * 61.440009 * 3849.3569 * -0.512388 * 0.3870256 *      -5.5 *
*      990 *       990 * 22.192824 * 734.23188 * -0.157873 * 0.2198423 *        -3 *
*      998 *       998 * 520.97909 * 104669.59 * -0.744781 * -0.156927 *    -11.76 *
*     1002 *      1002 * 450.98458 * 113262.44 * -0.493393 * 0.3569302 *     -6.92 *
*     1004 *      1004 * 109.97913 * 4702.6820 * 0.1669697 * 0.1803022 *    -14.24 *
*     1035 *      1035 * 2.7906378 * 52714.121 * 0.3500464 * 0.2317482 *    -12.12 *
*     1059 *      1059 * 1.8628276 * 4693.0793 * 0.0354963 * 0.1880946 *     -3.26 *
*     1061 *      1061 * 12.174243 * 1514.7508 * 0.4136780 * -0.108923 *    -21.32 *
*     1063 *      1063 * 858.31179 * 116747.83 * -0.319233 * -0.227588 *    -19.98 *
*     1074 *      1074 * 15.454603 * 1731.0505 * -0.802798 * -0.135616 *    -11.12 *
*     1092 *      1092 * 2.4949879 * 42215.305 * 0.1336116 * 0.4045426 *     -1.82 *
*     1094 *      1094 * 576.64182 * 104074.69 * -0.572514 * -0.094378 *     -4.46 *
*     1102 *      1102 * 1155.1796 * 116159.47 * -0.601835 * -0.115214 *    -21.84 *
*     1144 *      1144 * 891.19534 * 121065.12 * -0.431467 * -0.354666 *      -6.8 *
*     1150 *      1150 * 2.0268856 * 92654.932 * 0.0528333 * 0.3875857 *     -20.7 *
*     1158 *      1158 * 18.584776 * 1526.0602 * 0.3353444 * 0.0775444 *    -18.44 *
*     1163 *      1163 * 623.18232 * 101072.71 * -0.302889 * 0.2304254 *       -22 *
*     1169 *      1169 * 4.9357702 * 49906.889 * 0.4198747 * 0.4151032 *     -7.52 *
*     1191 *      1191 * 665.24040 * 111656.12 * 0.0076673 * 0.0444912 *    -19.54 *
*     1199 *      1199 * 230.30079 * 74027.244 * -0.602737 * -0.413360 *     -3.78 *
*     1202 *      1202 * 25.968577 * 2665.3635 * -0.014158 * 0.0158745 *     -2.78 *
*     1208 *      1208 * 3.0445679 * 68872.463 * 0.0506166 * -0.736132 *     -5.54 *
*     1214 *      1214 * 551.81105 * 114532.12 * -0.099753 * -0.726887 *     -18.4 *
*     1219 *      1219 * 495.85672 * 110245.42 * -0.363001 * -0.296027 *    -23.28 *
*     1220 *      1220 * 80.888779 * 10831.961 * 0.2103681 * 0.1048364 *     -6.98 *
*     1228 *      1228 * 191.04579 * 64540.987 * -0.614791 * -0.450166 *    -12.04 *
*     1234 *      1234 * 8.0733103 * 1208.3292 * 0.7831444 * 0.2413300 *     -14.9 *
*     1249 *      1249 * 7.1153181 * 1819.0131 * 0.5033514 * -0.599408 *     -7.72 *
*     1253 *      1253 * 25.919251 * 2802.5046 * -0.685080 * 0.0566644 *      -4.4 *
*     1277 *      1277 * 15.890187 * 1065.0144 * -0.655952 * -0.089913 *      -3.6 *
*     1305 *      1305 * 46.929661 * 22076.077 * -0.837843 * 0.0265289 *     -3.24 *
*     1327 *      1327 * 646.49815 * 108518.25 * -0.425632 * 0.2296458 *     -6.46 *
*     1335 *      1335 * 591.72496 * 113694.92 * 0.1307587 * 0.7866376 *    -15.02 *
*     1346 *      1346 * 797.69978 * 111297.07 * 0.5882396 * 0.2589205 *    -15.36 *
*     1351 *      1351 * 28.383709 *  6399.147 * 0.0444197 * 0.2931247 *     -4.22 *
*     1361 *      1361 * 10.472097 * 1333.1235 * 0.5829727 * 0.1271630 *    -11.34 *
*     1413 *      1413 * 4.8328324 * 804.98644 * -0.499841 * -0.548784 *    -13.06 *
*     1417 *      1417 * 35.795258 * 3483.9802 * -0.563676 * 0.4169976 *     -2.92 *
*     1454 *      1454 * 10.697588 * 1374.3463 * -0.402290 * 0.1756937 *     -9.84 *
*     1459 *      1459 *  2.710823 * 106.56020 * -0.406773 * 0.0200788 *     -4.22 *
*     1470 *      1470 * 1020.9742 * 107231.43 * -0.020660 * -0.464602 *    -20.54 *
*     1487 *      1487 * 813.06939 * 113530.13 * 0.7617404 * 0.3334590 *    -22.58 *
*     1489 *      1489 * 687.15006 * 108481.80 * -0.559219 * -0.310315 *     -3.62 *
*     1501 *      1501 * 8.0690214 * 1756.5579 * -0.248204 * 0.7712169 *     -4.64 *
*     1508 *      1508 * 7.1201939 * 1324.7886 * 0.5773254 * -0.585687 *    -12.38 *
*     1539 *      1539 * 530.91638 * 115226.77 * -0.514988 * 0.1799614 *     -3.88 *
*     1541 *      1541 * 50.197241 * 350.79979 * -0.804415 * -0.011845 *    -20.58 *
*     1548 *      1548 * 136.83936 * 15111.157 * 0.0410802 * 0.3097186 *    -21.74 *
*     1583 *      1583 * 515.59609 *  107286.6 * 0.0776274 * 0.7774232 *     -2.06 *
*     1656 *      1656 * 654.39276 * 551.93746 * -0.522398 * -0.062128 *    -21.22 *
*     1661 *      1661 * 892.32823 * 124894.92 * -0.182743 * -0.691080 *     -10.1 *
*     1682 *      1682 * 640.41267 * 115173.46 * -0.404134 * -0.094800 *     -5.84 *
*     1699 *      1699 * 363.97840 * 91154.632 * 0.4114064 * 0.2377471 *     -9.22 *
*     1731 *      1731 * 52.906515 * 3362.2845 * -0.593827 * 0.5150448 *     -1.54 *
