************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *
*     1774 *      1774 * 518.10152 * 51023.248 *
*     1809 *      1809 * 3.0558095 * 31414.108 *
*     1825 *      1825 * 3356.0299 * 59117.566 *
*     1872 *      1872 * 2168.6565 * 133197.49 *
*     1880 *      1880 * 1032.3414 * 145006.85 *
*     1901 *      1901 * 38.682887 *   1577.68 *
*     1903 *      1903 * 6.0223089 * 805.12667 *
*     1947 *      1947 * 2.4532110 * 47854.458 *
*     1989 *      1989 * 2902.0363 * 143843.85 *
*     1991 *      1991 * 9.5767260 * 665.67402 *
*     2001 *      2001 * 53.261508 * 2911.8639 *
*     2060 *      2060 * 434.52994 * 60254.388 *
*     2064 *      2064 * 1586.6947 * 149630.98 *
*     2102 *      2102 * 2.6587293 * 38974.149 *
*     2159 *      2159 * 8.9886037 * 654.32636 *
*     2161 *      2161 * 4.5817889 * 65371.001 *
*     2163 *      2163 * 565.99705 * 72169.916 *
*     2170 *      2170 * 45.656627 * 6978.9633 *
*     2182 *      2182 * 44.565991 * 2775.8135 *
*     2184 *      2184 * 1000.1072 * 136534.80 *
*     2199 *      2199 * 9.4460311 * 907.07477 *
*     2200 *      2200 * 4466.6085 * 114801.13 *
*     2213 *      2213 * 57.122730 * 3416.3884 *
*     2216 *      2216 * 1427.2241 * 140324.86 *
*     2239 *      2239 * 1006.0744 * 147279.14 *
*     2245 *      2245 * 3.1199258 * 70325.736 *
*     2259 *      2259 * 2.7354291 * 1840.0249 *
*     2279 *      2279 * 1222.7194 * 151451.97 *
*     2282 *      2282 * 2.3306488 * 92556.061 *
*     2308 *      2308 * 900.29502 * 107825.37 *
*     2327 *      2327 * 658.47489 * 112829.40 *
*     2333 *      2333 * 6333.1889 * 125429.74 *
*     2365 *      2365 * 934.36422 * 146628.32 *
*     2377 *      2377 * 952.40093 * 146061.18 *
*     2390 *      2390 * 904.39548 * 110174.62 *
*     2391 *      2391 * 44.596281 * 3079.7884 *
*     2410 *      2410 * 352.87173 * 26263.882 *
*     2422 *      2422 * 719.26686 * 120848.46 *
*     2429 *      2429 * 924.11883 * 114756.23 *
*     2472 *      2472 * 3.9916852 * 38296.051 *
*     2484 *      2484 * 1231.1703 * 117633.29 *
*     2497 *      2497 * 1090.8740 * 112746.13 *
*     2508 *      2508 * 1018.4965 * 132769.02 *
*     2542 *      2542 * 1843.6250 * 9045.7631 *
*     2547 *      2547 * 18.657899 * 2608.8603 *
