************************************************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *      X[0] *      Y[0] *         Z *
************************************************************************************
*        2 *         2 * 2.3223425 * 34352.848 * -0.118567 * -0.726116 *   -7.5504 *
*        8 *         8 * 778.24715 * 124405.27 * -0.415456 * -0.263388 *    -9.438 *
*       14 *        14 * 8.9303019 * 1394.2325 * 0.0335224 * 0.4417891 *   -5.8656 *
*       24 *        24 * 1145.6788 * 127586.96 * 0.4495227 * -0.287786 *  -11.9964 *
*       35 *        35 * 1402.3380 * 146619.23 * -0.293090 * -0.408702 *  -20.3424 *
*       58 *        58 * 12.148045 * 1292.1616 * -0.590385 * 0.0158649 *   -6.7236 *
*      108 *       108 * 1236.9546 * 122025.97 * 0.3422994 * -0.002429 *     -6.24 *
*      112 *       112 * 63.286463 * 3407.2086 * -0.829029 * 0.1032948 *   -1.8252 *
*      117 *       117 * 42.240430 * 2572.0045 * -0.179958 * -0.050694 *  -11.8872 *
*      130 *       130 * 19.749445 * 1809.8050 * -0.057936 * -0.417506 *   -22.776 *
*      163 *       163 * 1186.0789 * 151758.87 * -0.734247 * -0.276909 *   -21.216 *
*      167 *       167 * 2.5826609 * 25825.150 * 0.3026460 * 0.4340557 *   -5.2416 *
*      174 *       174 * 3.3277920 * 12105.447 * 0.1836043 * -0.345357 *   -10.296 *
*      192 *       192 * 1277.6670 * 144795.73 * -0.399844 * 0.4033483 *  -18.6108 *
*      194 *       194 * 2.8591625 * 32695.041 * -0.132540 * 0.3676877 *  -11.9964 *
*      195 *       195 * 19.585433 * 5481.2189 * 0.8112042 * -0.101390 *   -3.0732 *
*      197 *       197 * 762.86446 * 82963.059 * -0.227501 * -0.241731 *    -3.744 *
*      207 *       207 * 1273.1045 * 129247.33 * -0.364423 * -0.457379 *    -10.92 *
*      221 *       221 * 950.15937 * 90490.574 * -0.462895 * -0.459802 *   -1.3572 *
*      224 *       224 * 1500.9588 * 137470.73 * 0.4148293 * -0.300861 *  -17.1444 *
*      227 *       227 * 3.0681464 * 62522.860 * -0.444062 * 0.6876600 *  -17.4876 *
*      230 *       230 * 4.3700192 * 44561.409 * 0.1967343 * 0.1789505 *   -18.252 *
*      265 *       265 * 935.56784 * 83048.128 * -0.081385 * 0.4357466 *   -4.3056 *
*      267 *       267 * 6.8851089 * 76088.317 * 0.1203823 * 0.0297487 *   -18.876 *
