***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*     2246 *        0 *      2246 * 163.45140 * 18455.246 *
*     3343 *        0 *      3343 * 3.2352502 * 64715.348 *
*     4277 *        0 *      4277 * 346.67843 * 25098.243 *
*    11932 *       10 *     11932 * 3.0943977 * 58469.995 *
*    18642 *        1 *     18642 * 3.2752287 * 706.02157 *
*    18807 *        4 *     18807 * 1.6265918 * 30948.683 *
*    26245 *        2 *     26245 * 3.4651850 * 76700.132 *
*    28726 *        0 *     28726 * 2.2259264 * 82813.446 *
*    31782 *        2 *     31782 * 1.7358031 * 82004.372 *
*    33545 *        0 *     33545 * 5.9606146 *  407.7307 *
*    34084 *        0 *     34084 * 2.6238075 * 36531.885 *
*    34280 *        0 *     34280 * 6.9019457 * 651.13672 *
*    42213 *        1 *     42213 * 2.5469992 * 34826.976 *
*    43248 *        0 *     43248 * 4.6401764 * 1058.3543 *
*    45218 *        1 *     45218 * 16.546710 * 31904.243 *
*    51549 *        0 *     51549 * 11.999828 * 1092.2098 *
*    56416 *        0 *     56416 * 12.771907 * 1265.7425 *
*    57076 *        3 *     57076 * 2.1910007 * 31254.825 *
*    59428 *        0 *     59428 * 6.7693474 * 901.97872 *
*    59708 *        0 *     59708 * 4.8274637 * 742.45055 *
*    62252 *        0 *     62252 * 2.9532144 * 829.50559 *
*    64162 *        0 *     64162 * 3.1539179 * 85362.051 *
*    65486 *        1 *     65486 * 2.8257533 * 81993.736 *
*    72874 *        1 *     72874 * 5.3008102 * 4528.8600 *
*    74106 *        0 *     74106 * 6.0321056 * 598.24386 *
*    78841 *        2 *     78841 * 1.1116129 * 49502.069 *
*    88799 *        1 *     88799 * 3.3294976 * 35605.486 *
*    99539 *        1 *     99539 * 4.3705735 * 63764.761 *
*   102861 *        1 *    102861 * 2.6501066 * 29387.067 *
*   103631 *        1 *    103631 * 17.251505 * 1593.4270 *
*   108243 *        0 *    108243 * 7.2883348 * 897.54827 *
*   108243 *        2 *    108243 * 9.9648289 * 897.54827 *
*   108565 *        2 *    108565 * 4.4729102 * 147764.07 *
*   109373 *        0 *    109373 * 15.873955 * 1994.7122 *
*   114002 *        0 *    114002 * 1018.6757 * 147669.67 *
*   114395 *        1 *    114395 * 2.5246585 * 68689.217 *
*   115885 *        0 *    115885 * 13.067485 * 934.40365 *
*   120238 *        1 *    120238 * 3.1918882 * 64933.648 *
*   120835 *        1 *    120835 * 4.6880280 * 52852.651 *
*   125503 *        1 *    125503 * 8.7118579 * 56707.276 *
*   126394 *        2 *    126394 * 1.5352594 * 51914.084 *
*   127511 *        4 *    127511 * 4.3692540 * 115803.03 *
*   140770 *        0 *    140770 * 1147.4441 * 4781.4644 *
*   141104 *        1 *    141104 * 2.4340118 * 69660.790 *
*   143363 *        0 *    143363 * 4.7657954 * 103256.44 *
*   147306 *        0 *    147306 * 129.11898 *  17115.38 *
*   155281 *        0 *    155281 * 2.0636313 * 49154.201 *
*   156669 *        0 *    156669 * 2.1842403 * 101015.33 *
*   157024 *        0 *    157024 * 3.0523158 * 52780.237 *
*   162770 *        0 *    162770 * 2.4723254 * 81363.642 *
*   165739 *        2 *    165739 * 1.0235881 * 425.17415 *
*   170351 *        0 *    170351 * 2.7564268 * 5313.3662 *
*   171293 *        1 *    171293 * 1.6453411 * 101368.55 *
*   177371 *        0 *    177371 * 4.6390389 * 46809.962 *
*   188721 *        3 *    188721 * 0.9244796 * 53539.523 *
*   193835 *        0 *    193835 * 3.5957649 * 597.11500 *
*   196192 *        1 *    196192 * 4.1267039 * 69025.369 *
*   199407 *        0 *    199407 * 328.07317 * 51885.019 *
*   206452 *        2 *    206452 * 1.9810293 * 16377.059 *
*   208309 *        0 *    208309 * 12.220259 * 1081.6572 *
*   209042 *        0 *    209042 * 3.6622669 * 80050.033 *
*   219857 *        1 *    219857 * 2.5647963 * 92271.562 *
*   220169 *        0 *    220169 * 3.0944434 * 66583.241 *
*   224341 *        0 *    224341 * 6.4292485 * 769.03807 *
***********************************************************
