************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *
************************************************
*       13 *        13 * 7.3591619 * 577.10715 *
*       39 *        39 * 30.732041 * 2460.9076 *
*       46 *        46 * 2.7780786 * 439.31126 *
*       95 *        95 * 31.228686 * 1706.1973 *
*      104 *       104 * 7.9813142 * 699.38651 *
*      124 *       124 * 15.835454 * 889.89382 *
*      145 *       145 * 3.0361952 * 893.53697 *
*      171 *       171 * 5.1096816 * 674.70636 *
*      181 *       181 * 25.598573 * 2169.7684 *
*      243 *       243 * 13.124512 * 1471.7926 *
*      293 *       293 * 14.222307 * 1993.0253 *
*      412 *       412 * 5.6237282 * 749.30436 *
*      415 *       415 * 30.292698 * 340.62902 *
*      426 *       426 * 16.969770 * 1456.4642 *
*      453 *       453 * 25.377344 * 2113.1611 *
*      473 *       473 * 38.836753 * 2468.7670 *
*      522 *       522 * 10.034067 * 1331.5553 *
*      523 *       523 * 22.400823 * 2683.8282 *
*      541 *       541 * 17.634651 * 2404.8423 *
*      563 *       563 * 25.451503 * 1906.7080 *
*      578 *       578 * 10.211077 * 669.91296 *
*      584 *       584 * 6.7705054 * 424.64287 *
*      593 *       593 * 2.8054400 * 1503.4748 *
*      608 *       608 * 9.3790902 * 121.32413 *
*      656 *       656 * 4.9053482 * 1033.1406 *
*      658 *       658 * 15.558795 * 2838.1250 *
*      705 *       705 * 3.6871944 * 849.83079 *
*      725 *       725 * 16.081143 * 1232.8104 *
*      745 *       745 * 15.407576 * 2564.1211 *
*      842 *       842 * 28.938686 * 2131.2541 *
*      942 *       942 * 26.819723 * 2435.8819 *
*      970 *       970 * 11.701693 * 1681.1406 *
*      987 *       987 * 6.0827100 * 1019.8193 *
*     1010 *      1010 * 30.337434 * 1586.0231 *
*     1050 *      1050 * 7.5673064 * 914.00244 *
*     1116 *      1116 * 25.917019 * 2744.8343 *
*     1158 *      1158 * 31.426033 * 2767.9402 *
*     1170 *      1170 * 6.6092994 * 403.88965 *
*     1184 *      1184 * 16.569002 * 1826.6449 *
*     1241 *      1241 * 6.0178799 * 1201.9354 *
*     1266 *      1266 * 26.608263 * 2008.5228 *
*     1298 *      1298 * 7.8228962 * 1404.5411 *
*     1308 *      1308 * 10.982965 * 1934.1405 *
*     1330 *      1330 * 12.570521 * 843.74833 *
*     1336 *      1336 * 24.660951 * 1725.0509 *
*     1340 *      1340 * 7.9620065 * 415.62879 *
*     1366 *      1366 * 16.075781 * 1640.7467 *
*     1391 *      1391 * 5.6535487 * 381.02565 *
*     1408 *      1408 * 5.2563648 * 1852.0612 *
*     1471 *      1471 * 21.195021 * 2362.8426 *
*     1485 *      1485 * 4.5228491 * 1032.3332 *
*     1504 *      1504 * 5.6122865 * 793.69169 *
*     1542 *      1542 * 21.544610 * 1658.1654 *
*     1547 *      1547 * 13.263804 * 860.10129 *
*     1576 *      1576 * 19.336251 * 955.65701 *
*     1590 *      1590 * 31.982057 * 3191.0876 *
*     1635 *      1635 * 21.705439 * 2482.9204 *
*     1637 *      1637 * 6.5649677 * 764.60654 *
*     1650 *      1650 * 8.8577513 * 229.56499 *
*     1653 *      1653 * 5.7572032 * 1032.8585 *
*     1678 *      1678 * 7.5934353 * 1412.1144 *
*     1687 *      1687 * 3.0363927 * 254.34176 *
