***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*     1978 *        1 *      1978 * 7.8163996 * 315.60895 *
*    15282 *        0 *     15282 * 4.0430888 *  509.1685 *
*    23367 *        1 *     23367 * 7.6943852 * 2295.0314 *
*    25264 *        0 *     25264 * 10.445166 * 813.62841 *
*    31967 *        1 *     31967 * 7.9458787 * 808.91048 *
*    59895 *        0 *     59895 * 5.3509653 * 870.14525 *
*    67615 *        0 *     67615 * 3.8054470 * 500.37353 *
*    75253 *        0 *     75253 * 4.6110762 * 353.32093 *
*    79730 *        2 *     79730 * 2.6932228 * 887.55812 *
*   103022 *        0 *    103022 * 3.9714864 * 275.23744 *
*   109615 *        1 *    109615 * 11.126400 * 872.72318 *
*   120196 *        0 *    120196 * 14.878145 * 2333.1328 *
*   126804 *        2 *    126804 * 5.6963529 * 403.10471 *
*   141853 *        0 *    141853 * 7.0669692 * 495.18002 *
*   142341 *        0 *    142341 * 2.2276052 * 802.62724 *
*   144682 *        0 *    144682 * 14.369136 * 903.42125 *
*   144885 *        1 *    144885 * 3.9181455 * 336.74310 *
*   153766 *        0 *    153766 * 4.1689718 * 907.79747 *
*   172047 *        0 *    172047 * 16.772968 * 1449.5901 *
*   181358 *        1 *    181358 * 3.3689803 * 2882.5112 *
*   193153 *        0 *    193153 * 6.8771581 * 702.40021 *
*   210148 *        0 *    210148 * 14.541264 * 1162.2602 *
*   225092 *        0 *    225092 * 12.539640 * 1855.9116 *
*   280642 *        0 *    280642 * 5.4412705 * 644.57485 *
*   291118 *        0 *    291118 * 5.0059470 * 1063.1741 *
*   319851 *        1 *    319851 * 15.854639 * 1563.3135 *
*   323715 *        1 *    323715 * 17.673972 * 1607.5966 *
*   331086 *        0 *    331086 * 2.7784064 * 532.32624 *
*   344466 *        1 *    344466 * 18.788810 * 1152.5689 *
***********************************************************
