***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*      443 *        0 *       443 * 20.784007 * 2558.7173 *
*      753 *        0 *       753 * 19.720118 * 2674.8835 *
*     1176 *        0 *      1176 * 12.901318 * 1229.2794 *
*     1900 *        0 *      1900 * 3.1308448 * 1213.7275 *
*     2569 *        0 *      2569 * 3.6420395 * 941.10143 *
*     2821 *        0 *      2821 * 6.2293687 * 989.67821 *
*     3649 *        0 *      3649 * 4.5538581 * 1178.6096 *
*     4357 *        0 *      4357 * 11.176409 * 821.46661 *
*     5124 *        0 *      5124 * 6.7407484 * 816.15686 *
*     5334 *        0 *      5334 * 10.939799 * 1188.5590 *
*     5771 *        0 *      5771 * 7.8593748 * 1292.3636 *
*     5803 *        0 *      5803 * 18.558267 * 1445.3587 *
*     6067 *        0 *      6067 * 5.7712673 * 214.41050 *
*     6076 *        0 *      6076 * 12.369033 * 440.19014 *
*     6210 *        0 *      6210 * 12.579582 * 1445.0173 *
*     6252 *        0 *      6252 * 20.494800 * 1607.3925 *
*     6336 *        0 *      6336 * 12.557542 * 1814.9447 *
*     7041 *        0 *      7041 * 15.225928 * 1042.7615 *
*     7784 *        0 *      7784 * 6.7371403 * 1287.8512 *
*     7853 *        0 *      7853 * 2.6939225 * 1012.0614 *
*     7913 *        0 *      7913 * 11.985628 * 1612.3470 *
*     7972 *        0 *      7972 * 18.533639 * 1926.6807 *
*     8841 *        0 *      8841 * 4.0029245 * 980.91849 *
*     9254 *        0 *      9254 * 10.905570 * 1061.4605 *
*     9689 *        1 *      9689 * 6.8081613 *  1212.794 *
*     9780 *        0 *      9780 * 7.6710405 * 922.29288 *
*    10143 *        0 *     10143 * 8.5271066 * 1323.9895 *
*    10177 *        0 *     10177 * 9.7224291 * 934.45180 *
*    10209 *        0 *     10209 * 8.0235016 * 3270.3947 *
*    10376 *        0 *     10376 * 13.667416 * 1167.3885 *
*    10500 *        0 *     10500 * 31.554917 * 2057.8560 *
*    10550 *        0 *     10550 * 12.459265 * 1242.3625 *
*    10939 *        0 *     10939 * 7.6283281 * 1477.9243 *
*    11160 *        0 *     11160 * 10.014161 * 1184.1991 *
*    12359 *        0 *     12359 * 8.9094720 * 1096.1240 *
*    12630 *        0 *     12630 * 38.952906 * 2909.3702 *
*    13269 *        0 *     13269 * 20.279005 * 1500.9705 *
*    13983 *        0 *     13983 * 11.831342 * 1223.6954 *
***********************************************************
