***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*      139 *        0 *       139 * 11.062372 * 962.76499 *
*      149 *        0 *       149 * 7.9401853 * 688.80662 *
*      242 *        0 *       242 * 69.910378 * 3886.3465 *
*      374 *        0 *       374 * 4.0067198 * 851.79438 *
*      393 *        0 *       393 * 13.361294 * 1076.9426 *
*      432 *        0 *       432 * 10.849690 * 1440.4895 *
*      466 *        0 *       466 * 15.992189 * 2069.1342 *
*      525 *        0 *       525 * 25.552114 * 1867.2727 *
*      814 *        0 *       814 * 7.0385116 * 734.83147 *
*     1277 *        0 *      1277 * 4.4820097 * 886.89342 *
*     1609 *        0 *      1609 * 4.9715240 * 820.75649 *
*     1666 *        0 *      1666 * 10.488484 * 718.68879 *
*     1823 *        0 *      1823 * 6.6408509 * 683.36200 *
*     1853 *        0 *      1853 * 5.2532100 * 791.90043 *
*     1927 *        0 *      1927 * 17.032063 * 1927.9525 *
*     2108 *        0 *      2108 * 23.768605 * 1090.3101 *
*     2192 *        0 *      2192 * 494.22316 * 109050.90 *
*     2280 *        0 *      2280 * 2.5579902 * 821.54437 *
*     2284 *        0 *      2284 * 4.3865587 * 269.51785 *
*     2337 *        0 *      2337 * 2.4904753 * 1096.5480 *
*     2432 *        0 *      2432 * 568.90434 * 110015.28 *
*     2447 *        0 *      2447 * 9.4047329 * 116515.75 *
*     2548 *        0 *      2548 * 191.14749 * 8625.4335 *
*     2755 *        0 *      2755 * 17.643122 * 1423.8589 *
*     2768 *        0 *      2768 * 6.6036229 * 610.72847 *
*     3055 *        0 *      3055 * 6.6298877 * 1016.4852 *
*     3292 *        0 *      3292 * 8.6608393 * 1277.4933 *
*     3445 *        0 *      3445 * 14.306125 * 1765.9901 *
*     3853 *        0 *      3853 * 5.3168258 * 524.38047 *
*     4031 *        0 *      4031 * 11.305818 * 1394.0547 *
*     4449 *        1 *      4449 * 4.3733994 * 1259.7717 *
*     4655 *        0 *      4655 * 5.1874359 * 532.92549 *
*     4679 *        0 *      4679 * 6.9928083 * 448.78447 *
*     5291 *        0 *      5291 * 16.811771 * 1475.7489 *
*     5376 *        0 *      5376 * 17.255666 * 1707.6982 *
*     5636 *        0 *      5636 * 7.8646154 * 994.67642 *
*     5709 *        0 *      5709 * 2.8575598 * 978.92369 *
*     5725 *        0 *      5725 * 12.438001 * 1214.3692 *
*     5809 *        0 *      5809 * 8.2814179 * 755.80937 *
*     5913 *        0 *      5913 * 94.401575 * 4106.6187 *
*     5980 *        0 *      5980 * 7.6797434 * 689.52847 *
*     5997 *        0 *      5997 * 10.362964 * 1295.8066 *
*     6269 *        0 *      6269 * 7.9533393 * 1716.9185 *
*     6335 *        0 *      6335 * 39.849006 * 2246.8008 *
*     6433 *        0 *      6433 * 3.1606912 * 851.26765 *
*     6460 *        0 *      6460 * 8.0322069 *  481.2797 *
*     6524 *        0 *      6524 * 1069.7284 * 105091.21 *
*     6673 *        0 *      6673 * 7.0181365 * 1164.7627 *
*     6677 *        0 *      6677 * 11.050312 * 1269.2318 *
*     6981 *        0 *      6981 * 1.7528861 * 407.80182 *
*     6996 *        0 *      6996 * 49.725217 * 3624.5225 *
*     7377 *        0 *      7377 * 15.603202 * 2296.2515 *
*     7460 *        0 *      7460 * 6.4571773 * 1168.1986 *
*     7714 *        0 *      7714 * 4.8711832 * 598.29137 *
*     7749 *        0 *      7749 * 7.1605419 * 877.74057 *
*     7780 *        0 *      7780 * 11.333324 * 1247.7003 *
*     8046 *        0 *      8046 * 3.8346031 * 429.38343 *
*     8193 *        0 *      8193 * 5.6013316 * 1488.0893 *
*     8199 *        0 *      8199 * 8.0005935 * 1232.4739 *
*     8284 *        0 *      8284 * 6.1265653 * 506.13972 *
*     8291 *        0 *      8291 * 6.1778438 * 1081.9006 *
*     8316 *        0 *      8316 * 235.42465 * 25442.926 *
