************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *
************************************************
*        8 *         8 * 18.264563 * 3712.7126 *
*       77 *        77 * 10.778754 * 1309.5319 *
*       80 *        80 * 15.077437 *  1085.384 *
*       82 *        82 * 8.1800189 * 543.85252 *
*      135 *       135 * 7.9804376 * 814.05682 *
*      164 *       164 * 11.393804 * 1306.6421 *
*      219 *       219 * 19.738195 * 1683.0646 *
*      266 *       266 * 33.560840 * 1802.3430 *
*      351 *       351 * 30.262944 * 1673.1373 *
*      370 *       370 * 7.7360757 * 1135.6733 *
*      379 *       379 * 2.9302218 * 1337.2147 *
*      396 *       396 * 35.451924 * 2803.7491 *
*      454 *       454 * 10.622832 * 511.63282 *
*      513 *       513 * 18.475845 * 1326.7214 *
*      619 *       619 * 18.692694 * 2057.2030 *
*      708 *       708 * 13.859305 * 2070.0890 *
*      726 *       726 * 1.2314757 * 815.62326 *
*      840 *       840 * 14.122167 * 1492.3987 *
*      843 *       843 * 39.822657 * 1453.3822 *
*      896 *       896 * 6.3923011 * 708.89452 *
*      975 *       975 * 2.4547944 * 689.48053 *
*     1053 *      1053 * 0.9862949 * 1305.0062 *
*     1057 *      1057 * 3.7807727 * 786.88797 *
*     1115 *      1115 * 20.576642 * 1723.5602 *
*     1116 *      1116 * 13.621099 * 1041.5398 *
*     1117 *      1117 * 21.856916 * 1613.2699 *
*     1154 *      1154 * 10.595069 * 981.22943 *
*     1168 *      1168 * 9.2983982 * 896.88734 *
*     1180 *      1180 * 6.8750101 * 2307.6030 *
*     1224 *      1224 * 25.166352 * 2347.6241 *
*     1238 *      1238 * 5.3754599 * 710.81293 *
*     1340 *      1340 * 19.730366 * 2154.5212 *
*     1373 *      1373 * 15.503431 * 1227.4847 *
*     1461 *      1461 * 11.497111 * 1354.0414 *
*     1504 *      1504 * 8.2981633 * 771.73632 *
*     1511 *      1511 * 3.0228554 * 963.55785 *
*     1566 *      1566 * 9.0064880 * 1190.6362 *
*     1642 *      1642 * 6.9180076 * 603.67443 *
*     1668 *      1668 * 6.4446724 * 1175.2813 *
*     1698 *      1698 * 19.558244 * 1916.8615 *
*     1744 *      1744 * 8.9904074 * 554.02683 *
*     1861 *      1861 * 7.5329169 * 1132.6606 *
*     1863 *      1863 * 18.637818 * 1770.5387 *
