************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *
************************************************
*       28 *        28 * 6.1756553 * 1161.8263 *
*      152 *       152 * 12.715092 * 2086.2281 *
*      324 *       324 * 2.8430325 * 255.78583 *
*      478 *       478 * 19.816712 * 2000.0657 *
*      665 *       665 * 20.080500 * 3575.4960 *
*      751 *       751 * 7.5061540 * 982.29342 *
*      925 *       925 * 9.8992726 * 1226.2959 *
*      959 *       959 * 12.952123 * 1230.2745 *
*      964 *       964 * 4.1016808 * 459.57633 *
*      967 *       967 * 20.827334 * 1923.5848 *
*      970 *       970 * 36.052118 * 2093.4663 *
*      985 *       985 * 1.0932786 * 384.40698 *
*      994 *       994 * 5.6637272 * 718.01287 *
*     1062 *      1062 * 4.7626873 * 744.69608 *
*     1126 *      1126 *  34.66796 * 2181.5653 *
*     1158 *      1158 * 17.709073 * 1784.6727 *
*     1245 *      1245 * 17.764139 * 1597.0730 *
*     1278 *      1278 * 32.156856 * 2589.2759 *
*     1560 *      1560 * 10.938199 * 1935.6627 *
*     1564 *      1564 * 8.3026574 * 662.87547 *
*     1669 *      1669 *  8.788434 * 1216.9267 *
*     1745 *      1745 * 9.5998797 * 1070.1015 *
*     1867 *      1867 * 10.055986 * 1135.5882 *
*     1878 *      1878 * 12.501666 * 1349.3792 *
*     1987 *      1987 * 3.7516019 * 780.33704 *
*     1994 *      1994 * 5.2066496 * 539.40366 *
*     1997 *      1997 * 38.254272 * 949.24170 *
*     1998 *      1998 * 9.3597696 * 1432.6273 *
*     2042 *      2042 * 18.315439 * 982.82407 *
*     2137 *      2137 * 8.4716121 * 861.40343 *
*     2162 *      2162 * 24.837776 * 2363.5381 *
*     2192 *      2192 * 8.5578506 * 1013.4412 *
*     2237 *      2237 * 10.709542 *  1314.038 *
*     2299 *      2299 * 23.681540 * 1652.4045 *
*     2394 *      2394 * 5.8029165 * 939.30829 *
*     2398 *      2398 * 9.7248570 * 1263.6366 *
*     2521 *      2521 * 4.4080105 * 710.58028 *
*     2613 *      2613 * 13.555115 * 1486.8429 *
*     2789 *      2789 * 1.8238296 * 565.73942 *
*     2826 *      2826 * 27.029054 * 1680.4403 *
*     2831 *      2831 * 21.950075 * 793.29150 *
*     2860 *      2860 * 36.216200 * 2596.7913 *
*     2899 *      2899 * 30.381758 * 2121.2665 *
*     2911 *      2911 * 3.4744027 * 646.65275 *
*     3006 *      3006 * 10.787200 * 1475.3799 *
*     3048 *      3048 * 6.5515795 * 1843.1080 *
*     3082 *      3082 * 4.3364311 * 1413.6454 *
*     3086 *      3086 * 28.480546 * 2483.4066 *
*     3089 *      3089 * 17.791113 * 2389.4021 *
*     3127 *      3127 * 32.015657 * 2930.1326 *
*     3153 *      3153 * 15.006094 * 2182.6405 *
*     3203 *      3203 *  3.554796 * 1082.7525 *
*     3245 *      3245 * 10.729182 * 1188.1180 *
*     3332 *      3332 * 13.609105 * 1321.1782 *
*     3335 *      3335 * 24.287655 * 2397.9502 *
*     3368 *      3368 * 6.4425205 * 515.98382 *
*     3373 *      3373 * 25.620470 * 3633.3950 *
*     3377 *      3377 * 18.796401 * 1471.7956 *
*     3396 *      3396 * 7.4587072 * 747.59882 *
*     3401 *      3401 * 36.887734 * 3114.1213 *
*     3462 *      3462 * 19.925786 * 1992.1575 *
*     3498 *      3498 * 38.899271 * 2871.0770 *
*     3635 *      3635 * 6.9068113 * 963.29851 *
*     3720 *      3720 * 5.5036017 * 877.14377 *
*     3798 *      3798 * 26.291872 * 2401.5851 *
*     3804 *      3804 * 7.3566362 * 614.89290 *
*     3879 *      3879 * 24.992736 * 516.67704 *
*     3962 *      3962 * 30.664164 * 2507.8711 *
*     4011 *      4011 * 2.1786745 * 242.23057 *
*     4029 *      4029 * 33.929054 * 3213.7606 *
*     4082 *      4082 * 14.860202 * 1387.7285 *
*     4131 *      4131 * 18.229536 * 1934.0947 *
*     4142 *      4142 * 10.723656 * 989.45715 *
*     4155 *      4155 * 26.983242 * 1881.1293 *
*     4174 *      4174 * 11.889082 * 951.52181 *
*     4267 *      4267 * 11.904873 * 1317.5166 *
*     4291 *      4291 * 12.733015 * 1165.4672 *
*     4406 *      4406 * 38.322697 * 2640.4593 *
*     4465 *      4465 * 4.4349617 * 573.06118 *
*     4482 *      4482 * 6.8559896 * 580.75793 *
*     4497 *      4497 * 8.7987543 * 546.89770 *
*     4531 *      4531 * 7.1654295 * 1568.2727 *
*     4609 *      4609 * 11.246003 * 1506.3124 *
*     4661 *      4661 * 16.278592 * 1775.5455 *
*     4662 *      4662 * 6.0346548 * 304.99356 *
*     4695 *      4695 * 11.370789 * 1528.6819 *
*     4701 *      4701 * 4.9167898 * 536.72271 *
*     4718 *      4718 * 13.783024 * 1694.5422 *
*     4744 *      4744 * 7.0660818 * 1010.3700 *
*     4798 *      4798 * 8.8650555 * 1296.3017 *
*     4914 *      4914 * 5.6398729 * 429.32864 *
*     4976 *      4976 * 3.8051004 * 454.39981 *
*     5089 *      5089 * 6.2585485 * 1516.8527 *
*     5099 *      5099 * 35.950827 * 2336.8169 *
*     5102 *      5102 * 4.8645084 * 202.12403 *
*     5136 *      5136 * 36.444915 * 2299.4248 *
*     5181 *      5181 * 2.5954007 * 1050.9814 *
*     5231 *      5231 * 8.9291502 * 879.30905 *
*     5263 *      5263 * 4.1759776 * 1954.1153 *
*     5267 *      5267 * 10.788580 * 1525.7396 *
*     5329 *      5329 * 15.585531 * 1647.1109 *
*     5378 *      5378 * 3.1294665 * 381.67647 *
*     5379 *      5379 * 17.610713 * 1786.0088 *
*     5532 *      5532 * 7.6999723 * 774.83911 *
*     5585 *      5585 * 31.880426 * 3107.0574 *
*     5621 *      5621 * 20.745143 * 1764.2954 *
*     5676 *      5676 * 5.0343877 * 831.27642 *
*     5689 *      5689 * 20.138180 * 1857.2602 *
*     5703 *      5703 * 8.9649301 * 1155.9293 *
*     5723 *      5723 * 6.5108321 * 828.41382 *
*     5731 *      5731 * 22.108237 * 1578.5230 *
*     5759 *      5759 * 8.8752673 * 1368.4010 *
*     5839 *      5839 * 12.653839 * 1574.7771 *
*     5877 *      5877 * 27.246216 * 2582.1532 *
*     5909 *      5909 * 30.382931 * 3923.1961 *
*     5937 *      5937 * 22.255402 * 2386.9916 *
*     5966 *      5966 * 9.9219595 * 630.17860 *
*     5972 *      5972 * 11.051405 * 1722.0933 *
*     5976 *      5976 * 21.893257 * 723.65354 *
*     5992 *      5992 * 2.8002735 * 566.18952 *
*     6024 *      6024 * 2.9078942 * 907.49577 *
*     6140 *      6140 * 10.994434 * 1029.8519 *
*     6142 *      6142 * 5.1291663 * 971.51043 *
*     6144 *      6144 * 4.1394750 * 170.08844 *
*     6333 *      6333 * 28.791713 * 3295.2857 *
*     6366 *      6366 * 38.131207 * 2030.6205 *
*     6419 *      6419 * 12.208203 * 1913.2253 *
*     6437 *      6437 * 26.506140 * 1705.3048 *
*     6454 *      6454 * 7.8985392 * 717.21932 *
*     6530 *      6530 * 13.041523 * 798.14816 *
*     6536 *      6536 * 12.378534 * 687.51256 *
*     6589 *      6589 * 7.9677068 * 1011.9588 *
*     6654 *      6654 * 25.998009 * 1613.0306 *
*     6668 *      6668 * 6.7311349 *  461.7396 *
*     6736 *      6736 * 10.065892 * 1066.4248 *
*     6756 *      6756 * 11.517577 * 1198.3319 *
*     6787 *      6787 * 39.825724 * 2608.2424 *
*     6876 *      6876 * 26.783641 * 2815.0628 *
*     6880 *      6880 * 19.045188 * 1151.5419 *
*     6938 *      6938 * 11.387618 * 1253.8324 *
