***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*     2135 *        1 *      2135 * 3.5240346 * 377.96442 *
*    14233 *        0 *     14233 * 4.1815281 * 391.49155 *
*    16857 *        0 *     16857 * 7.4399961 * 940.71859 *
*    23181 *        0 *     23181 * 2.9028582 * 367.81776 *
*    40511 *        1 *     40511 * 3.4454773 * 429.14620 *
*    44315 *        0 *     44315 *  16.05563 * 2015.7821 *
*    44811 *        0 *     44811 *  5.424634 * 920.74457 *
*    48515 *        0 *     48515 * 8.6020230 * 467.49436 *
*    52444 *        0 *     52444 * 3.4890725 * 432.00039 *
*    63365 *        2 *     63365 * 1.3297179 * 325.86567 *
*    67417 *        0 *     67417 * 21.254135 * 1889.1063 *
*    73590 *        1 *     73590 * 8.2121166 * 1306.4775 *
*    91074 *        0 *     91074 * 4.8934707 * 990.18027 *
*    93721 *        1 *     93721 * 4.0707706 * 396.43257 *
***********************************************************
