***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*     8409 *        0 *      8409 * 1.4802813 * 500.07013 *
*    14253 *        0 *     14253 * 4.1749655 * 880.42117 *
*    29467 *        1 *     29467 * 3.0233586 * 211.62442 *
*    32423 *        0 *     32423 * 10.981859 * 1366.5266 *
*    35760 *        0 *     35760 * 3.8011847 * 210.37317 *
*    37954 *        0 *     37954 * 3.7246696 * 213.47685 *
*    53121 *        0 *     53121 * 6.2647939 * 1404.3771 *
*    54037 *        0 *     54037 * 3.6408283 * 319.77178 *
*    65961 *        0 *     65961 * 26.021783 * 2268.0378 *
*    75087 *        0 *     75087 * 11.054666 * 1493.2788 *
*    85489 *        0 *     85489 * 2.2080477 * 243.36906 *
*    95354 *        0 *     95354 * 35.809778 * 3999.2935 *
*    96313 *        0 *     96313 * 2.5785165 * 340.23523 *
*    99315 *        0 *     99315 * 10.396646 * 174.17166 *
*    99399 *        1 *     99399 * 2.9630543 * 347.57001 *
*   104366 *        0 *    104366 * 4.3365440 * 511.21199 *
*   105602 *        0 *    105602 * 8.6353443 * 1387.5964 *
*   108031 *        1 *    108031 * 4.8989950 * 1057.3826 *
*   112403 *        0 *    112403 * 3.4719905 * 175.12461 *
*   117624 *        0 *    117624 * 4.6667185 * 975.35722 *
*   130335 *        1 *    130335 * 4.0902593 * 276.98743 *
*   136057 *        0 *    136057 * 19.461336 * 1876.2220 *
*   136494 *        0 *    136494 * 5.9446258 * 522.33974 *
*   137469 *        0 *    137469 * 31.655267 * 1651.7423 *
*   138087 *        0 *    138087 * 3.7945908 * 63.237460 *
*   143154 *        0 *    143154 * 19.885108 * 2529.7868 *
*   147434 *        0 *    147434 * 4.8864930 * 821.73539 *
*   157032 *        0 *    157032 * 3.2735772 * 446.76052 *
*   162515 *        0 *    162515 * 7.0743019 * 1004.7060 *
*   172776 *        0 *    172776 * 4.7084970 * 403.30240 *
*   189075 *        0 *    189075 * 10.931045 * 1115.3658 *
*   198033 *        0 *    198033 * 15.480737 * 1494.3107 *
*   198554 *        0 *    198554 *  12.41476 * 1050.2630 *
*   217895 *        0 *    217895 * 8.9426577 * 298.61941 *
*   218822 *        0 *    218822 * 28.763626 * 2195.2823 *
*   218859 *        0 *    218859 * 27.934608 * 2672.0720 *
*   224758 *        0 *    224758 * 8.0718158 * 404.40849 *
*   225088 *        0 *    225088 * 4.6091124 * 558.44244 *
*   227301 *        0 *    227301 * 39.733267 * 2480.8996 *
*   231276 *        0 *    231276 * 29.926737 * 1806.2145 *
*   233888 *        0 *    233888 * 7.3573630 * 622.98514 *
*   240792 *        1 *    240792 * 1.9552957 * 545.03488 *
