***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
*    21669 *        0 *     21669 * 12.527363 * 1706.2041 *
*    21703 *        0 *     21703 * 29.002880 * 2096.4910 *
*    21742 *        0 *     21742 * 14.735038 * 1249.8448 *
*    22519 *        0 *     22519 * 19.517353 * 2115.0701 *
*    22527 *        0 *     22527 * 10.717969 * 985.70800 *
*    23309 *        0 *     23309 * 10.648925 * 1476.0957 *
*    23362 *        0 *     23362 * 30.847054 * 1583.2004 *
*    23584 *        0 *     23584 * 6.2564299 * 1282.8961 *
*    23605 *        0 *     23605 * 8.8934477 * 1515.6493 *
*    23658 *        0 *     23658 * 7.4611540 * 1535.3508 *
*    23669 *        0 *     23669 * 29.508140 * 2395.7586 *
*    23845 *        0 *     23845 * 9.9902772 * 982.25894 *
*    24213 *        0 *     24213 * 12.572818 * 1111.1625 *
*    24402 *        0 *     24402 * 8.8786825 * 760.99080 *
*    24464 *        0 *     24464 * 14.496207 * 1312.3685 *
*    24836 *        0 *     24836 * 9.5959147 * 549.91557 *
*    25594 *        0 *     25594 * 26.278101 * 2285.6726 *
*    25747 *        0 *     25747 * 24.058427 * 2095.4386 *
*    26283 *        0 *     26283 * 8.4363806 * 1524.2246 *
*    26490 *        0 *     26490 * 12.232208 * 1344.2701 *
*    26596 *        0 *     26596 * 6.5969945 * 1114.9393 *
*    26698 *        0 *     26698 * 15.106527 * 1875.8530 *
*    26844 *        0 *     26844 * 24.261790 * 1823.5025 *
*    27015 *        0 *     27015 * 6.0564839 * 1232.8594 *
*    27058 *        0 *     27058 * 30.625768 * 1856.5114 *
*    27515 *        0 *     27515 * 14.987829 * 1361.8660 *
*    27537 *        0 *     27537 * 12.105087 * 1535.5799 *
*    27556 *        0 *     27556 * 21.390564 * 2264.4261 *
*    27822 *        0 *     27822 * 18.532619 * 1714.6879 *
*    27898 *        0 *     27898 * 7.5940305 * 1365.3959 *
*    28047 *        0 *     28047 * 7.5142380 * 787.93786 *
*    28530 *        0 *     28530 * 13.422620 * 1246.0416 *
*    29067 *        0 *     29067 * 11.306842 * 1335.7055 *
*    29430 *        0 *     29430 * 27.910955 * 2074.0174 *
*    30128 *        0 *     30128 * 4.9625219 * 745.48840 *
*    30410 *        0 *     30410 * 12.741232 * 1205.3877 *
*    31629 *        0 *     31629 * 29.140612 * 2144.3601 *
*    31749 *        0 *     31749 * 6.7556692 * 1256.7338 *
*    32381 *        0 *     32381 * 5.1948638 * 921.49628 *
*    32411 *        0 *     32411 * 3.9803380 * 760.61565 *
*    32618 *        0 *     32618 * 25.683283 * 2066.4069 *
*    32848 *        0 *     32848 * 35.194199 * 1887.7140 *
*    32915 *        0 *     32915 * 25.538072 * 1820.6507 *
*    33187 *        0 *     33187 * 25.711799 * 2227.3714 *
*    33321 *        0 *     33321 * 30.494863 * 1502.4723 *
*    33377 *        0 *     33377 * 9.0902235 *  1591.855 *
*    33554 *        0 *     33554 * 11.083497 * 1449.0017 *
*    33921 *        0 *     33921 * 31.342997 * 2227.7239 *
*    34033 *        0 *     34033 * 18.413823 * 1605.1878 *
