1.13	12.4579	12.3300	12.2388	12.1474	
1.14	11.9321	11.7991	11.7040	11.6085	
1.15	12.2868	12.1486	12.0495	11.9498	
1.16	12.6370	12.4937	12.3905	12.2865	
1.17	12.9830	12.8343	12.7271	12.6187	
1.18	12.4772	12.3232	12.2118	12.0990	
1.19	12.8220	12.6625	12.5468	12.4296	
1.20	13.1626	12.9976	12.8776	12.7558	
1.21	13.4992	13.3286	13.2042	13.0778	
1.22	13.0122	12.8358	12.7070	12.5760	
1.23	13.3477	13.1655	13.0322	12.8964	
1.24	13.6792	13.4912	13.3533	13.2127	
1.25	13.2070	13.0130	12.8706	12.7250	
1.26	13.5374	13.3374	13.1903	13.0398	
1.27	13.8641	13.6580	13.5061	13.3506	
1.28	14.1871	13.9748	13.8181	13.6575	
1.29	13.7314	13.5128	13.3512	13.1855	
1.30	13.3022	12.9636	12.7123	12.4607	
1.31	13.4325	13.0863	12.8294	12.5720	
1.32	13.5633	13.2095	12.9468	12.6836	
1.33	13.5240	13.1693	12.9059	12.6420	
1.34	13.6558	13.2934	13.0241	12.7541	
1.35	13.7884	13.4181	13.1428	12.8666	
1.36	13.9217	13.5433	13.2619	12.9795	
1.37	13.8844	13.5049	13.2226	12.9393	
1.38	14.0189	13.6311	13.3425	13.0528	
1.39	14.1542	13.7580	13.4630	13.1668	
1.40	14.1185	13.7211	13.4251	13.1278	
1.41	14.2551	13.8490	13.5465	13.2425	
1.42	14.3925	13.9777	13.6686	13.3578	
1.43	14.5307	14.1071	13.7912	13.4735	
1.44	14.4973	14.0721	13.7551	13.4361	
1.45	14.6369	14.2027	13.8788	13.5527	
1.46	14.7775	14.3341	14.0031	13.6699	
1.47	14.9189	14.4662	14.1282	13.7876	
1.48	14.8878	14.4334	14.0939	13.7518	
1.49	15.0307	14.5668	14.2201	13.8705	
1.50	15.1747	14.7011	14.3470	13.9899	
1.51	15.1452	14.6698	14.3142	13.9555	
1.52	15.2907	14.8054	14.4423	14.0758	
1.53	15.4371	14.9419	14.5712	14.1968	
1.54	15.5846	15.0793	14.7008	14.3184	
1.55	15.5574	15.0501	14.6700	14.2858	
1.56	15.7065	15.1889	14.8009	14.4085	
1.57	15.8565	15.3286	14.9325	14.5319	
1.58	16.0077	15.4692	15.0651	14.6561	
1.59	15.9827	15.4420	15.0361	14.6251	
1.60	16.1354	15.5840	15.1699	14.7504	
1.61	16.2892	15.7270	15.3045	14.8763	
1.62	16.4440	15.8709	15.4400	15.0031	
1.63	16.4212	15.8458	15.4129	14.9739	
1.64	16.5776	15.9911	15.5497	15.1017	
1.65	16.7351	16.1374	15.6873	15.2303	
1.66	16.7138	16.1137	15.6616	15.2024	
1.67	16.8728	16.2614	15.8005	15.3321	
1.68	17.0329	16.4100	15.9403	15.4626	
1.69	17.1940	16.5596	16.0809	15.5938	
1.70	17.1746	16.5377	16.0569	15.5675	
1.71	17.3373	16.6887	16.1988	15.6998	
1.72	17.5009	16.8406	16.3415	15.8330	
1.73	17.6656	16.9934	16.4851	15.9668	
1.74	17.6479	16.9732	16.4627	15.9420	
1.75	17.8140	17.1274	16.6075	16.0769	
1.76	17.9811	17.2824	16.7531	16.2126	
1.77	18.1492	17.4384	16.8996	16.3491	
1.78	18.1331	17.4196	16.8786	16.3256	
1.79	18.3024	17.5768	17.0262	16.4631	
1.80	18.4728	17.7349	17.1746	16.6013	
1.81	18.4576	17.7171	17.1546	16.5787	
1.82	18.6291	17.8763	17.3041	16.7178	
1.83	18.8016	18.0364	17.4544	16.8577	
1.84	18.9749	18.1973	17.6054	16.9983	
1.85	18.9608	18.1805	17.5864	16.9767	
1.86	19.1352	18.3424	17.7384	17.1182	
1.87	19.3104	18.5051	17.8912	17.2603	
1.88	19.4864	18.6686	18.0446	17.4031	
1.89	19.4731	18.6527	18.0264	17.3823	
1.90	19.6500	18.8170	18.1807	17.5259	
1.91	19.8277	18.9820	18.3357	17.6700	
1.92	19.8147	18.9665	18.3180	17.6498	
1.93	19.9931	19.1324	18.4737	17.7946	
1.94	20.1723	19.2988	18.6300	17.9400	
1.95	20.3520	19.4659	18.7869	18.0860	
1.96	20.3392	19.4507	18.7696	18.0661	
1.97	20.5196	19.6184	18.9271	18.2127	
1.98	20.7005	19.7867	19.0852	18.3597	
1.99	20.8819	19.9555	19.2437	18.5072	
2.00	20.8690	19.9403	19.2265	18.4875	
2.01	21.0508	20.1095	19.3855	18.6354	
2.02	21.2331	20.2792	19.5449	18.7837	
2.03	21.4159	20.4493	19.7048	18.9325	
2.04	21.4024	20.4338	19.6873	18.9126	
2.05	21.5853	20.6041	19.8475	19.0616	
2.06	21.7686	20.7748	20.0080	19.2110	
2.07	21.7545	20.7589	19.9902	19.1909	
2.08	21.9378	20.9297	20.1508	19.3404	
2.09	22.1214	21.1008	20.3118	19.4902	
2.10	22.3051	21.2722	20.4729	19.6402	
2.11	22.2899	21.2553	20.4544	19.6195	
2.12	22.4735	21.4266	20.6156	19.7696	
2.13	22.6573	21.5980	20.7769	19.9198	
2.14	22.8411	21.7696	20.9384	20.0701	
2.15	22.8244	21.7515	20.9188	20.0486	
2.16	23.0079	21.9228	21.0801	20.1988	
2.17	23.1913	22.0942	21.2414	20.3491	
2.18	23.3747	22.2655	21.4028	20.4994	
2.19	23.3563	22.2459	21.3819	20.4767	
2.20	23.5391	22.4169	21.5429	20.6267	
2.21	23.7218	22.5877	21.7039	20.7767	
2.22	23.7019	22.5668	21.6819	20.7530	
2.23	23.8839	22.7371	21.8423	20.9026	
2.24	24.0656	22.9072	22.0027	21.0521	
2.25	24.2472	23.0771	22.1629	21.2015	
2.26	24.2249	23.0542	22.1391	21.1761	
2.27	24.4055	23.2234	22.2986	21.3249	
2.28	24.5858	23.3923	22.4579	21.4735	
2.29	24.7658	23.5609	22.6171	21.6219	
2.30	24.7409	23.5357	22.5911	21.5947	
2.31	24.9198	23.7034	22.7494	21.7424	
2.32	25.0982	23.8707	22.9073	21.8898	
2.33	25.0713	23.8437	22.8797	21.8611	
2.34	25.2485	24.0099	23.0367	22.0076	
2.35	25.4251	24.1757	23.1933	22.1538	
2.36	25.6013	24.3411	23.3496	22.2996	
2.37	25.5714	24.3114	23.3195	22.2687	
2.38	25.7462	24.4755	23.4746	22.4136	
2.39	25.9203	24.6391	23.6292	22.5580	
2.40	26.0938	24.8022	23.7834	22.7020	
2.41	26.0608	24.7696	23.7507	22.6686	
2.42	26.2328	24.9313	23.9036	22.8115	
2.43	26.4041	25.0924	24.0560	22.9539	
2.44	26.5747	25.2529	24.2078	23.0957	
2.45	26.5383	25.2173	24.1722	23.0598	
2.46	26.7072	25.3763	24.3227	23.2004	
2.47	26.8754	25.5346	24.4725	23.3404	
2.48	26.8365	25.4966	24.4348	23.3026	
2.49	27.0029	25.6534	24.5831	23.4412	
2.50	27.1685	25.8094	24.7308	23.5793	
2.51	27.3333	25.9646	24.8778	23.7168	
2.52	27.2908	25.9234	24.8371	23.6761	
2.53	27.4538	26.0770	24.9825	23.8121	
2.54	27.6158	26.2298	25.1273	23.9475	
2.55	27.7770	26.3817	25.2712	24.0822	
2.56	27.7309	26.3372	25.2274	24.0386	
2.57	27.8902	26.4874	25.3697	24.1718	
2.58	28.0485	26.6368	25.5113	24.3042	
2.59	28.2058	26.7853	25.6520	24.4359	
2.60	28.1561	26.7373	25.6050	24.3894	
2.61	28.3115	26.8840	25.7441	24.5195	
2.62	28.4659	27.0298	25.8823	24.6489	
2.63	28.4136	26.9794	25.8329	24.6002	
2.64	28.5660	27.1233	25.9694	24.7280	
2.65	28.7174	27.2664	26.1051	24.8549	
2.66	28.8678	27.4085	26.2399	24.9811	
2.67	28.8119	27.3547	26.1873	24.9294	
2.68	28.9602	27.4949	26.3203	25.0539	
2.69	29.1076	27.6342	26.4524	25.1776	
2.70	29.2539	27.7725	26.5837	25.3004	
2.71	29.1944	27.7153	26.5279	25.2458	
2.72	29.3386	27.8517	26.6573	25.3669	
2.73	29.4819	27.9872	26.7859	25.4873	
2.74	29.4198	27.9276	26.7279	25.4305	
2.75	29.5610	28.0612	26.8546	25.5491	
2.76	29.7012	28.1938	26.9804	25.6669	
2.77	29.8403	28.3254	27.1053	25.7838	
2.78	29.7748	28.2626	27.0443	25.7242	
2.79	29.9119	28.3923	27.1674	25.8395	
2.80	30.0479	28.5210	27.2896	25.9538	
2.81	30.1829	28.6488	27.4108	26.0673	
2.82	30.1142	28.5829	27.3468	26.0049	
2.83	30.2472	28.7088	27.4663	26.1167	
2.84	30.3791	28.8337	27.5848	26.2277	
2.85	30.5100	28.9576	27.7025	26.3378	
2.86	30.4381	28.8887	27.6356	26.2726	
2.87	30.5671	29.0108	27.7515	26.3811	
2.88	30.6950	29.1320	27.8665	26.4887	
2.89	30.6210	29.0610	27.7976	26.4217	
2.90	30.7471	29.1803	27.9109	26.5277	
2.91	30.8721	29.2987	28.0233	26.6328	
2.92	30.9961	29.4162	28.1347	26.7371	
2.93	30.9192	29.3425	28.0632	26.6676	
2.94	31.0414	29.4582	28.1731	26.7703	
2.95	31.1627	29.5730	28.2820	26.8722	
2.96	31.2829	29.6869	28.3901	26.9733	
2.97	31.2033	29.6106	28.3161	26.9014	
2.98	31.3218	29.7228	28.4226	27.0010	
2.99	31.4393	29.8341	28.5282	27.0997	
3.00	31.5559	29.9445	28.6329	27.1976	
3.01	31.4738	29.8658	28.5566	27.1236	
3.02	31.5887	29.9746	28.6599	27.2200	
3.03	31.7027	30.0825	28.7622	27.3157	
3.04	31.6190	30.0023	28.6845	27.2402	
3.05	31.7314	30.1087	28.7854	27.3345	
3.06	31.8428	30.2142	28.8855	27.4280	
3.07	31.9534	30.3189	28.9848	27.5207	
3.08	31.8676	30.2367	28.9051	27.4434	
3.09	31.9767	30.3399	29.0030	27.5348	
3.10	32.0849	30.4424	29.1001	27.6255	
3.11	32.1922	30.5440	29.1965	27.7154	
3.12	32.1046	30.4599	29.1149	27.6364	
3.13	32.2105	30.5601	29.2100	27.7251	
3.14	32.3156	30.6597	29.3043	27.8130	
3.15	32.2268	30.5744	29.2217	27.7330	
3.16	32.3306	30.6726	29.3148	27.8198	
3.17	32.4336	30.7701	29.4071	27.9059	
3.18	32.5358	30.8668	29.4988	27.9913	
3.19	32.4454	30.7801	29.4147	27.9098	
3.20	32.5464	30.8756	29.5052	27.9941	
3.21	32.6466	30.9704	29.5950	28.0778	
3.22	32.7461	31.0645	29.6841	28.1608	
3.23	32.6544	30.9765	29.5988	28.0782	
3.24	32.7527	31.0695	29.6868	28.1602	
3.25	32.8503	31.1618	29.7743	28.2416	
3.26	32.9473	31.2535	29.8611	28.3223	
3.27	32.8545	31.1644	29.7746	28.2386	
3.28	32.9504	31.2550	29.8604	28.3185	
3.29	33.0456	31.3451	29.9457	28.3977	
3.30	32.9522	31.2553	29.8586	28.3134	
3.31	33.0464	31.3444	29.9429	28.3918	
3.32	33.1400	31.4329	30.0266	28.4696	
3.33	33.2330	31.5208	30.1098	28.5469	
3.34	33.1388	31.4302	30.0220	28.4619	
3.35	33.2309	31.5173	30.1043	28.5383	
3.36	33.3224	31.6037	30.1860	28.6143	
3.37	33.4134	31.6897	30.2673	28.6897	
3.38	33.3185	31.5985	30.1788	28.6041	
3.39	33.4086	31.6836	30.2593	28.6788	
3.40	33.4982	31.7682	30.3392	28.7530	
3.41	33.5872	31.8523	30.4187	28.8268	
3.42	33.4919	31.7606	30.3298	28.7406	
3.43	33.5802	31.8440	30.4086	28.8137	
3.44	33.6680	31.9269	30.4869	28.8863	
