***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*      863 *        0 *       863 * 4.8233393 * 227.82900 *
*     6807 *        1 *      6807 * 1.4996555 * 649.17473 *
*    14676 *        0 *     14676 * 11.329066 * 1851.2043 *
*    15957 *        0 *     15957 * 14.086369 * 902.05492 *
*    31871 *        0 *     31871 * 1.5563501 * 284.11435 *
*    37461 *        0 *     37461 * 26.203400 * 2248.9977 *
*    38824 *        0 *     38824 * 5.6669891 * 240.19480 *
*    82394 *        0 *     82394 * 3.6680224 * 706.95879 *
*    89298 *        0 *     89298 * 13.282418 * 1216.5276 *
*    90939 *        2 *     90939 * 1.9989899 * 809.78011 *
*   108477 *        0 *    108477 * 20.713738 * 2270.8092 *
*   121051 *        0 *    121051 * 30.517671 * 1735.1845 *
*   122227 *        0 *    122227 * 11.352609 * 785.56511 *
*   125353 *        0 *    125353 * 4.0611799 * 705.73090 *
*   128218 *        0 *    128218 * 8.5451530 * 646.47443 *
*   131886 *        0 *    131886 *  3.431657 * 517.04837 *
*   138712 *        1 *    138712 * 2.8107263 * 374.63911 *
*   142101 *        1 *    142101 * 2.5577357 * 400.53135 *
*   143369 *        0 *    143369 * 8.7018602 * 686.33964 *
*   145684 *        0 *    145684 * 9.7212300 * 651.77354 *
*   146455 *        0 *    146455 * 12.063345 * 1796.8885 *
*   147873 *        0 *    147873 * 3.5920170 * 844.08909 *
*   149349 *        0 *    149349 * 17.787734 * 2215.1179 *
*   149923 *        0 *    149923 * 3.9101847 * 1315.2792 *
*   154217 *        0 *    154217 * 3.2832407 * 354.04383 *
*   162696 *        0 *    162696 * 4.6101763 * 281.07705 *
*   162749 *        0 *    162749 * 3.6019848 * 684.61291 *
*   173729 *        0 *    173729 * 12.673825 * 982.31433 *
*   177572 *        0 *    177572 * 3.0307484 * 826.67598 *
*   180173 *        0 *    180173 * 8.5712905 * 500.82673 *
*   185704 *        0 *    185704 * 3.5939947 * 391.78154 *
*   188703 *        0 *    188703 * 2.5388617 * 469.79510 *
*   190934 *        0 *    190934 * 4.7843344 * 549.63370 *
*   200193 *        1 *    200193 * 1.4963133 * 499.03806 *
*   208427 *        0 *    208427 * 6.8302406 * 250.02478 *
*   209704 *        0 *    209704 * 10.709148 * 614.09933 *
*   215190 *        0 *    215190 * 4.4344973 * 2491.3536 *
*   215801 *        0 *    215801 * 6.8256307 * 282.63234 *
*   228107 *        0 *    228107 * 5.2931383 * 1654.6936 *
