***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*      166 *        0 *       166 * 17.654774 * 1974.1556 *
*      385 *        0 *       385 * 7.5879712 * 1115.2867 *
*      474 *        0 *       474 * 23.104721 * 1860.9838 *
*      991 *        0 *       991 * 23.060210 * 1697.1815 *
*     1761 *        0 *      1761 * 30.251591 * 2404.7043 *
*     2167 *        0 *      2167 * 18.688896 * 1682.3974 *
*     2730 *        0 *      2730 * 7.5066792 * 900.43246 *
*     3412 *        0 *      3412 * 748.94864 * 126445.32 *
*     3694 *        0 *      3694 * 12.271472 * 1748.2320 *
*     3928 *        0 *      3928 * 16.400505 * 1425.7731 *
*     4024 *        0 *      4024 * 13.144678 * 1516.9298 *
*     4307 *        0 *      4307 * 9.5296319 * 1254.4363 *
*     4754 *        0 *      4754 * 4.1408229 * 467.36701 *
*     4851 *        0 *      4851 * 369.48528 * 113301.85 *
*     4873 *        0 *      4873 * 4.0168066 * 777.41284 *
*     4959 *        0 *      4959 * 225.28180 * 25837.282 *
*     5149 *        0 *      5149 * 19.271022 * 1956.9879 *
*     5331 *        0 *      5331 * 21.836395 * 2121.0791 *
*     5576 *        1 *      5576 * 11.625301 * 899.71525 *
*     5659 *        0 *      5659 * 18.791469 * 1686.5055 *
*     5670 *        0 *      5670 * 23.848739 * 1603.1801 *
*     5780 *        0 *      5780 * 9.2281334 * 1231.1588 *
*     6189 *        0 *      6189 * 12.155025 * 1552.0852 *
*     6627 *        0 *      6627 * 226.87190 * 24337.505 *
*     6951 *        0 *      6951 * 2215.6689 * 127632.31 *
*     7447 *        0 *      7447 * 31.072341 * 2111.7586 *
*     7626 *        0 *      7626 * 23.041615 * 1718.7283 *
*     7677 *        0 *      7677 * 10.135243 * 1363.2664 *
*     8515 *        0 *      8515 *  3.144799 * 320.13345 *
*     8909 *        0 *      8909 * 16.358729 * 1305.8879 *
*    10874 *        0 *     10874 * 203.27432 * 26076.796 *
*    11028 *        0 *     11028 * 8.4102854 * 1002.6778 *
*    12110 *        0 *     12110 * 48.014056 * 19373.284 *
*    12174 *        0 *     12174 * 10.820456 * 2040.3050 *
*    12399 *        0 *     12399 * 13.983180 * 2227.8240 *
*    12958 *        0 *     12958 * 7.8548677 * 782.40330 *
*    13065 *        0 *     13065 * 49.260044 * 2877.3054 *
*    13572 *        0 *     13572 * 4.6521429 * 646.71635 *
*    13781 *        1 *     13781 * 14.544156 * 1605.8722 *
*    14065 *        0 *     14065 * 27.504319 * 3021.7024 *
*    14135 *        0 *     14135 * 399.41495 * 69469.359 *
*    14173 *        0 *     14173 * 560.60881 * 94783.465 *
*    14187 *        0 *     14187 * 16.852893 * 1581.1000 *
*    14485 *        0 *     14485 * 10.521561 * 2543.3423 *
*    15135 *        1 *     15135 * 16.222346 * 1742.7833 *
*    15301 *        0 *     15301 * 816.97125 * 110445.17 *
*    15434 *        0 *     15434 * 12.433076 * 1316.2540 *
*    15499 *        0 *     15499 * 54.290699 * 4104.4336 *
*    15841 *        0 *     15841 * 25.909078 * 1899.1619 *
*    16078 *        0 *     16078 * 10.652311 * 1953.6550 *
