***********************************************************
*    Row   * Instance *   EventId * LiqSciHei * LiqSciTai *
***********************************************************
*      286 *        0 *       286 *        -1 *         0 *
*     2623 *        1 *      2623 *        -1 *         0 *
*     2957 *        0 *      2957 * 0.3669613 * 0.2470105 *
*     5004 *        0 *      5004 *        -1 *         0 *
*     5232 *        2 *      5232 *        -1 *         0 *
*     5731 *        0 *      5731 *        -1 *         0 *
*     5739 *        0 *      5739 *        -1 *         0 *
*     5942 *        5 *      5942 *        -1 *         0 *
*     7108 *        1 *      7108 *        -1 *         0 *
*     8574 *        0 *      8574 *        -1 *         0 *
*     8710 *        0 *      8710 * 0.4117513 * 0.0961684 *
*     9551 *        0 *      9551 *        -1 *         0 *
*     9747 *        0 *      9747 *        -1 *         0 *
*    10178 *        1 *     10178 *        -1 *         0 *
*    10268 *        2 *     10268 *        -1 *         0 *
*    10835 *        1 *     10835 *        -1 *         0 *
*    11914 *        1 *     11914 *        -1 *         0 *
*    14005 *        4 *     14005 *        -1 *         0 *
*    15515 *        1 *     15515 *        -1 *         0 *
*    15581 *        0 *     15581 * 0.8485833 * 0.0968554 *
*    16131 *        2 *     16131 *        -1 *         0 *
*    17568 *        3 *     17568 * 1.1642373 * 0.0846957 *
*    18456 *        0 *     18456 *        -1 *         0 *
*    19996 *        1 *     19996 *        -1 *         0 *
*    20071 *        0 *     20071 *        -1 *         0 *
*    21334 *        1 *     21334 *        -1 *         0 *
*    21585 *        3 *     21585 *        -1 *         0 *
*    21960 *        1 *     21960 *        -1 *         0 *
*    23134 *        1 *     23134 *        -1 *         0 *
*    24002 *        0 *     24002 *        -1 *         0 *
*    24119 *        0 *     24119 * 0.3240041 * 0.2727925 *
*    24281 *        0 *     24281 *        -1 *         0 *
*    24289 *        0 *     24289 *        -1 *         0 *
*    24353 *        1 *     24353 *        -1 *         0 *
*    24954 *        0 *     24954 *        -1 *         0 *
*    25516 *        0 *     25516 *        -1 *         0 *
*    26977 *        2 *     26977 *        -1 *         0 *
*    27253 *        3 *     27253 *        -1 *         0 *
*    27715 *        1 *     27715 *        -1 *         0 *
*    28157 *        3 *     28157 *        -1 *         0 *
*    28180 *        1 *     28180 * 0.2964667 * 0.3124651 *
*    28847 *        0 *     28847 *        -1 *         0 *
*    30471 *        3 *     30471 *        -1 *         0 *
*    30518 *        0 *     30518 * 0.4957819 * 0.2105693 *
*    30698 *        0 *     30698 *        -1 *         0 *
*    30866 *        1 *     30866 *        -1 *         0 *
*    31012 *        1 *     31012 *        -1 *         0 *
*    31673 *        0 *     31673 *        -1 *         0 *
*    31860 *        1 *     31860 *        -1 *         0 *
*    32156 *        1 *     32156 *        -1 *         0 *
*    32445 *        3 *     32445 *        -1 *         0 *
*    32853 *        0 *     32853 *        -1 *         0 *
*    35258 *        0 *     35258 * 1.4637521 * 0.0774660 *
*    36623 *        1 *     36623 *        -1 *         0 *
*    37191 *        2 *     37191 * 0.4408383 * 0.2653380 *
*    38541 *        0 *     38541 *        -1 *         0 *
*    38996 *        0 *     38996 *        -1 *         0 *
*    39191 *        3 *     39191 * 1.5137966 * 0.4379772 *
*    39827 *        4 *     39827 *        -1 *         0 *
*    40319 *        7 *     40319 *        -1 *         0 *
*    40794 *        1 *     40794 *        -1 *         0 *
*    40864 *        0 *     40864 *        -1 *         0 *
*    41025 *        3 *     41025 * 1.3100748 * 0.0870083 *
*    42037 *        1 *     42037 *        -1 *         0 *
*    42487 *        2 *     42487 *        -1 *         0 *
*    42866 *        1 *     42866 *        -1 *         0 *
*    42979 *        0 *     42979 *        -1 *         0 *
*    44517 *        1 *     44517 *        -1 *         0 *
*    44830 *        1 *     44830 *        -1 *         0 *
*    44925 *        0 *     44925 *        -1 *         0 *
*    46392 *        3 *     46392 * 1.3773571 * 0.0933609 *
*    46661 *        3 *     46661 * 0.5961037 * 0.2823216 *
*    46675 *        3 *     46675 *        -1 *         0 *
*    46893 *        0 *     46893 *        -1 *         0 *
*    48036 *        1 *     48036 *        -1 *         0 *
*    48121 *        2 *     48121 *        -1 *         0 *
*    48663 *        0 *     48663 *        -1 *         0 *
*    48811 *        0 *     48811 * 0.8646180 * 0.2343044 *
*    49574 *        0 *     49574 * 0.2399049 * 0.2358538 *
*    49598 *        1 *     49598 *        -1 *         0 *
*    50113 *        4 *     50113 *        -1 *         0 *
*    51457 *        2 *     51457 *        -1 *         0 *
*    53089 *        0 *     53089 *        -1 *         0 *
*    53771 *        0 *     53771 *        -1 *         0 *
*    54216 *        2 *     54216 *        -1 *         0 *
*    55922 *        2 *     55922 *        -1 *         0 *
*    56681 *        0 *     56681 * 0.5468206 * 0.2947727 *
*    56939 *        1 *     56939 *        -1 *         0 *
*    57167 *        1 *     57167 *        -1 *         0 *
*    57510 *        3 *     57510 * 1.3899346 * 0.0923930 *
*    57962 *        4 *     57962 *        -1 *         0 *
*    58120 *        3 *     58120 *        -1 *         0 *
*    58450 *        1 *     58450 *        -1 *         0 *
*    59611 *        3 *     59611 *        -1 *         0 *
*    59649 *        3 *     59649 *        -1 *         0 *
*    60236 *        1 *     60236 *        -1 *         0 *
*    63845 *        1 *     63845 *        -1 *         0 *
*    64998 *        0 *     64998 *        -1 *         0 *
*    65370 *        1 *     65370 *        -1 *         0 *
*    66927 *        3 *     66927 *        -1 *         0 *
*    68293 *        0 *     68293 *        -1 *         0 *
*    69123 *        1 *     69123 *        -1 *         0 *
*    69129 *        0 *     69129 *        -1 *         0 *
*    69534 *        0 *     69534 * 0.2946992 * 0.2842102 *
*    70097 *        1 *     70097 * 0.3785625 * 0.2518846 *
*    70627 *        2 *     70627 *        -1 *         0 *
*    70649 *        1 *     70649 *        -1 *         0 *
*    72419 *        0 *     72419 *        -1 *         0 *
*    72717 *        1 *     72717 *        -1 *         0 *
*    74902 *        5 *     74902 *        -1 *         0 *
*    75187 *        0 *     75187 *        -1 *         0 *
*    75435 *        0 *     75435 * 0.3423375 * 0.3534231 *
*    77090 *        1 *     77090 * 0.3263148 * 0.2572709 *
*    77286 *        0 *     77286 * 0.6634010 * 0.3117873 *
*    77632 *        0 *     77632 *        -1 *         0 *
*    77893 *        1 *     77893 *        -1 *         0 *
*    78322 *        1 *     78322 *        -1 *         0 *
*    78350 *        9 *     78350 *        -1 *         0 *
*    79080 *        2 *     79080 *        -1 *         0 *
*    79589 *        2 *     79589 *        -1 *         0 *
*    80301 *        2 *     80301 *        -1 *         0 *
*    80830 *        1 *     80830 *        -1 *         0 *
*    80845 *        1 *     80845 * 1.3294531 * 0.1021877 *
*    81690 *        3 *     81690 *        -1 *         0 *
*    82042 *        3 *     82042 *        -1 *         0 *
*    82121 *        0 *     82121 *        -1 *         0 *
*    82974 *        3 *     82974 *        -1 *         0 *
*    83317 *        3 *     83317 *        -1 *         0 *
*    83443 *        4 *     83443 * 0.3308348 * 0.0744730 *
*    84363 *        2 *     84363 *        -1 *         0 *
*    84507 *        2 *     84507 *        -1 *         0 *
*    84955 *        0 *     84955 *        -1 *         0 *
*    85251 *        5 *     85251 * 0.9078677 * 0.0846979 *
*    86771 *        0 *     86771 *        -1 *         0 *
*    88192 *        0 *     88192 *        -1 *         0 *
*    88314 *        2 *     88314 *        -1 *         0 *
*    88797 *        0 *     88797 *        -1 *         0 *
*    88927 *        0 *     88927 * 0.5515883 * 0.2590381 *
*    88950 *        1 *     88950 *        -1 *         0 *
*    89635 *        2 *     89635 *        -1 *         0 *
*    90574 *        0 *     90574 *        -1 *         0 *
*    90966 *        4 *     90966 *        -1 *         0 *
*    91556 *        2 *     91556 *        -1 *         0 *
*    91600 *        0 *     91600 *        -1 *         0 *
*    92929 *        1 *     92929 *        -1 *         0 *
*    93554 *        1 *     93554 *        -1 *         0 *
