***********************************************************
*    Row   * Instance *   EventId * LiqSciHei * LiqSciTai *
***********************************************************
*      376 *        0 *       376 *        -1 *         0 *
*      475 *        1 *       475 * 0.5466294 * 0.1000837 *
*     3383 *        1 *      3383 *        -1 *         0 *
*     3771 *        1 *      3771 *        -1 *         0 *
*     3903 *        0 *      3903 * 0.2467893 * 0.3010478 *
*     3966 *        0 *      3966 * 0.8627223 * 0.2648867 *
*     5039 *        0 *      5039 * 0.4214330 * 0.2573538 *
*     7092 *        1 *      7092 *        -1 *         0 *
*     7570 *        0 *      7570 *        -1 *         0 *
*     8174 *        0 *      8174 *        -1 *         0 *
*     8401 *        1 *      8401 *        -1 *         0 *
*     8425 *        2 *      8425 *        -1 *         0 *
*     8835 *        1 *      8835 *        -1 *         0 *
*     9722 *        4 *      9722 * 1.2857376 * 0.0787834 *
*    10847 *        2 *     10847 *        -1 *         0 *
*    11676 *        0 *     11676 *        -1 *         0 *
*    13882 *        2 *     13882 *        -1 *         0 *
*    14131 *        1 *     14131 *        -1 *         0 *
*    14213 *        0 *     14213 *        -1 *         0 *
*    14412 *        0 *     14412 * 1.5149759 * 0.5699089 *
*    14463 *        0 *     14463 * 0.5180352 * 0.2342837 *
*    14521 *        0 *     14521 *        -1 *         0 *
*    15371 *        0 *     15371 *        -1 *         0 *
*    16872 *        0 *     16872 *        -1 *         0 *
*    17083 *        0 *     17083 * 0.4225706 * 0.3073306 *
*    17140 *        0 *     17140 *        -1 *         0 *
*    18305 *        0 *     18305 *        -1 *         0 *
*    18539 *        0 *     18539 * 0.3529954 * 0.2721912 *
*    19171 *        2 *     19171 *        -1 *         0 *
*    21428 *        1 *     21428 *        -1 *         0 *
*    23455 *        0 *     23455 *        -1 *         0 *
*    23724 *        0 *     23724 *        -1 *         0 *
*    23933 *        0 *     23933 * 0.4764662 * 0.2984131 *
*    24598 *        0 *     24598 *        -1 *         0 *
*    25200 *        0 *     25200 *        -1 *         0 *
*    27198 *        0 *     27198 *        -1 *         0 *
*    28347 *        0 *     28347 *        -1 *         0 *
*    28587 *        0 *     28587 *        -1 *         0 *
*    29312 *        0 *     29312 *        -1 *         0 *
*    29440 *        0 *     29440 *        -1 *         0 *
*    30008 *        0 *     30008 *        -1 *         0 *
*    32341 *        5 *     32341 *        -1 *         0 *
*    32462 *        1 *     32462 *        -1 *         0 *
