***********************************************************
*    Row   * Instance *   EventId * LiqSciHei * LiqSciTai *
***********************************************************
*      286 *        0 *       286 *        -1 *         0 *
*     2623 *        1 *      2623 *        -1 *         0 *
*     2957 *        0 *      2957 *        -1 *         0 *
*     5004 *        0 *      5004 *        -1 *         0 *
*     5232 *        2 *      5232 * 1.4477294 * 0.1006382 *
*     5731 *        0 *      5731 *        -1 *         0 *
*     5739 *        0 *      5739 *        -1 *         0 *
*     5942 *        5 *      5942 * 0.4057984 * 0.2842519 *
*     7108 *        1 *      7108 *        -1 *         0 *
*     8574 *        0 *      8574 *        -1 *         0 *
*     8710 *        0 *      8710 *        -1 *         0 *
*     9551 *        0 *      9551 *        -1 *         0 *
*     9747 *        0 *      9747 * 0.3747352 * 0.4549613 *
*    10178 *        1 *     10178 *        -1 *         0 *
*    10268 *        2 *     10268 *        -1 *         0 *
*    10835 *        1 *     10835 *        -1 *         0 *
*    11914 *        1 *     11914 *        -1 *         0 *
*    14005 *        4 *     14005 *        -1 *         0 *
*    15515 *        1 *     15515 *        -1 *         0 *
*    15581 *        0 *     15581 *        -1 *         0 *
*    16131 *        2 *     16131 *        -1 *         0 *
*    17568 *        3 *     17568 *        -1 *         0 *
*    18456 *        0 *     18456 * 0.1930727 * 0.0287339 *
*    19996 *        1 *     19996 * 0.2193444 * 0.4490552 *
*    20071 *        0 *     20071 * 0.2008377 * 0.4463235 *
*    21334 *        1 *     21334 *        -1 *         0 *
*    21585 *        3 *     21585 *        -1 *         0 *
*    21960 *        1 *     21960 *        -1 *         0 *
*    23134 *        1 *     23134 * 0.2378271 * 0.2719991 *
*    24002 *        0 *     24002 *        -1 *         0 *
*    24119 *        0 *     24119 *        -1 *         0 *
*    24281 *        0 *     24281 *        -1 *         0 *
*    24289 *        0 *     24289 *        -1 *         0 *
*    24353 *        1 *     24353 *        -1 *         0 *
*    24954 *        0 *     24954 *        -1 *         0 *
*    25516 *        0 *     25516 *        -1 *         0 *
*    26977 *        2 *     26977 *        -1 *         0 *
*    27253 *        3 *     27253 *        -1 *         0 *
*    27715 *        1 *     27715 * 0.1622752 * 0.2012871 *
*    28157 *        3 *     28157 *        -1 *         0 *
*    28180 *        1 *     28180 *        -1 *         0 *
*    28847 *        0 *     28847 * 1.5009981 * 0.5073776 *
*    30471 *        3 *     30471 *        -1 *         0 *
*    30518 *        0 *     30518 *        -1 *         0 *
*    30698 *        0 *     30698 *        -1 *         0 *
*    30866 *        1 *     30866 *        -1 *         0 *
*    31012 *        1 *     31012 *        -1 *         0 *
*    31673 *        0 *     31673 *        -1 *         0 *
*    31860 *        1 *     31860 * 0.5172262 * 0.1802650 *
*    32156 *        1 *     32156 *        -1 *         0 *
*    32445 *        3 *     32445 * 0.2972727 * 0.0935941 *
*    32853 *        0 *     32853 *        -1 *         0 *
*    35258 *        0 *     35258 *        -1 *         0 *
*    36623 *        1 *     36623 *        -1 *         0 *
*    37191 *        2 *     37191 *        -1 *         0 *
*    38541 *        0 *     38541 *        -1 *         0 *
*    38996 *        0 *     38996 *        -1 *         0 *
*    39191 *        3 *     39191 *        -1 *         0 *
*    39827 *        4 *     39827 *        -1 *         0 *
*    40319 *        7 *     40319 *        -1 *         0 *
*    40794 *        1 *     40794 * 0.6250115 * 0.4784414 *
*    40864 *        0 *     40864 * 1.5022430 * 0.5128965 *
*    41025 *        3 *     41025 *        -1 *         0 *
*    42037 *        1 *     42037 *        -1 *         0 *
*    42487 *        2 *     42487 *        -1 *         0 *
*    42866 *        1 *     42866 *        -1 *         0 *
*    42979 *        0 *     42979 *        -1 *         0 *
*    44517 *        1 *     44517 *        -1 *         0 *
*    44830 *        1 *     44830 *        -1 *         0 *
*    44925 *        0 *     44925 *        -1 *         0 *
*    46392 *        3 *     46392 *        -1 *         0 *
*    46661 *        3 *     46661 *        -1 *         0 *
*    46675 *        3 *     46675 *        -1 *         0 *
*    46893 *        0 *     46893 *        -1 *         0 *
*    48036 *        1 *     48036 *        -1 *         0 *
*    48121 *        2 *     48121 *        -1 *         0 *
*    48663 *        0 *     48663 *        -1 *         0 *
*    48811 *        0 *     48811 *        -1 *         0 *
*    49574 *        0 *     49574 *        -1 *         0 *
*    49598 *        1 *     49598 *        -1 *         0 *
*    50113 *        4 *     50113 *        -1 *         0 *
*    51457 *        2 *     51457 *        -1 *         0 *
*    53089 *        0 *     53089 *        -1 *         0 *
*    53771 *        0 *     53771 * 0.2008945 * 0.6222224 *
*    54216 *        2 *     54216 *        -1 *         0 *
*    55922 *        2 *     55922 *        -1 *         0 *
*    56681 *        0 *     56681 *        -1 *         0 *
*    56939 *        1 *     56939 *        -1 *         0 *
*    57167 *        1 *     57167 *        -1 *         0 *
*    57510 *        3 *     57510 *        -1 *         0 *
*    57962 *        4 *     57962 * 0.4898976 * 0.1346251 *
*    58120 *        3 *     58120 * 0.3408508 * 0.3908235 *
*    58450 *        1 *     58450 *        -1 *         0 *
*    59611 *        3 *     59611 *        -1 *         0 *
*    59649 *        3 *     59649 *        -1 *         0 *
*    60236 *        1 *     60236 *        -1 *         0 *
*    63845 *        1 *     63845 *        -1 *         0 *
*    64998 *        0 *     64998 * 0.1709090 * 0.2658231 *
*    65370 *        1 *     65370 * 0.1695775 * 0.2241039 *
*    66927 *        3 *     66927 *        -1 *         0 *
*    68293 *        0 *     68293 *        -1 *         0 *
*    69123 *        1 *     69123 * 0.3119102 * 0.3159562 *
*    69129 *        0 *     69129 *        -1 *         0 *
*    69534 *        0 *     69534 *        -1 *         0 *
*    70097 *        1 *     70097 *        -1 *         0 *
*    70627 *        2 *     70627 *        -1 *         0 *
*    70649 *        1 *     70649 *        -1 *         0 *
*    72419 *        0 *     72419 *        -1 *         0 *
*    72717 *        1 *     72717 * 0.2661169 * 0.1046363 *
*    74902 *        5 *     74902 *        -1 *         0 *
*    75187 *        0 *     75187 * 0.5702023 * 0.3363004 *
*    75435 *        0 *     75435 *        -1 *         0 *
*    77090 *        1 *     77090 *        -1 *         0 *
*    77286 *        0 *     77286 *        -1 *         0 *
*    77632 *        0 *     77632 * 0.3638743 * 0.3862342 *
*    77893 *        1 *     77893 *        -1 *         0 *
*    78322 *        1 *     78322 *        -1 *         0 *
*    78350 *        9 *     78350 *        -1 *         0 *
*    79080 *        2 *     79080 *        -1 *         0 *
*    79589 *        2 *     79589 * 1.4019509 * 0.1355853 *
*    80301 *        2 *     80301 *        -1 *         0 *
*    80830 *        1 *     80830 *        -1 *         0 *
*    80845 *        1 *     80845 *        -1 *         0 *
*    81690 *        3 *     81690 * 1.2129861 * 0.1540486 *
*    82042 *        3 *     82042 *        -1 *         0 *
*    82121 *        0 *     82121 *        -1 *         0 *
*    82974 *        3 *     82974 * 0.2111882 * 0.3934782 *
*    83317 *        3 *     83317 *        -1 *         0 *
*    83443 *        4 *     83443 *        -1 *         0 *
*    84363 *        2 *     84363 *        -1 *         0 *
*    84507 *        2 *     84507 * 0.4807175 * 0.0730110 *
*    84955 *        0 *     84955 * 0.2549066 * 0.3789819 *
*    85251 *        5 *     85251 *        -1 *         0 *
*    86771 *        0 *     86771 *        -1 *         0 *
*    88192 *        0 *     88192 *        -1 *         0 *
*    88314 *        2 *     88314 *        -1 *         0 *
*    88797 *        0 *     88797 * 0.3223323 * 0.3433667 *
*    88927 *        0 *     88927 *        -1 *         0 *
*    88950 *        1 *     88950 *        -1 *         0 *
*    89635 *        2 *     89635 *        -1 *         0 *
*    90574 *        0 *     90574 * 1.5102349 * 0.5325837 *
*    90966 *        4 *     90966 * 0.2533572 * 0.1933056 *
*    91556 *        2 *     91556 *        -1 *         0 *
*    91600 *        0 *     91600 *        -1 *         0 *
*    92929 *        1 *     92929 *        -1 *         0 *
