***********************************************************
*    Row   * Instance *   EventId * LiqSciHei * LiqSciTai *
***********************************************************
*       86 *        0 *        86 * 0.2768793 * 0.2401837 *
*      711 *        0 *       711 *        -1 *         0 *
*      771 *        0 *       771 * 0.3252819 * 0.0855277 *
*      856 *        2 *       856 *        -1 *         0 *
*      953 *        2 *       953 *        -1 *         0 *
*     1574 *        0 *      1574 *        -1 *         0 *
*     1808 *        1 *      1808 *        -1 *         0 *
*     2437 *        1 *      2437 *        -1 *         0 *
*     2918 *        2 *      2918 *        -1 *         0 *
*     3125 *        0 *      3125 *        -1 *         0 *
*     3184 *        0 *      3184 *        -1 *         0 *
*     3566 *        0 *      3566 *        -1 *         0 *
*     6176 *        0 *      6176 * 0.8773179 * 0.0775089 *
*     6344 *        0 *      6344 *        -1 *         0 *
*     6829 *        1 *      6829 * 1.5044342 * 0.0887002 *
*     7203 *        0 *      7203 *        -1 *         0 *
*     7988 *        0 *      7988 *        -1 *         0 *
*     8319 *        0 *      8319 *        -1 *         0 *
*     8621 *        0 *      8621 *        -1 *         0 *
*     8639 *        0 *      8639 *        -1 *         0 *
*     9532 *        0 *      9532 *        -1 *         0 *
*     9824 *        0 *      9824 *        -1 *         0 *
*    10755 *        0 *     10755 *        -1 *         0 *
*    14141 *        2 *     14141 *        -1 *         0 *
*    14268 *        0 *     14268 * 0.4174834 * 0.2524460 *
*    14461 *        7 *     14461 *        -1 *         0 *
*    15271 *        1 *     15271 *        -1 *         0 *
*    15358 *        0 *     15358 *        -1 *         0 *
*    15768 *        0 *     15768 *        -1 *         0 *
*    15861 *        1 *     15861 *        -1 *         0 *
*    15963 *        1 *     15963 *        -1 *         0 *
*    17133 *        0 *     17133 * 0.5294455 * 0.2789125 *
*    18436 *        0 *     18436 *        -1 *         0 *
*    19124 *        1 *     19124 * 0.3604859 * 0.2900021 *
*    19327 *        0 *     19327 *        -1 *         0 *
*    19399 *        1 *     19399 *        -1 *         0 *
*    19433 *        0 *     19433 *        -1 *         0 *
*    19669 *        0 *     19669 *        -1 *         0 *
*    21054 *        0 *     21054 * 0.3247326 * 0.0652920 *
*    22487 *        2 *     22487 * 0.6854782 * 0.2545905 *
*    23160 *        0 *     23160 *        -1 *         0 *
*    23237 *        3 *     23237 *        -1 *         0 *
*    25139 *        1 *     25139 *        -1 *         0 *
*    25203 *        0 *     25203 *        -1 *         0 *
*    25783 *        1 *     25783 *        -1 *         0 *
*    28108 *        2 *     28108 *        -1 *         0 *
*    28645 *        1 *     28645 *        -1 *         0 *
*    29206 *        0 *     29206 *        -1 *         0 *
*    29730 *        1 *     29730 *        -1 *         0 *
*    29802 *        2 *     29802 *        -1 *         0 *
*    30706 *        1 *     30706 *        -1 *         0 *
*    30804 *        1 *     30804 *        -1 *         0 *
*    31983 *        0 *     31983 *        -1 *         0 *
*    32989 *        0 *     32989 *        -1 *         0 *
***********************************************************
