***********************************************************
*    Row   * Instance *   EventId * LiqSciHei * LiqSciTai *
***********************************************************
*     1136 *        1 *      1136 * 0.3756070 * 0.0988785 *
*     1743 *        0 *      1743 * 1.3258199 * 0.1098094 *
*     1833 *        0 *      1833 *        -1 *         0 *
*     2094 *        1 *      2094 *        -1 *         0 *
*     3856 *        0 *      3856 *        -1 *         0 *
*     3914 *        9 *      3914 *        -1 *         0 *
*     4348 *        1 *      4348 * 0.2034112 * 0.0685902 *
*     5195 *        1 *      5195 *        -1 *         0 *
*     5830 *        0 *      5830 *        -1 *         0 *
*     6051 *        0 *      6051 * 0.2223835 * 0.0899068 *
*     7725 *        0 *      7725 *        -1 *         0 *
*     8132 *        2 *      8132 * 1.3278261 * 0.1089551 *
*     8773 *        1 *      8773 *        -1 *         0 *
*     8878 *        0 *      8878 *        -1 *         0 *
*     8878 *        2 *      8878 *        -1 *         0 *
*     9488 *        0 *      9488 *        -1 *         0 *
*     9538 *        1 *      9538 *        -1 *         0 *
*    10401 *        2 *     10401 * 0.6928313 * 0.3332979 *
*    10462 *        2 *     10462 *        -1 *         0 *
*    10845 *        0 *     10845 * 1.1650911 * 0.1309679 *
*    11556 *        0 *     11556 *        -1 *         0 *
*    13907 *        0 *     13907 *        -1 *         0 *
*    15613 *        0 *     15613 *        -1 *         0 *
*    15849 *        2 *     15849 *        -1 *         0 *
*    17328 *        0 *     17328 * 1.5296582 * 0.8018828 *
*    18676 *        0 *     18676 *        -1 *         0 *
*    18795 *        0 *     18795 * 0.2583727 * 0.1584233 *
*    19171 *        0 *     19171 * 0.5866699 * 0.2808268 *
*    22401 *        0 *     22401 *        -1 *         0 *
*    23066 *        2 *     23066 *        -1 *         0 *
*    24313 *        0 *     24313 * 1.3746852 * 0.2574564 *
*    25087 *        0 *     25087 *        -1 *         0 *
*    25652 *        0 *     25652 *        -1 *         0 *
*    26613 *        0 *     26613 *        -1 *         0 *
*    26656 *        1 *     26656 *        -1 *         0 *
*    26862 *        1 *     26862 *        -1 *         0 *
*    26866 *        3 *     26866 *        -1 *         0 *
*    27367 *        0 *     27367 * 0.2323637 * 0.1327940 *
*    29385 *        0 *     29385 *        -1 *         0 *
*    30022 *        0 *     30022 *        -1 *         0 *
*    30357 *        0 *     30357 *        -1 *         0 *
*    31824 *        0 *     31824 *        -1 *         0 *
*    31917 *        0 *     31917 *        -1 *         0 *
*    32618 *        0 *     32618 *        -1 *         0 *
*    35612 *        1 *     35612 *        -1 *         0 *
*    35652 *        0 *     35652 *        -1 *         0 *
*    36514 *        0 *     36514 *        -1 *         0 *
*    36648 *        3 *     36648 *        -1 *         0 *
*    36662 *        1 *     36662 * 0.7733330 * 0.2673414 *
*    36833 *        0 *     36833 *        -1 *         0 *
*    37807 *        1 *     37807 * 1.4887341 * 0.1017585 *
*    38080 *        0 *     38080 *        -1 *         0 *
*    38395 *        2 *     38395 *        -1 *         0 *
*    38857 *        4 *     38857 *        -1 *         0 *
*    39315 *        1 *     39315 * 0.2159918 * 0.0775046 *
*    40078 *        0 *     40078 *        -1 *         0 *
*    40862 *        0 *     40862 *        -1 *         0 *
*    40863 *        0 *     40863 * 0.2383853 * 0.1436979 *
*    41127 *        0 *     41127 *        -1 *         0 *
*    41132 *        0 *     41132 *        -1 *         0 *
*    41385 *        0 *     41385 *        -1 *         0 *
*    41497 *        0 *     41497 *        -1 *         0 *
*    41963 *        0 *     41963 *        -1 *         0 *
*    42683 *        0 *     42683 *        -1 *         0 *
*    42756 *        2 *     42756 *        -1 *         0 *
*    43403 *        2 *     43403 * 0.2283544 * 0.0762928 *
*    44066 *        0 *     44066 *        -1 *         0 *
*    45564 *        1 *     45564 * 0.9461258 * 0.2543078 *
*    45809 *        0 *     45809 *        -1 *         0 *
*    47264 *        0 *     47264 * 0.4028101 * 0.0940308 *
*    47939 *        0 *     47939 *        -1 *         0 *
*    48483 *        0 *     48483 *        -1 *         0 *
*    48878 *        5 *     48878 * 0.3371967 * 0.0890026 *
*    49185 *        0 *     49185 * 0.9123846 * 0.3043038 *
*    49686 *        0 *     49686 *        -1 *         0 *
*    49839 *        1 *     49839 *        -1 *         0 *
*    49975 *        3 *     49975 *        -1 *         0 *
*    50391 *        1 *     50391 * 0.2190428 * 0.0743896 *
*    50690 *        3 *     50690 * 0.3294585 * 0.2662058 *
*    50781 *        0 *     50781 *        -1 *         0 *
*    50957 *        2 *     50957 *        -1 *         0 *
*    51651 *        1 *     51651 *        -1 *         0 *
*    51875 *        2 *     51875 *        -1 *         0 *
*    52691 *        0 *     52691 *        -1 *         0 *
*    53508 *        0 *     53508 * 1.5237289 * 0.0734860 *
*    53721 *        0 *     53721 * 0.5845532 * 0.3127340 *
*    56304 *        3 *     56304 *        -1 *         0 *
*    56554 *        1 *     56554 * 0.4933727 * 0.2825271 *
*    56562 *        0 *     56562 *        -1 *         0 *
*    58254 *        0 *     58254 * 1.5185226 * 0.4612609 *
*    58392 *        0 *     58392 *        -1 *         0 *
*    58868 *        0 *     58868 * 0.2842831 * 0.3676525 *
*    58868 *        1 *     58868 * 0.2842831 * 0.3676525 *
*    59031 *        1 *     59031 *        -1 *         0 *
*    59197 *        1 *     59197 *        -1 *         0 *
*    60488 *        0 *     60488 *        -1 *         0 *
*    62082 *        1 *     62082 * 0.2488342 * 0.1378675 *
*    63440 *        0 *     63440 *        -1 *         0 *
*    63708 *        0 *     63708 * 1.2969390 * 0.0991129 *
*    64122 *        1 *     64122 * 0.2341729 * 0.0817755 *
*    64140 *        2 *     64140 *        -1 *         0 *
*    64335 *        0 *     64335 * 0.3183437 * 0.0960213 *
*    67197 *        4 *     67197 * 0.2135557 * 0.0984470 *
*    67859 *        0 *     67859 *        -1 *         0 *
*    70283 *        0 *     70283 * 1.5237827 * 0.2541636 *
*    70314 *        0 *     70314 * 1.5054373 * 0.0665821 *
*    70449 *        0 *     70449 *        -1 *         0 *
*    70907 *        0 *     70907 * 0.3943853 * 0.3397819 *
*    73490 *        2 *     73490 *        -1 *         0 *
*    74845 *        0 *     74845 *        -1 *         0 *
*    74916 *        0 *     74916 * 0.2601550 * 0.3143369 *
*    75201 *        0 *     75201 *        -1 *         0 *
*    75261 *        0 *     75261 *        -1 *         0 *
*    76206 *        1 *     76206 * 0.2083581 * 0.1042378 *
*    77036 *        0 *     77036 *        -1 *         0 *
*    77117 *        0 *     77117 *        -1 *         0 *
*    77708 *        0 *     77708 * 0.4036102 * 0.2955909 *
*    78932 *        0 *     78932 *        -1 *         0 *
*    79197 *        1 *     79197 * 0.2407678 * 0.1111740 *
*    82180 *        1 *     82180 * 0.4503737 * 0.0952343 *
*    83057 *        3 *     83057 * 1.0809203 * 0.2805508 *
*    83261 *        2 *     83261 * 0.2131795 * 0.1247364 *
*    84472 *        0 *     84472 * 0.9722033 * 0.2949703 *
*    84920 *        1 *     84920 * 1.5286818 * 0.6639221 *
*    85654 *        0 *     85654 * 0.2481924 * 0.0774205 *
*    86204 *        1 *     86204 *        -1 *         0 *
*    88096 *        0 *     88096 *        -1 *         0 *
*    88138 *        0 *     88138 * 0.3551868 * 0.2732911 *
*    88325 *        0 *     88325 *        -1 *         0 *
*    88581 *        1 *     88581 * 1.4998217 * 0.0922290 *
*    88793 *        0 *     88793 * 0.2785482 * 0.3828075 *
*    88886 *        0 *     88886 * 0.2207714 * 0.1485524 *
*    88979 *        0 *     88979 *        -1 *         0 *
*    89180 *        0 *     89180 *        -1 *         0 *
*    89727 *        0 *     89727 *        -1 *         0 *
*    90204 *        0 *     90204 *        -1 *         0 *
*    90412 *        0 *     90412 *        -1 *         0 *
*    90642 *        0 *     90642 *        -1 *         0 *
*    91741 *        1 *     91741 * 0.9774995 * 0.1100367 *
*    91764 *        0 *     91764 *        -1 *         0 *
*    94667 *        1 *     94667 *        -1 *         0 *
*    95851 *        0 *     95851 *        -1 *         0 *
*    96761 *        0 *     96761 *        -1 *         0 *
*    97328 *        0 *     97328 * 0.2607402 * 0.3014348 *
*    97560 *        0 *     97560 *        -1 *         0 *
*    99207 *        1 *     99207 * 0.3583453 * 0.2770711 *
*   101196 *        4 *    101196 * 0.2815993 * 0.2698009 *
*   101534 *        0 *    101534 *        -1 *         0 *
*   101966 *        0 *    101966 * 0.6168465 * 0.2962085 *
*   102078 *        0 *    102078 * 1.3267035 * 0.2678663 *
*   103167 *        0 *    103167 * 1.3531066 * 0.1116556 *
*   103618 *        3 *    103618 *        -1 *         0 *
*   103700 *        1 *    103700 * 0.7099047 * 0.1260677 *
*   104028 *        2 *    104028 * 0.2608447 * 0.0775626 *
*   104367 *        0 *    104367 *        -1 *         0 *
*   104480 *        0 *    104480 *        -1 *         0 *
*   105215 *        1 *    105215 * 0.1901978 * 0.0927255 *
*   106764 *        6 *    106764 * 0.2036500 * 0.0521993 *
*   109410 *        0 *    109410 * 1.4247955 * 0.1503154 *
*   109829 *        0 *    109829 *        -1 *         0 *
