***********************************************************
*    Row   * Instance *   EventId * LiqSciHei * LiqSciTai *
***********************************************************
*      293 *        0 *       293 *        -1 *         0 *
*     1187 *        0 *      1187 *        -1 *         0 *
*     1240 *        0 *      1240 *        -1 *         0 *
*     2026 *        1 *      2026 *        -1 *         0 *
*     2036 *        0 *      2036 *        -1 *         0 *
*     2396 *        1 *      2396 * 0.6340066 * 0.3366906 *
*     3590 *        1 *      3590 *        -1 *         0 *
*     3737 *        0 *      3737 *        -1 *         0 *
*     3949 *        2 *      3949 *        -1 *         0 *
*     4948 *        0 *      4948 * 0.2369703 * 0.1223173 *
*     5176 *        2 *      5176 *        -1 *         0 *
*     5475 *        3 *      5475 *        -1 *         0 *
*     5537 *        1 *      5537 *        -1 *         0 *
*     5748 *        4 *      5748 *        -1 *         0 *
*     6375 *        1 *      6375 *        -1 *         0 *
*     7615 *        5 *      7615 * 0.2073550 * 0.0802011 *
*     7855 *        0 *      7855 *        -1 *         0 *
*     8271 *        0 *      8271 *        -1 *         0 *
*    10208 *        2 *     10208 *        -1 *         0 *
*    10209 *        1 *     10209 *        -1 *         0 *
*    11724 *        5 *     11724 *        -1 *         0 *
*    12241 *        2 *     12241 *        -1 *         0 *
*    13555 *        0 *     13555 * 0.4163041 * 0.4256329 *
*    13863 *        2 *     13863 *        -1 *         0 *
*    14026 *        1 *     14026 * 0.2184070 * 0.1539352 *
*    14579 *        3 *     14579 *        -1 *         0 *
*    14737 *        1 *     14737 *        -1 *         0 *
*    14809 *        1 *     14809 *        -1 *         0 *
*    15336 *        0 *     15336 * 0.7024741 * 0.2916758 *
*    15940 *        0 *     15940 *        -1 *         0 *
*    16413 *        2 *     16413 * 0.2510465 * 0.1928290 *
*    18372 *        0 *     18372 *        -1 *         0 *
*    18799 *        1 *     18799 *        -1 *         0 *
*    19768 *        5 *     19768 *        -1 *         0 *
*    22808 *        1 *     22808 *        -1 *         0 *
*    24732 *        1 *     24732 *        -1 *         0 *
*    24956 *        1 *     24956 *        -1 *         0 *
*    25324 *        1 *     25324 *        -1 *         0 *
*    25379 *        0 *     25379 *        -1 *         0 *
*    25552 *        2 *     25552 *        -1 *         0 *
*    25781 *        5 *     25781 *        -1 *         0 *
*    26773 *        1 *     26773 *        -1 *         0 *
*    26837 *        0 *     26837 *        -1 *         0 *
*    26935 *        1 *     26935 *        -1 *         0 *
*    28512 *        5 *     28512 *        -1 *         0 *
*    29091 *        1 *     29091 * 0.2330355 * 0.1013271 *
*    29121 *        1 *     29121 *        -1 *         0 *
*    29571 *        1 *     29571 *        -1 *         0 *
*    29627 *        1 *     29627 *        -1 *         0 *
*    30465 *        0 *     30465 *        -1 *         0 *
*    31166 *        1 *     31166 * 1.5006756 * 0.0989892 *
*    31675 *        0 *     31675 * 0.6869679 * 0.2662710 *
*    31755 *        1 *     31755 *        -1 *         0 *
*    32215 *        0 *     32215 *        -1 *         0 *
*    32941 *        0 *     32941 *        -1 *         0 *
*    33318 *        0 *     33318 * 0.1820565 * 0.0918151 *
*    33893 *        2 *     33893 *        -1 *         0 *
*    34394 *        1 *     34394 *        -1 *         0 *
*    34650 *        0 *     34650 *        -1 *         0 *
*    34744 *        0 *     34744 *        -1 *         0 *
*    35418 *        2 *     35418 *        -1 *         0 *
*    36069 *        0 *     36069 *        -1 *         0 *
*    36074 *        2 *     36074 * 0.2081371 * 0.1633273 *
*    38133 *        1 *     38133 * 0.2163709 * 0.3334398 *
*    38464 *        1 *     38464 *        -1 *         0 *
*    40368 *        5 *     40368 *        -1 *         0 *
*    41306 *        1 *     41306 *        -1 *         0 *
*    42359 *        0 *     42359 *        -1 *         0 *
*    42696 *        2 *     42696 *        -1 *         0 *
*    44103 *        2 *     44103 *        -1 *         0 *
*    44793 *        0 *     44793 *        -1 *         0 *
*    45284 *        2 *     45284 *        -1 *         0 *
*    47036 *        3 *     47036 *        -1 *         0 *
*    47739 *        0 *     47739 *        -1 *         0 *
*    48251 *        1 *     48251 *        -1 *         0 *
*    48270 *        0 *     48270 *        -1 *         0 *
*    48451 *        2 *     48451 *        -1 *         0 *
*    48575 *        3 *     48575 * 0.2493836 * 0.1035425 *
*    49886 *        3 *     49886 *        -1 *         0 *
*    50031 *        0 *     50031 * 1.4807152 * 0.0675135 *
*    50356 *        3 *     50356 *        -1 *         0 *
*    51190 *        0 *     51190 * 1.3198789 * 0.2913162 *
*    51367 *        0 *     51367 * 0.3863545 * 0.2822599 *
*    53390 *        2 *     53390 *        -1 *         0 *
*    53518 *        1 *     53518 * 0.2069907 * 0.1034318 *
*    54432 *        3 *     54432 *        -1 *         0 *
*    54580 *        3 *     54580 *        -1 *         0 *
*    54828 *        0 *     54828 * 0.9197317 * 0.0966679 *
*    55281 *        0 *     55281 *        -1 *         0 *
*    55797 *        1 *     55797 *        -1 *         0 *
*    58113 *        0 *     58113 *        -1 *         0 *
*    58161 *        1 *     58161 *        -1 *         0 *
*    58453 *        0 *     58453 * 1.5202420 * 0.4364874 *
*    58897 *        0 *     58897 *        -1 *         0 *
*    59114 *        0 *     59114 *        -1 *         0 *
*    59286 *        1 *     59286 * 0.2134243 * 0.1170438 *
*    60203 *        0 *     60203 * 1.1627535 * 0.1606249 *
*    60937 *        2 *     60937 *        -1 *         0 *
*    60963 *        4 *     60963 *        -1 *         0 *
*    61329 *        0 *     61329 *        -1 *         0 *
*    61396 *        1 *     61396 * 0.3740545 * 0.0767346 *
*    61879 *        3 *     61879 *        -1 *         0 *
*    62331 *        3 *     62331 *        -1 *         0 *
*    62628 *        0 *     62628 * 0.9577391 * 0.3423325 *
*    64176 *        0 *     64176 *        -1 *         0 *
*    65032 *        1 *     65032 *        -1 *         0 *
*    65127 *        0 *     65127 *        -1 *         0 *
*    66036 *        2 *     66036 * 0.2250256 * 0.1027584 *
*    66931 *        0 *     66931 *        -1 *         0 *
*    67255 *        0 *     67255 *        -1 *         0 *
*    68108 *        0 *     68108 *        -1 *         0 *
*    68789 *        0 *     68789 *        -1 *         0 *
*    69533 *        0 *     69533 *        -1 *         0 *
*    70651 *        2 *     70651 *        -1 *         0 *
*    70981 *        0 *     70981 *        -1 *         0 *
*    71167 *        0 *     71167 * 1.5256218 * 0.0695579 *
*    71588 *        0 *     71588 *        -1 *         0 *
*    71744 *        3 *     71744 * 0.3830885 * 0.3107237 *
*    73104 *        1 *     73104 *        -1 *         0 *
*    73661 *        4 *     73661 *        -1 *         0 *
*    73719 *        2 *     73719 *        -1 *         0 *
*    74981 *        0 *     74981 *        -1 *         0 *
*    75272 *        1 *     75272 *        -1 *         0 *
*    75372 *        1 *     75372 *        -1 *         0 *
*    75667 *        0 *     75667 *        -1 *         0 *
*    77134 *        0 *     77134 *        -1 *         0 *
