***********************************************************
*    Row   * Instance *   EventId * LiqSciHei * LiqSciTai *
***********************************************************
*      352 *        1 *       352 *        -1 *         0 *
*      574 *        0 *       574 *        -1 *         0 *
*      633 *        2 *       633 *        -1 *         0 *
*     1622 *        0 *      1622 * 0.4942922 * 0.1231308 *
*     2158 *        0 *      2158 *        -1 *         0 *
*     2680 *        5 *      2680 *        -1 *         0 *
*     2749 *        1 *      2749 *        -1 *         0 *
*     2750 *        2 *      2750 * 1.3144425 * 0.1170440 *
*     4592 *        3 *      4592 *        -1 *         0 *
*     4966 *        1 *      4966 *        -1 *         0 *
*     5633 *        1 *      5633 *        -1 *         0 *
*     5814 *        1 *      5814 *        -1 *         0 *
*     6669 *        0 *      6669 *        -1 *         0 *
*     6779 *        2 *      6779 *        -1 *         0 *
*     8349 *        1 *      8349 * 0.4842433 * 0.7378900 *
*     8438 *        1 *      8438 *        -1 *         0 *
*     9507 *        3 *      9507 *        -1 *         0 *
*    10077 *        0 *     10077 * 0.2817038 * 0.3298015 *
*    10384 *        0 *     10384 *        -1 *         0 *
*    11441 *        4 *     11441 *        -1 *         0 *
*    11648 *        5 *     11648 *        -1 *         0 *
*    11702 *        2 *     11702 *        -1 *         0 *
*    12571 *        0 *     12571 * 0.3138537 * 0.4334947 *
*    14812 *        0 *     14812 * 1.1531137 * 0.1378099 *
*    15633 *        3 *     15633 * 0.4083212 * 0.0882024 *
*    15758 *        0 *     15758 *        -1 *         0 *
*    17857 *        0 *     17857 * 1.4528344 * 0.1202140 *
*    18351 *        0 *     18351 * 0.2751926 * 0.3332361 *
*    18644 *        0 *     18644 * 0.4763498 * 0.1020589 *
*    19059 *        0 *     19059 * 0.2339998 * 0.3676591 *
*    19205 *        0 *     19205 *        -1 *         0 *
*    19359 *        0 *     19359 *        -1 *         0 *
*    20869 *        0 *     20869 *        -1 *         0 *
*    21674 *        1 *     21674 *        -1 *         0 *
*    22196 *        0 *     22196 * 0.4473227 * 0.4330802 *
*    23834 *        2 *     23834 *        -1 *         0 *
*    25148 *        0 *     25148 *        -1 *         0 *
*    26055 *        1 *     26055 *        -1 *         0 *
*    26241 *        3 *     26241 *        -1 *         0 *
*    26309 *        1 *     26309 * 1.1836813 * 0.2625053 *
*    26356 *        4 *     26356 * 0.3018822 * 0.3540377 *
*    26433 *        2 *     26433 * 0.2480850 * 0.1324219 *
*    26872 *        2 *     26872 *        -1 *         0 *
*    27249 *        0 *     27249 * 0.2927885 * 0.3283561 *
*    28039 *        1 *     28039 *        -1 *         0 *
*    28519 *        1 *     28519 *        -1 *         0 *
*    28570 *        6 *     28570 *        -1 *         0 *
*    29260 *        1 *     29260 *        -1 *         0 *
*    29317 *        1 *     29317 * 0.2238345 * 0.3775461 *
*    29523 *        2 *     29523 *        -1 *         0 *
*    29592 *        2 *     29592 * 0.2524228 * 0.6406954 *
*    30852 *        0 *     30852 *        -1 *         0 *
*    32943 *        1 *     32943 *        -1 *         0 *
*    33048 *        3 *     33048 *        -1 *         0 *
*    33541 *        1 *     33541 *        -1 *         0 *
*    33954 *        5 *     33954 *        -1 *         0 *
*    35901 *        0 *     35901 *        -1 *         0 *
*    36098 *        3 *     36098 *        -1 *         0 *
*    36658 *        2 *     36658 * 0.2249511 * 0.0839617 *
*    37848 *        1 *     37848 *        -1 *         0 *
*    37928 *        1 *     37928 * 0.2149439 * 0.0637952 *
*    38095 *        0 *     38095 *        -1 *         0 *
*    38185 *        0 *     38185 *        -1 *         0 *
*    38790 *        0 *     38790 *        -1 *         0 *
*    40121 *        1 *     40121 *        -1 *         0 *
*    40220 *        4 *     40220 * 0.3885159 * 0.1144035 *
*    40472 *        2 *     40472 *        -1 *         0 *
*    41969 *        6 *     41969 *        -1 *         0 *
*    44497 *        3 *     44497 * 0.6338843 * 0.2913474 *
*    44691 *        3 *     44691 *        -1 *         0 *
*    45246 *        0 *     45246 *        -1 *         0 *
*    45291 *        0 *     45291 *        -1 *         0 *
*    45895 *        0 *     45895 *        -1 *         0 *
*    46536 *        1 *     46536 *        -1 *         0 *
*    48914 *        1 *     48914 *        -1 *         0 *
*    48950 *        0 *     48950 * 0.1848897 * 0.6529529 *
*    49038 *        1 *     49038 * 0.7958520 * 0.1758019 *
*    49214 *        0 *     49214 *        -1 *         0 *
*    49608 *        0 *     49608 * 0.3555718 * 0.2853428 *
*    49952 *        0 *     49952 * 0.1599346 * 0.4230733 *
*    51807 *        0 *     51807 *        -1 *         0 *
*    51810 *        1 *     51810 *        -1 *         0 *
*    53294 *        4 *     53294 * 0.2283156 * 0.3801022 *
*    54226 *        1 *     54226 *        -1 *         0 *
*    55240 *        2 *     55240 *        -1 *         0 *
*    55321 *        2 *     55321 *        -1 *         0 *
*    55657 *        1 *     55657 *        -1 *         0 *
*    56579 *        0 *     56579 *        -1 *         0 *
*    57518 *        0 *     57518 *        -1 *         0 *
*    58266 *        4 *     58266 * 0.5289588 * 0.1119666 *
*    58509 *        0 *     58509 * 0.3002730 * 0.3555127 *
*    58776 *        0 *     58776 *        -1 *         0 *
*    59716 *        0 *     59716 *        -1 *         0 *
*    60942 *        0 *     60942 *        -1 *         0 *
*    61525 *        0 *     61525 *        -1 *         0 *
*    61885 *        1 *     61885 *        -1 *         0 *
*    61926 *        3 *     61926 *        -1 *         0 *
*    62210 *        1 *     62210 *        -1 *         0 *
*    63606 *        1 *     63606 *        -1 *         0 *
*    64043 *        0 *     64043 *        -1 *         0 *
*    64202 *        0 *     64202 *        -1 *         0 *
*    64810 *        0 *     64810 *        -1 *         0 *
*    65123 *        2 *     65123 *        -1 *         0 *
*    65183 *        0 *     65183 *        -1 *         0 *
*    65656 *        1 *     65656 *        -1 *         0 *
*    65946 *        0 *     65946 *        -1 *         0 *
*    66973 *        1 *     66973 *        -1 *         0 *
*    67065 *        0 *     67065 *        -1 *         0 *
*    67246 *        0 *     67246 *        -1 *         0 *
*    69050 *        1 *     69050 *        -1 *         0 *
*    69073 *        0 *     69073 *        -1 *         0 *
*    69179 *        2 *     69179 *        -1 *         0 *
*    69254 *        0 *     69254 *        -1 *         0 *
*    69984 *        1 *     69984 *        -1 *         0 *
*    70313 *        3 *     70313 *        -1 *         0 *
*    70962 *        1 *     70962 *        -1 *         0 *
*    71170 *        1 *     71170 * 0.2291275 * 0.0574992 *
*    71296 *        1 *     71296 * 0.2420783 * 0.1034813 *
*    72221 *        1 *     72221 *        -1 *         0 *
*    72292 *        1 *     72292 *        -1 *         0 *
*    72985 *        0 *     72985 *        -1 *         0 *
*    73410 *        0 *     73410 *        -1 *         0 *
*    73589 *        0 *     73589 *        -1 *         0 *
*    74267 *        2 *     74267 * 0.2699919 * 0.4690567 *
*    74827 *        0 *     74827 *        -1 *         0 *
*    75366 *        1 *     75366 *        -1 *         0 *
*    76178 *        1 *     76178 *        -1 *         0 *
*    78718 *        3 *     78718 *        -1 *         0 *
