 0.000000+0 1.300000+6          0          0          6          6 128 6 50   71
 0.000000+0 1.740400-1 0.000000+0 2.794100-2 0.000000+0 2.027000-4 128 6 50   72
 0.000000+0 1.400000+6          0          0          6          6 128 6 50   73
 0.000000+0 1.745900-1 0.000000+0 3.133100-2 0.000000+0 2.541100-4 128 6 50   74
 0.000000+0 1.500000+6          0          0          6          6 128 6 50   75
 0.000000+0 1.750100-1 0.000000+0 3.485700-2 0.000000+0 3.142800-4 128 6 50   76
 0.000000+0 1.600000+6          0          0          6          6 128 6 50   77
 0.000000+0 1.753400-1 0.000000+0 3.850600-2 0.000000+0 3.840700-4 128 6 50   78
 0.000000+0 1.700000+6          0          0          6          6 128 6 50   79
 0.000000+0 1.756200-1 0.000000+0 4.226700-2 0.000000+0 4.643500-4 128 6 50   80
 0.000000+0 1.800000+6          0          0          6          6 128 6 50   81
 0.000000+0 1.758800-1 0.000000+0 4.612800-2 0.000000+0 5.560400-4 128 6 50   82
 0.000000+0 1.900000+6          0          0          6          6 128 6 50   83
 0.000000+0 1.761300-1 0.000000+0 5.007800-2 0.000000+0 6.600500-4 128 6 50   84
 0.000000+0 2.000000+6          0          0          6          6 128 6 50   85
 0.000000+0 1.764100-1 0.000000+0 5.410400-2 0.000000+0 7.773400-4 128 6 50   86
 0.000000+0 2.100000+6          0          0          6          6 128 6 50   87
 0.000000+0 1.767100-1 0.000000+0 5.819600-2 0.000000+0 9.088600-4 128 6 50   88
 0.000000+0 2.200000+6          0          0          6          6 128 6 50   89
 0.000000+0 1.770700-1 0.000000+0 6.234300-2 0.000000+0 1.055600-3 128 6 50   90
 0.000000+0 2.300000+6          0          0          6          6 128 6 50   91
 0.000000+0 1.775000-1 0.000000+0 6.653300-2 0.000000+0 1.218500-3 128 6 50   92
 0.000000+0 2.400000+6          0          0          6          6 128 6 50   93
 0.000000+0 1.779900-1 0.000000+0 7.075600-2 0.000000+0 1.398500-3 128 6 50   94
 0.000000+0 2.500000+6          0          0          6          6 128 6 50   95
 0.000000+0 1.785600-1 0.000000+0 7.500400-2 0.000000+0 1.596800-3 128 6 50   96
 0.000000+0 2.600000+6          0          0          6          6 128 6 50   97
 0.000000+0 1.792200-1 0.000000+0 7.926800-2 0.000000+0 1.814200-3 128 6 50   98
 0.000000+0 2.700000+6          0          0          6          6 128 6 50   99
 0.000000+0 1.799800-1 0.000000+0 8.353800-2 0.000000+0 2.051900-3 128 6 50  100
 0.000000+0 2.800000+6          0          0          6          6 128 6 50  101
 0.000000+0 1.808200-1 0.000000+0 8.780700-2 0.000000+0 2.310700-3 128 6 50  102
 0.000000+0 2.900000+6          0          0          6          6 128 6 50  103
 0.000000+0 1.817700-1 0.000000+0 9.206900-2 0.000000+0 2.591800-3 128 6 50  104
 0.000000+0 3.000000+6          0          0          6          6 128 6 50  105
 0.000000+0 1.828100-1 0.000000+0 9.631500-2 0.000000+0 2.896000-3 128 6 50  106
 0.000000+0 3.200000+6          0          0          6          6 128 6 50  107
 0.000000+0 1.852000-1 0.000000+0 1.047400-1 0.000000+0 3.578300-3 128 6 50  108
 0.000000+0 3.400000+6          0          0          6          6 128 6 50  109
