  g     gamma   0  0
 e-  electron  -1  0
 e+  positron  +1  0
  n   neutron   0  1
  p    proton  +1  1
  d  deuteron  +1  2
  t    triton  +1  3
  a     alpha  +2  4
3He   helium3  +2  3
