***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*       15 *        0 *        15 * 19.799081 * 1237.4224 *
*      137 *        0 *       137 * 7.1044756 * 927.23561 *
*      282 *        0 *       282 * 23.198847 * 2039.5852 *
*     1275 *        0 *      1275 * 17.190012 * 2319.1102 *
*     1813 *        0 *      1813 * 12.901703 * 1940.7888 *
*     2223 *        0 *      2223 * 9.6632022 * 1300.3715 *
*     2626 *        0 *      2626 * 8.1760815 * 1159.2209 *
*     2938 *        0 *      2938 * 6.6313523 *  1318.264 *
*     2960 *        0 *      2960 * 14.652236 * 2246.4348 *
*     2972 *        0 *      2972 * 6.4165843 * 621.05969 *
*     3059 *        0 *      3059 * 5.4246252 * 551.60756 *
*     3132 *        0 *      3132 *  9.948748 * 1070.0415 *
*     3192 *        0 *      3192 * 33.755641 * 2157.0060 *
*     3555 *        0 *      3555 * 3.4985949 * 536.37369 *
*     3792 *        0 *      3792 * 13.713514 * 1638.2720 *
*     3950 *        0 *      3950 * 7.5603492 * 1233.0595 *
*     4064 *        0 *      4064 * 17.484937 * 1885.4394 *
*     4088 *        0 *      4088 * 17.788684 * 2269.3567 *
*     4173 *        0 *      4173 * 36.254447 * 3533.3439 *
*     4345 *        0 *      4345 * 31.767306 * 1582.0733 *
*     4490 *        0 *      4490 * 11.386452 * 1458.6475 *
*     4588 *        0 *      4588 * 10.827121 * 1591.0626 *
*     4717 *        0 *      4717 * 12.839534 * 960.66916 *
*     4900 *        0 *      4900 * 7.4957905 * 1257.6563 *
*     5007 *        0 *      5007 * 9.4146148 * 1218.8164 *
*     5283 *        0 *      5283 * 39.295988 * 2191.8300 *
*     5583 *        0 *      5583 * 27.486614 * 1982.4027 *
*     5652 *        2 *      5652 * 8.8552953 * 1945.2456 *
*     6246 *        0 *      6246 * 14.587594 * 1354.8808 *
*     7040 *        0 *      7040 * 31.182136 * 1701.2451 *
*     7446 *        0 *      7446 * 4.7354012 * 967.66603 *
*     7509 *        0 *      7509 * 9.7495503 * 974.38002 *
*     7699 *        0 *      7699 * 14.688377 * 1449.0308 *
*     8076 *        0 *      8076 * 13.274647 * 1694.6067 *
*     8412 *        0 *      8412 * 26.921470 * 2268.4385 *
*     8645 *        0 *      8645 * 6.4138152 * 1057.1042 *
*     8686 *        0 *      8686 * 13.431040 * 1035.1831 *
*     8721 *        0 *      8721 * 8.4486642 * 724.12479 *
*     8850 *        0 *      8850 * 24.850869 * 1775.6653 *
*     9172 *        0 *      9172 * 12.220150 * 1350.8253 *
*     9277 *        0 *      9277 * 12.278457 * 1475.9276 *
*     9522 *        2 *      9522 * 1.2747210 * 781.67930 *
*     9681 *        0 *      9681 * 9.0332585 * 1767.5817 *
*    10557 *        0 *     10557 * 5.0718448 * 1179.1459 *
*    10749 *        0 *     10749 * 39.528808 * 2970.4258 *
*    10813 *        0 *     10813 * 21.687674 * 1268.6963 *
*    10818 *        0 *     10818 * 20.993467 * 2549.8379 *
*    11042 *        0 *     11042 * 21.704590 * 1309.8640 *
*    11229 *        0 *     11229 * 14.419766 * 1234.8933 *
*    11426 *        0 *     11426 * 10.973168 * 2166.5317 *
*    11807 *        0 *     11807 * 14.972723 * 1653.1041 *
*    11878 *        0 *     11878 * 10.622940 * 1120.6695 *
*    12344 *        0 *     12344 * 7.1945557 * 549.40711 *
*    12704 *        0 *     12704 * 18.222790 * 1954.0611 *
*    13071 *        0 *     13071 * 21.060137 * 1826.4871 *
*    13132 *        0 *     13132 * 30.687688 * 2428.3370 *
*    13374 *        0 *     13374 * 23.324674 * 1996.1157 *
*    13526 *        0 *     13526 * 5.3124544 * 1390.7000 *
*    13909 *        0 *     13909 * 8.8437966 * 1501.1827 *
*    14128 *        0 *     14128 * 15.133703 * 1479.8847 *
*    14765 *        0 *     14765 * 3.3930633 * 931.02068 *
*    15429 *        0 *     15429 * 16.211425 * 1852.7264 *
*    16213 *        0 *     16213 * 23.515404 * 2196.6886 *
*    16486 *        0 *     16486 * 10.239224 * 839.70015 *
*    17309 *        0 *     17309 * 35.993546 * 2348.6957 *
*    17712 *        0 *     17712 * 10.725877 * 1879.3201 *
*    18184 *        0 *     18184 * 2.4728464 * 796.40581 *
*    18432 *        0 *     18432 * 7.4977268 * 1379.9918 *
*    19017 *        0 *     19017 * 11.116261 * 1420.7212 *
*    19528 *        0 *     19528 * 9.6510188 * 1380.5297 *
*    19572 *        0 *     19572 * 20.647862 * 1210.6023 *
*    19606 *        0 *     19606 * 12.223188 * 2036.0071 *
*    19755 *        0 *     19755 * 2.7195209 * 1739.4731 *
*    20698 *        0 *     20698 * 39.276104 *  1919.144 *
*    20942 *        0 *     20942 * 9.7071381 * 1805.5849 *
*    21636 *        0 *     21636 * 16.732926 * 1344.1794 *
*    21892 *        0 *     21892 * 26.888920 * 2134.0576 *
*    22091 *        0 *     22091 * 2.7694374 * 503.94832 *
*    22100 *        0 *     22100 * 6.8072326 * 590.96902 *
*    22171 *        0 *     22171 * 13.788832 * 290.73885 *
*    22222 *        0 *     22222 * 15.131409 * 1352.7051 *
*    22224 *        0 *     22224 * 7.0864662 * 1143.3366 *
*    23566 *        0 *     23566 * 13.539164 * 1799.6644 *
*    23602 *        0 *     23602 * 23.949212 * 2142.5133 *
*    24154 *        0 *     24154 *  11.37121 * 1199.7660 *
*    24500 *        0 *     24500 * 3.4792204 * 560.96924 *
*    25074 *        0 *     25074 * 19.097405 * 2063.3712 *
*    25958 *        0 *     25958 * 4.1506500 * 35.952597 *
*    25962 *        0 *     25962 * 23.605190 * 1881.1793 *
*    28058 *        0 *     28058 * 25.229997 * 2207.2290 *
*    28070 *        0 *     28070 * 26.315616 * 2236.8843 *
*    28183 *        0 *     28183 * 7.9781115 * 1131.1556 *
*    28350 *        0 *     28350 * 13.781037 * 1587.3355 *
*    28509 *        0 *     28509 * 10.223920 * 1178.7669 *
*    28851 *        0 *     28851 * 17.830089 * 1682.0050 *
*    29340 *        0 *     29340 * 6.6397991 * 995.26257 *
*    29604 *        0 *     29604 * 6.6778408 * 1438.6926 *
*    29758 *        0 *     29758 * 13.872339 * 1848.9943 *
*    29796 *        0 *     29796 * 21.867621 * 1847.8673 *
*    30038 *        0 *     30038 * 17.878020 * 1221.0750 *
*    30183 *        0 *     30183 * 14.722412 * 1351.3078 *
*    30185 *        0 *     30185 * 10.652357 * 1476.0086 *
*    30189 *        0 *     30189 * 4.8540154 * 631.27092 *
*    30474 *        0 *     30474 * 24.571140 * 2067.3147 *
*    30722 *        0 *     30722 * 27.260728 * 2068.1139 *
*    30776 *        0 *     30776 * 11.671255 * 1958.3936 *
*    30786 *        0 *     30786 * 11.430948 * 1481.6101 *
*    30792 *        0 *     30792 * 38.003888 * 2601.0950 *
*    30886 *        0 *     30886 * 4.7899745 * 1322.9424 *
*    31363 *        0 *     31363 * 14.330175 * 1250.7280 *
*    31667 *        0 *     31667 * 7.2327558 * 573.96776 *
*    31726 *        0 *     31726 * 32.622676 * 1937.6520 *
*    31969 *        0 *     31969 * 15.999559 * 1327.7505 *
*    32094 *        0 *     32094 * 20.709890 * 1938.0289 *
*    32230 *        0 *     32230 * 12.692295 * 1830.3720 *
*    33020 *        0 *     33020 * 24.646120 * 2103.3297 *
*    33593 *        0 *     33593 * 15.214316 * 1591.4185 *
*    34107 *        0 *     34107 * 7.5174277 * 1198.7017 *
*    34644 *        0 *     34644 * 20.903359 * 2781.4856 *
*    34895 *        0 *     34895 * 29.497360 * 2142.4118 *
*    34946 *        0 *     34946 * 5.8551162 * 1767.1741 *
*    35464 *        0 *     35464 * 31.856756 * 1990.2546 *
*    35507 *        0 *     35507 * 13.923130 * 1140.0010 *
*    35593 *        0 *     35593 * 22.303850 * 2114.4705 *
*    36017 *        0 *     36017 * 27.184242 * 1757.6846 *
*    36138 *        0 *     36138 * 29.602820 * 2430.6291 *
*    36145 *        0 *     36145 * 32.422415 * 3063.8429 *
*    36830 *        0 *     36830 * 33.560894 * 2205.8338 *
*    36938 *        0 *     36938 * 19.576016 * 1189.8700 *
*    36945 *        0 *     36945 * 20.222597 * 2424.1681 *
*    37381 *        0 *     37381 * 4.5090319 * 1167.3973 *
*    38001 *        0 *     38001 * 6.1955665 * 405.02925 *
*    38177 *        0 *     38177 * 14.167874 * 1499.2720 *
*    38316 *        0 *     38316 * 9.3358588 * 1298.3659 *
*    38552 *        0 *     38552 * 17.903783 * 1426.0003 *
*    38874 *        0 *     38874 * 18.396337 * 2184.5645 *
*    38965 *        0 *     38965 * 15.468326 * 1857.4670 *
*    39118 *        0 *     39118 * 24.010503 * 1994.9027 *
*    39339 *        0 *     39339 * 8.1212074 * 1342.0201 *
*    40044 *        0 *     40044 * 11.168517 * 1448.8772 *
*    40272 *        0 *     40272 * 21.663422 * 2175.7188 *
*    40624 *        0 *     40624 * 11.211172 * 583.01509 *
*    40970 *        0 *     40970 * 9.2041646 * 1305.4877 *
*    41215 *        0 *     41215 * 15.997920 * 1243.4961 *
*    41450 *        0 *     41450 * 7.9447682 * 1088.5480 *
*    41735 *        0 *     41735 * 7.7597281 * 609.74035 *
*    41827 *        0 *     41827 * 13.127504 * 2502.7944 *
*    42095 *        0 *     42095 * 24.607040 * 1307.5004 *
*    42119 *        0 *     42119 * 25.701148 * 2364.6684 *
*    42166 *        0 *     42166 * 18.457430 * 1547.4274 *
*    42329 *        0 *     42329 * 8.3083620 * 1564.7979 *
*    42538 *        0 *     42538 * 7.9387944 * 486.19602 *
*    42604 *        0 *     42604 * 17.323599 * 1640.5923 *
*    42765 *        0 *     42765 * 15.982081 * 1453.8339 *
*    42870 *        0 *     42870 * 8.8486570 * 1416.1610 *
*    42959 *        0 *     42959 * 6.4573864 * 1271.2637 *
*    43207 *        0 *     43207 * 13.502436 * 1711.4916 *
*    43426 *        0 *     43426 * 34.292312 * 2185.1479 *
*    43502 *        0 *     43502 * 15.857544 * 2091.1856 *
*    44161 *        0 *     44161 * 15.941013 * 1801.3231 *
*    44600 *        0 *     44600 * 12.120785 * 1485.6769 *
*    45069 *        0 *     45069 * 16.258663 * 1764.6122 *
*    45089 *        0 *     45089 * 5.5187055 *  878.0456 *
*    46250 *        0 *     46250 * 6.8281400 * 932.65517 *
*    46372 *        0 *     46372 * 6.3329690 * 686.34702 *
*    46613 *        0 *     46613 * 15.914106 * 1783.8734 *
*    46818 *        0 *     46818 * 19.014258 * 1425.6442 *
*    46921 *        0 *     46921 * 24.713962 * 1612.9827 *
*    46923 *        0 *     46923 * 30.501365 * 1921.0134 *
*    47129 *        0 *     47129 * 7.9343281 * 1281.2138 *
*    47158 *        0 *     47158 * 9.8776038 * 1368.0775 *
*    47308 *        0 *     47308 * 9.8083135 * 1378.6213 *
*    47516 *        0 *     47516 * 8.5082247 * 1348.7109 *
*    48007 *        0 *     48007 * 26.322033 * 1135.8489 *
*    48256 *        0 *     48256 * 6.1041476 * 1056.4951 *
*    48533 *        0 *     48533 * 9.5119832 * 1210.1476 *
*    48665 *        0 *     48665 * 17.464942 * 1760.2572 *
*    48890 *        0 *     48890 * 11.753854 * 1454.7122 *
*    48948 *        0 *     48948 * 23.899496 * 1999.8528 *
*    49051 *        0 *     49051 * 21.177172 * 1446.5460 *
*    49254 *        0 *     49254 * 27.853869 * 1929.1369 *
*    49681 *        0 *     49681 * 25.266937 * 1303.3272 *
*    49940 *        0 *     49940 * 20.819603 * 958.52579 *
*    49969 *        1 *     49969 * 6.4648351 * 428.88487 *
*    50003 *        0 *     50003 * 9.0384416 * 1250.4907 *
*    50076 *        0 *     50076 * 8.0850802 * 1740.2881 *
*    50140 *        0 *     50140 * 22.574197 * 2384.9805 *
*    50296 *        0 *     50296 * 13.293132 * 1313.7964 *
*    51406 *        0 *     51406 * 4.6938905 * 341.65905 *
*    51487 *        0 *     51487 * 7.9990139 * 985.95558 *
*    51807 *        0 *     51807 * 22.352756 * 1855.2539 *
*    51985 *        0 *     51985 * 20.222851 * 2543.8548 *
*    52272 *        0 *     52272 * 19.700853 * 1754.6942 *
*    52448 *        0 *     52448 * 19.376324 * 952.10646 *
*    52536 *        0 *     52536 * 5.4291858 * 573.36013 *
*    53475 *        0 *     53475 * 4.8281934 * 654.84869 *
*    53647 *        0 *     53647 * 8.3388531 * 889.92266 *
*    53878 *        0 *     53878 * 28.121487 * 2774.4778 *
*    54014 *        0 *     54014 * 23.362679 * 2091.7025 *
*    54344 *        0 *     54344 * 18.353263 * 1411.0337 *
*    54437 *        0 *     54437 * 13.926121 * 2072.2080 *
*    54520 *        0 *     54520 * 10.336940 * 1125.1590 *
*    54719 *        0 *     54719 * 18.191442 * 1128.3918 *
*    55393 *        0 *     55393 * 14.609983 * 948.78304 *
*    56458 *        0 *     56458 * 25.535704 * 2043.9222 *
*    56484 *        0 *     56484 * 13.419037 * 1844.6866 *
*    56561 *        0 *     56561 * 14.713762 * 1217.0799 *
*    57040 *        0 *     57040 * 11.891384 * 940.57591 *
*    57976 *        0 *     57976 * 6.8284992 * 1057.9894 *
*    58037 *        0 *     58037 * 24.531195 * 1537.8238 *
*    58101 *        0 *     58101 * 20.447869 * 2027.1637 *
*    58346 *        0 *     58346 * 39.851707 * 2725.9166 *
*    58634 *        0 *     58634 * 18.814448 * 2286.1363 *
*    58917 *        0 *     58917 * 36.582173 * 2435.9103 *
*    58960 *        0 *     58960 * 8.7092601 * 708.22121 *
*    59629 *        0 *     59629 * 12.801734 * 1209.4106 *
*    59753 *        0 *     59753 * 14.874247 * 2085.5433 *
*    59877 *        0 *     59877 * 16.556958 * 1012.3388 *
*    60322 *        0 *     60322 * 6.1579796 * 742.73137 *
*    60618 *        0 *     60618 * 33.285925 * 2528.0985 *
*    60643 *        0 *     60643 * 19.858165 * 1762.4040 *
*    60744 *        0 *     60744 * 16.806565 * 1917.3999 *
*    60804 *        0 *     60804 * 2.0544418 * 639.33079 *
*    61011 *        0 *     61011 * 3.3943349 * 1484.6697 *
*    61375 *        0 *     61375 * 26.764695 * 2191.5324 *
*    61566 *        0 *     61566 * 13.685617 * 1400.0759 *
*    61779 *        2 *     61779 * 4.5185356 * 1320.6206 *
*    61912 *        0 *     61912 * 30.282977 * 2122.1998 *
*    62188 *        0 *     62188 * 13.803907 * 451.63822 *
*    62212 *        0 *     62212 * 4.8949492 * 1006.3049 *
*    62231 *        0 *     62231 * 17.427976 * 2270.4434 *
*    62590 *        0 *     62590 * 7.8721655 * 696.04259 *
*    63261 *        0 *     63261 * 13.758896 * 1146.9177 *
*    63601 *        0 *     63601 * 19.149841 * 2510.7097 *
*    63993 *        0 *     63993 * 12.560464 * 460.84587 *
*    64574 *        0 *     64574 * 30.794233 * 2943.7804 *
*    64624 *        0 *     64624 * 14.175289 * 1703.9188 *
*    64815 *        0 *     64815 * 6.9322449 * 1289.6405 *
*    64924 *        0 *     64924 * 6.5014358 * 1139.7687 *
*    65117 *        0 *     65117 * 32.189738 *  1201.284 *
*    65535 *        0 *     65535 * 13.319336 * 1490.9541 *
*    65994 *        0 *     65994 * 15.932780 * 1989.5516 *
*    66097 *        0 *     66097 * 7.3656396 * 1397.7054 *
*    66240 *        0 *     66240 * 3.0630586 * 1086.6160 *
*    66295 *        0 *     66295 * 6.3095786 * 1416.6133 *
*    66740 *        0 *     66740 * 23.100141 * 1694.2746 *
*    66862 *        0 *     66862 * 29.140833 * 1832.4361 *
*    66866 *        0 *     66866 * 7.8344403 * 1269.2341 *
*    67180 *        0 *     67180 * 17.726359 * 1676.0042 *
*    67683 *        0 *     67683 * 12.437438 * 1440.2101 *
*    67757 *        0 *     67757 * 5.7166968 * 1115.4945 *
*    67808 *        0 *     67808 * 14.498023 * 1114.1512 *
*    67848 *        0 *     67848 * 7.5283466 * 1684.4376 *
*    68127 *        0 *     68127 * 26.000878 * 2050.3010 *
*    68212 *        0 *     68212 * 6.9210070 * 1690.3174 *
*    68435 *        0 *     68435 * 9.1567676 * 1405.9345 *
*    68489 *        0 *     68489 * 8.9346699 * 1676.0118 *
*    68639 *        0 *     68639 * 22.190083 * 1155.3967 *
*    68952 *        0 *     68952 * 4.7816283 * 1414.4507 *
*    68970 *        0 *     68970 * 20.529654 * 1532.8329 *
*    69277 *        0 *     69277 * 14.484460 * 1810.8437 *
*    69359 *        0 *     69359 * 14.409891 * 1480.9264 *
*    69495 *        0 *     69495 * 14.777168 * 1315.4045 *
*    69691 *        0 *     69691 * 9.5905039 * 1500.5917 *
*    69715 *        0 *     69715 * 17.077312 * 1003.8632 *
*    70386 *        0 *     70386 * 9.7363371 * 822.70746 *
*    70459 *        0 *     70459 * 11.051031 * 1748.7992 *
*    70834 *        0 *     70834 * 9.1345210 * 1445.4340 *
*    70929 *        0 *     70929 * 28.383389 * 2060.9186 *
*    71433 *        0 *     71433 * 13.749823 * 1237.9453 *
*    72135 *        0 *     72135 * 27.603399 * 1466.2334 *
*    72233 *        0 *     72233 * 16.534615 * 2618.2462 *
*    72235 *        0 *     72235 * 19.295330 * 1310.7683 *
*    72406 *        0 *     72406 * 10.245402 * 1501.1518 *
*    72424 *        0 *     72424 * 28.695858 * 1909.4915 *
*    72453 *        0 *     72453 * 20.213165 * 1410.7771 *
*    72823 *        0 *     72823 * 8.1439353 * 1204.7361 *
*    73004 *        0 *     73004 * 14.642480 * 1763.3126 *
*    73390 *        0 *     73390 * 2.6054646 * 649.48238 *
*    73759 *        0 *     73759 * 28.460760 * 2276.8853 *
*    73842 *        0 *     73842 * 39.027624 * 2200.8959 *
*    74665 *        0 *     74665 * 13.728204 * 1547.4178 *
*    74883 *        0 *     74883 * 12.411976 * 1474.2253 *
*    75029 *        0 *     75029 * 7.2855057 * 1086.3139 *
*    75226 *        0 *     75226 * 6.9995879 * 1127.5481 *
